[1447, 1063]
[folio, [432.0, 53.0, 196.0, 18.0], x2_xFPCWor, 5762452]
[headline, [305.0, 98.0, 448.0, 25.5], -68Pqhhj_W, 5762452]
[headline, [305.0, 123.5, 448.0, 25.5], -68Pqhhj_W, 5762452]
[section-title, [536.0, 742.0, 416.0, 30.0], tweZjpcKjv, 5762452]
[section-title, [536.0, 772.0, 416.0, 30.0], tweZjpcKjv, 5762452]
[paragraph, [90.0, 744.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 762.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 780.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 798.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 816.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 834.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 852.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 870.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 888.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 906.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 924.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 942.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 960.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 978.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 996.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 1014.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 1032.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 1050.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 1068.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 1086.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 1104.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 1122.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 1140.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 1158.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 1176.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 1194.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 1212.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 1230.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 1248.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 1266.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 1284.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 1302.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [90.0, 1320.0, 436.0, 18.0], kYR3r0u6O5, 5762452]
[paragraph, [536.0, 845.0, 432.0, 18.0], shoonya_0sJ82XGFRFSGMQ, 5762452]
[paragraph, [536.0, 863.0, 432.0, 18.0], shoonya_0sJ82XGFRFSGMQ, 5762452]
[paragraph, [536.0, 881.0, 432.0, 18.0], shoonya_0sJ82XGFRFSGMQ, 5762452]
[paragraph, [536.0, 899.0, 432.0, 18.0], shoonya_0sJ82XGFRFSGMQ, 5762452]
[paragraph, [536.0, 917.0, 432.0, 18.0], shoonya_0sJ82XGFRFSGMQ, 5762452]
[paragraph, [536.0, 935.0, 432.0, 18.0], shoonya_0sJ82XGFRFSGMQ, 5762452]
[paragraph, [536.0, 953.0, 432.0, 18.0], shoonya_0sJ82XGFRFSGMQ, 5762452]
