[792, 612]
[paragraph, [151.0, 76.0, 193.0, 18.0], shoonya_5sRF3LIRBLPKTE, 5654406]
[paragraph, [151.0, 94.0, 193.0, 18.0], shoonya_5sRF3LIRBLPKTE, 5654406]
[paragraph, [151.0, 112.0, 193.0, 18.0], shoonya_5sRF3LIRBLPKTE, 5654406]
[paragraph, [151.0, 130.0, 193.0, 18.0], shoonya_5sRF3LIRBLPKTE, 5654406]
[paragraph, [151.0, 148.0, 193.0, 18.0], shoonya_5sRF3LIRBLPKTE, 5654406]
[paragraph, [360.0, 79.0, 192.0, 18.0], shoonya_6sWLSHNU9IM3P1, 5654406]
[paragraph, [360.0, 97.0, 192.0, 18.0], shoonya_6sWLSHNU9IM3P1, 5654406]
[paragraph, [360.0, 115.0, 192.0, 18.0], shoonya_6sWLSHNU9IM3P1, 5654406]
[paragraph, [360.0, 133.0, 192.0, 18.0], shoonya_6sWLSHNU9IM3P1, 5654406]
[paragraph, [360.0, 151.0, 192.0, 18.0], shoonya_6sWLSHNU9IM3P1, 5654406]
[paragraph, [154.0, 187.0, 190.0, 18.0], shoonya_2sZTRVPLDEDLR1, 5654406]
[paragraph, [154.0, 205.0, 190.0, 18.0], shoonya_2sZTRVPLDEDLR1, 5654406]
[paragraph, [154.0, 223.0, 190.0, 18.0], shoonya_2sZTRVPLDEDLR1, 5654406]
[paragraph, [154.0, 241.0, 190.0, 18.0], shoonya_2sZTRVPLDEDLR1, 5654406]
[paragraph, [154.0, 259.0, 190.0, 18.0], shoonya_2sZTRVPLDEDLR1, 5654406]
[paragraph, [154.0, 277.0, 190.0, 18.0], shoonya_2sZTRVPLDEDLR1, 5654406]
[paragraph, [154.0, 295.0, 190.0, 18.0], shoonya_2sZTRVPLDEDLR1, 5654406]
[paragraph, [154.0, 313.0, 190.0, 18.0], shoonya_2sZTRVPLDEDLR1, 5654406]
[paragraph, [359.0, 188.0, 193.0, 18.0], shoonya_1s1C2X87RLKDFW, 5654406]
[paragraph, [359.0, 206.0, 193.0, 18.0], shoonya_1s1C2X87RLKDFW, 5654406]
[paragraph, [359.0, 224.0, 193.0, 18.0], shoonya_1s1C2X87RLKDFW, 5654406]
[paragraph, [359.0, 242.0, 193.0, 18.0], shoonya_1s1C2X87RLKDFW, 5654406]
[paragraph, [359.0, 260.0, 193.0, 18.0], shoonya_1s1C2X87RLKDFW, 5654406]
[paragraph, [359.0, 278.0, 193.0, 18.0], shoonya_1s1C2X87RLKDFW, 5654406]
[paragraph, [359.0, 296.0, 193.0, 18.0], shoonya_1s1C2X87RLKDFW, 5654406]
[paragraph, [359.0, 314.0, 193.0, 18.0], shoonya_1s1C2X87RLKDFW, 5654406]
[paragraph, [359.0, 332.0, 193.0, 18.0], shoonya_1s1C2X87RLKDFW, 5654406]
[paragraph, [359.0, 350.0, 193.0, 18.0], shoonya_1s1C2X87RLKDFW, 5654406]
[paragraph, [359.0, 368.0, 193.0, 18.0], shoonya_1s1C2X87RLKDFW, 5654406]
[paragraph, [359.0, 386.0, 193.0, 18.0], shoonya_1s1C2X87RLKDFW, 5654406]
[paragraph, [359.0, 404.0, 193.0, 18.0], shoonya_1s1C2X87RLKDFW, 5654406]
[paragraph, [359.0, 422.0, 193.0, 18.0], shoonya_1s1C2X87RLKDFW, 5654406]
[paragraph, [359.0, 440.0, 193.0, 18.0], shoonya_1s1C2X87RLKDFW, 5654406]
[paragraph, [359.0, 458.0, 193.0, 18.0], shoonya_1s1C2X87RLKDFW, 5654406]
[paragraph, [359.0, 476.0, 193.0, 18.0], shoonya_1s1C2X87RLKDFW, 5654406]
[paragraph, [359.0, 494.0, 193.0, 18.0], shoonya_1s1C2X87RLKDFW, 5654406]
[paragraph, [359.0, 512.0, 193.0, 18.0], shoonya_1s1C2X87RLKDFW, 5654406]
[paragraph, [150.0, 351.0, 194.0, 18.0], shoonya_3s22S31K9W4W0S, 5654406]
[paragraph, [150.0, 369.0, 194.0, 18.0], shoonya_3s22S31K9W4W0S, 5654406]
[paragraph, [150.0, 387.0, 194.0, 18.0], shoonya_3s22S31K9W4W0S, 5654406]
[paragraph, [150.0, 405.0, 194.0, 18.0], shoonya_3s22S31K9W4W0S, 5654406]
[paragraph, [150.0, 423.0, 194.0, 18.0], shoonya_3s22S31K9W4W0S, 5654406]
[paragraph, [150.0, 441.0, 194.0, 18.0], shoonya_3s22S31K9W4W0S, 5654406]
[paragraph, [150.0, 459.0, 194.0, 18.0], shoonya_3s22S31K9W4W0S, 5654406]
[paragraph, [150.0, 477.0, 194.0, 18.0], shoonya_3s22S31K9W4W0S, 5654406]
[paragraph, [150.0, 495.0, 194.0, 18.0], shoonya_3s22S31K9W4W0S, 5654406]
[paragraph, [150.0, 513.0, 194.0, 18.0], shoonya_3s22S31K9W4W0S, 5654406]
[paragraph, [150.0, 531.0, 194.0, 18.0], shoonya_3s22S31K9W4W0S, 5654406]
[sidebar, [64.0, 424.0, 69.0, 18.0], shoonya_8sSGJLGG07EJYV, 5654406]
[sidebar, [64.0, 442.0, 69.0, 18.0], shoonya_8sSGJLGG07EJYV, 5654406]
[sidebar, [64.0, 460.0, 69.0, 18.0], shoonya_8sSGJLGG07EJYV, 5654406]
[sidebar, [64.0, 478.0, 69.0, 18.0], shoonya_8sSGJLGG07EJYV, 5654406]
[sidebar, [64.0, 496.0, 69.0, 18.0], shoonya_8sSGJLGG07EJYV, 5654406]
[sidebar, [64.0, 514.0, 69.0, 18.0], shoonya_8sSGJLGG07EJYV, 5654406]
[sidebar, [64.0, 532.0, 69.0, 18.0], shoonya_8sSGJLGG07EJYV, 5654406]
[sidebar, [64.0, 550.0, 69.0, 18.0], shoonya_8sSGJLGG07EJYV, 5654406]
[sidebar, [64.0, 568.0, 69.0, 18.0], shoonya_8sSGJLGG07EJYV, 5654406]
[sidebar, [64.0, 586.0, 69.0, 18.0], shoonya_8sSGJLGG07EJYV, 5654406]
[sidebar, [64.0, 604.0, 69.0, 18.0], shoonya_8sSGJLGG07EJYV, 5654406]
[sidebar, [64.0, 622.0, 69.0, 18.0], shoonya_8sSGJLGG07EJYV, 5654406]
[sidebar, [64.0, 640.0, 69.0, 18.0], shoonya_8sSGJLGG07EJYV, 5654406]
[sidebar, [64.0, 658.0, 69.0, 18.0], shoonya_8sSGJLGG07EJYV, 5654406]
[sidebar, [64.0, 676.0, 69.0, 18.0], shoonya_8sSGJLGG07EJYV, 5654406]
[paragraph, [358.0, 535.0, 196.0, 18.0], shoonya_0s6C6258FBV7AB, 5654406]
[paragraph, [358.0, 553.0, 196.0, 18.0], shoonya_0s6C6258FBV7AB, 5654406]
[paragraph, [358.0, 571.0, 196.0, 18.0], shoonya_0s6C6258FBV7AB, 5654406]
[paragraph, [358.0, 589.0, 196.0, 18.0], shoonya_0s6C6258FBV7AB, 5654406]
[paragraph, [358.0, 607.0, 196.0, 18.0], shoonya_0s6C6258FBV7AB, 5654406]
[paragraph, [358.0, 625.0, 196.0, 18.0], shoonya_0s6C6258FBV7AB, 5654406]
[paragraph, [358.0, 643.0, 196.0, 18.0], shoonya_0s6C6258FBV7AB, 5654406]
[paragraph, [358.0, 661.0, 196.0, 18.0], shoonya_0s6C6258FBV7AB, 5654406]
[paragraph, [358.0, 679.0, 196.0, 18.0], shoonya_0s6C6258FBV7AB, 5654406]
[paragraph, [153.0, 563.0, 191.0, 18.0], shoonya_4sEICG49ECBNDX, 5654406]
[paragraph, [153.0, 581.0, 191.0, 18.0], shoonya_4sEICG49ECBNDX, 5654406]
[paragraph, [153.0, 599.0, 191.0, 18.0], shoonya_4sEICG49ECBNDX, 5654406]
[paragraph, [153.0, 617.0, 191.0, 18.0], shoonya_4sEICG49ECBNDX, 5654406]
[paragraph, [153.0, 635.0, 191.0, 18.0], shoonya_4sEICG49ECBNDX, 5654406]
[paragraph, [153.0, 653.0, 191.0, 18.0], shoonya_4sEICG49ECBNDX, 5654406]
[paragraph, [153.0, 671.0, 191.0, 18.0], shoonya_4sEICG49ECBNDX, 5654406]
[folio, [86.0, 733.0, 60.0, 18.0], TAwpgPjnH1, 5654406]
