[975, 571]
[chapter-title, [126.0, 9.0, 323.0, 30.0], shoonya_0s6F7WHP6IGTVY, 5776392]
[paragraph, [22.0, 58.0, 538.0, 18.0], Yao19gBm9v, 5776392]
[paragraph, [22.0, 76.0, 538.0, 18.0], Yao19gBm9v, 5776392]
[paragraph, [22.0, 94.0, 538.0, 18.0], Yao19gBm9v, 5776392]
[paragraph, [23.0, 118.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 136.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 154.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 172.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 190.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 208.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 226.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 244.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 262.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 280.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 298.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 316.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 334.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 352.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 370.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 388.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 406.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 424.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 442.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 460.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 478.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 496.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 514.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 532.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 550.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 568.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 586.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 604.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 622.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 640.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 658.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 676.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 694.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [23.0, 712.0, 536.0, 18.0], FzQrmONPvV, 5776392]
[paragraph, [20.0, 739.0, 542.0, 18.0], sI0J1kknLR, 5776392]
[paragraph, [20.0, 757.0, 542.0, 18.0], sI0J1kknLR, 5776392]
[paragraph, [20.0, 775.0, 542.0, 18.0], sI0J1kknLR, 5776392]
[paragraph, [20.0, 793.0, 542.0, 18.0], sI0J1kknLR, 5776392]
[paragraph, [20.0, 811.0, 542.0, 18.0], sI0J1kknLR, 5776392]
[paragraph, [20.0, 829.0, 542.0, 18.0], sI0J1kknLR, 5776392]
[paragraph, [20.0, 847.0, 542.0, 18.0], sI0J1kknLR, 5776392]
[paragraph, [20.0, 865.0, 542.0, 18.0], sI0J1kknLR, 5776392]
[paragraph, [20.0, 883.0, 542.0, 18.0], sI0J1kknLR, 5776392]
