[2200, 1700]
[paragraph, [311.0, 85.0, 1112.0, 36.0], shoonya_3sOG3QK3ZZT9PT, 5730926]
[paragraph, [311.0, 121.0, 1112.0, 36.0], shoonya_3sOG3QK3ZZT9PT, 5730926]
[paragraph, [311.0, 157.0, 1112.0, 36.0], shoonya_3sOG3QK3ZZT9PT, 5730926]
[paragraph, [311.0, 193.0, 1112.0, 36.0], shoonya_3sOG3QK3ZZT9PT, 5730926]
[paragraph, [311.0, 229.0, 1112.0, 36.0], shoonya_3sOG3QK3ZZT9PT, 5730926]
[paragraph, [311.0, 265.0, 1112.0, 36.0], shoonya_3sOG3QK3ZZT9PT, 5730926]
[paragraph, [311.0, 301.0, 1112.0, 36.0], shoonya_3sOG3QK3ZZT9PT, 5730926]
[paragraph, [311.0, 337.0, 1112.0, 36.0], shoonya_3sOG3QK3ZZT9PT, 5730926]
[paragraph, [311.0, 373.0, 1112.0, 36.0], shoonya_3sOG3QK3ZZT9PT, 5730926]
[paragraph, [311.0, 409.0, 1112.0, 36.0], shoonya_3sOG3QK3ZZT9PT, 5730926]
[paragraph, [311.0, 445.0, 1112.0, 36.0], shoonya_3sOG3QK3ZZT9PT, 5730926]
[paragraph, [311.0, 481.0, 1112.0, 36.0], shoonya_3sOG3QK3ZZT9PT, 5730926]
[paragraph, [311.0, 517.0, 1112.0, 36.0], shoonya_3sOG3QK3ZZT9PT, 5730926]
[paragraph, [311.0, 553.0, 1112.0, 36.0], shoonya_3sOG3QK3ZZT9PT, 5730926]
[paragraph, [311.0, 589.0, 1112.0, 36.0], shoonya_3sOG3QK3ZZT9PT, 5730926]
[paragraph, [311.0, 625.0, 1112.0, 36.0], shoonya_3sOG3QK3ZZT9PT, 5730926]
[paragraph, [311.0, 661.0, 1112.0, 36.0], shoonya_3sOG3QK3ZZT9PT, 5730926]
[paragraph, [311.0, 697.0, 1112.0, 36.0], shoonya_3sOG3QK3ZZT9PT, 5730926]
[paragraph, [311.0, 733.0, 1112.0, 36.0], shoonya_3sOG3QK3ZZT9PT, 5730926]
[paragraph, [311.0, 769.0, 1112.0, 36.0], shoonya_3sOG3QK3ZZT9PT, 5730926]
[paragraph, [311.0, 805.0, 1112.0, 36.0], shoonya_3sOG3QK3ZZT9PT, 5730926]
[paragraph, [311.0, 841.0, 1112.0, 36.0], shoonya_3sOG3QK3ZZT9PT, 5730926]
[paragraph, [311.0, 877.0, 1112.0, 36.0], shoonya_3sOG3QK3ZZT9PT, 5730926]
[paragraph, [311.0, 913.0, 1112.0, 36.0], shoonya_3sOG3QK3ZZT9PT, 5730926]
[paragraph, [311.0, 949.0, 1112.0, 36.0], shoonya_3sOG3QK3ZZT9PT, 5730926]
[paragraph, [311.0, 985.0, 1112.0, 36.0], shoonya_3sOG3QK3ZZT9PT, 5730926]
[paragraph, [311.0, 1021.0, 1112.0, 36.0], shoonya_3sOG3QK3ZZT9PT, 5730926]
[paragraph, [311.0, 1057.0, 1112.0, 36.0], shoonya_3sOG3QK3ZZT9PT, 5730926]
[paragraph, [310.0, 1113.0, 1103.0, 36.0], shoonya_1sKJ3MKM3H2VBN, 5730926]
[paragraph, [310.0, 1149.0, 1103.0, 36.0], shoonya_1sKJ3MKM3H2VBN, 5730926]
[paragraph, [310.0, 1185.0, 1103.0, 36.0], shoonya_1sKJ3MKM3H2VBN, 5730926]
[paragraph, [310.0, 1221.0, 1103.0, 36.0], shoonya_1sKJ3MKM3H2VBN, 5730926]
[paragraph, [310.0, 1257.0, 1103.0, 36.0], shoonya_1sKJ3MKM3H2VBN, 5730926]
[paragraph, [310.0, 1293.0, 1103.0, 36.0], shoonya_1sKJ3MKM3H2VBN, 5730926]
[paragraph, [310.0, 1329.0, 1103.0, 36.0], shoonya_1sKJ3MKM3H2VBN, 5730926]
[paragraph, [310.0, 1365.0, 1103.0, 36.0], shoonya_1sKJ3MKM3H2VBN, 5730926]
[paragraph, [310.0, 1401.0, 1103.0, 36.0], shoonya_1sKJ3MKM3H2VBN, 5730926]
[paragraph, [310.0, 1437.0, 1103.0, 36.0], shoonya_1sKJ3MKM3H2VBN, 5730926]
[section-title, [315.0, 1517.0, 398.0, 52.5], shoonya_2sL48CSQF1VBJF, 5730926]
[paragraph, [305.0, 1585.0, 1089.0, 36.0], shoonya_0sN8MSPPEY0V7P, 5730926]
[paragraph, [305.0, 1621.0, 1089.0, 36.0], shoonya_0sN8MSPPEY0V7P, 5730926]
[paragraph, [305.0, 1657.0, 1089.0, 36.0], shoonya_0sN8MSPPEY0V7P, 5730926]
[paragraph, [305.0, 1693.0, 1089.0, 36.0], shoonya_0sN8MSPPEY0V7P, 5730926]
[paragraph, [305.0, 1729.0, 1089.0, 36.0], shoonya_0sN8MSPPEY0V7P, 5730926]
[paragraph, [305.0, 1765.0, 1089.0, 36.0], shoonya_0sN8MSPPEY0V7P, 5730926]
[paragraph, [305.0, 1801.0, 1089.0, 36.0], shoonya_0sN8MSPPEY0V7P, 5730926]
[paragraph, [305.0, 1837.0, 1089.0, 36.0], shoonya_0sN8MSPPEY0V7P, 5730926]
[paragraph, [305.0, 1873.0, 1089.0, 36.0], shoonya_0sN8MSPPEY0V7P, 5730926]
[paragraph, [305.0, 1909.0, 1089.0, 36.0], shoonya_0sN8MSPPEY0V7P, 5730926]
[paragraph, [305.0, 1945.0, 1089.0, 36.0], shoonya_0sN8MSPPEY0V7P, 5730926]
[folio, [944.0, 2044.0, 358.0, 36.0], oxXoe8o4sT, 5730926]
