[1806, 1262]
[folio, [629.0, 99.0, 467.0, 36.0], shoonya_7s8OSTWX0BH6QH, 5681082]
[paragraph, [654.0, 176.0, 498.0, 36.0], shoonya_1s4XVT33TOF75E, 5681082]
[paragraph, [654.0, 212.0, 498.0, 36.0], shoonya_1s4XVT33TOF75E, 5681082]
[section-title, [198.0, 183.0, 325.0, 49.5], shoonya_5sHZZI9XYLF176, 5681082]
[paragraph, [658.0, 255.0, 499.0, 36.0], gNDziGvnGa, 5681082]
[paragraph, [658.0, 291.0, 499.0, 36.0], gNDziGvnGa, 5681082]
[paragraph, [658.0, 327.0, 499.0, 36.0], gNDziGvnGa, 5681082]
[paragraph, [658.0, 363.0, 499.0, 36.0], gNDziGvnGa, 5681082]
[paragraph, [97.0, 259.0, 499.0, 36.0], shoonya_2sTGPJ2YM280ZJ, 5681082]
[paragraph, [97.0, 295.0, 499.0, 36.0], shoonya_2sTGPJ2YM280ZJ, 5681082]
[paragraph, [97.0, 331.0, 499.0, 36.0], shoonya_2sTGPJ2YM280ZJ, 5681082]
[paragraph, [97.0, 367.0, 499.0, 36.0], shoonya_2sTGPJ2YM280ZJ, 5681082]
[paragraph, [97.0, 403.0, 499.0, 36.0], shoonya_2sTGPJ2YM280ZJ, 5681082]
[paragraph, [97.0, 439.0, 499.0, 36.0], shoonya_2sTGPJ2YM280ZJ, 5681082]
[paragraph, [97.0, 475.0, 499.0, 36.0], shoonya_2sTGPJ2YM280ZJ, 5681082]
[paragraph, [97.0, 511.0, 499.0, 36.0], shoonya_2sTGPJ2YM280ZJ, 5681082]
[paragraph, [660.0, 435.0, 501.0, 36.0], gYMylWr8lR, 5681082]
[paragraph, [660.0, 471.0, 501.0, 36.0], gYMylWr8lR, 5681082]
[paragraph, [660.0, 507.0, 501.0, 36.0], gYMylWr8lR, 5681082]
[paragraph, [660.0, 543.0, 501.0, 36.0], gYMylWr8lR, 5681082]
[paragraph, [660.0, 579.0, 501.0, 36.0], gYMylWr8lR, 5681082]
[paragraph, [660.0, 615.0, 501.0, 36.0], gYMylWr8lR, 5681082]
[paragraph, [660.0, 651.0, 501.0, 36.0], gYMylWr8lR, 5681082]
[paragraph, [660.0, 687.0, 501.0, 36.0], gYMylWr8lR, 5681082]
[paragraph, [660.0, 723.0, 501.0, 36.0], gYMylWr8lR, 5681082]
[paragraph, [660.0, 759.0, 501.0, 36.0], gYMylWr8lR, 5681082]
[paragraph, [660.0, 795.0, 501.0, 36.0], gYMylWr8lR, 5681082]
[paragraph, [660.0, 831.0, 501.0, 36.0], gYMylWr8lR, 5681082]
[paragraph, [660.0, 867.0, 501.0, 36.0], gYMylWr8lR, 5681082]
[paragraph, [660.0, 903.0, 501.0, 36.0], gYMylWr8lR, 5681082]
[paragraph, [660.0, 939.0, 501.0, 36.0], gYMylWr8lR, 5681082]
[paragraph, [660.0, 975.0, 501.0, 36.0], gYMylWr8lR, 5681082]
[paragraph, [102.0, 549.0, 494.0, 36.0], XBah2vHbnu, 5681082]
[paragraph, [94.0, 646.0, 499.0, 36.0], wxTKQaimID, 5681082]
[paragraph, [94.0, 682.0, 499.0, 36.0], wxTKQaimID, 5681082]
[paragraph, [94.0, 718.0, 499.0, 36.0], wxTKQaimID, 5681082]
[paragraph, [102.0, 773.0, 236.0, 36.0], FADF6TzoMt, 5681082]
[paragraph, [100.0, 851.0, 501.0, 36.0], shoonya_0sXRCUHUL1TCDA, 5681082]
[paragraph, [100.0, 887.0, 501.0, 36.0], shoonya_0sXRCUHUL1TCDA, 5681082]
[paragraph, [100.0, 923.0, 501.0, 36.0], shoonya_0sXRCUHUL1TCDA, 5681082]
[paragraph, [100.0, 959.0, 501.0, 36.0], shoonya_0sXRCUHUL1TCDA, 5681082]
[paragraph, [100.0, 995.0, 501.0, 36.0], shoonya_0sXRCUHUL1TCDA, 5681082]
[paragraph, [100.0, 1031.0, 501.0, 36.0], shoonya_0sXRCUHUL1TCDA, 5681082]
[paragraph, [100.0, 1067.0, 501.0, 36.0], shoonya_0sXRCUHUL1TCDA, 5681082]
[paragraph, [100.0, 1103.0, 501.0, 36.0], shoonya_0sXRCUHUL1TCDA, 5681082]
[paragraph, [100.0, 1139.0, 501.0, 36.0], shoonya_0sXRCUHUL1TCDA, 5681082]
[paragraph, [100.0, 1175.0, 501.0, 36.0], shoonya_0sXRCUHUL1TCDA, 5681082]
[paragraph, [100.0, 1211.0, 501.0, 36.0], shoonya_0sXRCUHUL1TCDA, 5681082]
[paragraph, [100.0, 1247.0, 501.0, 36.0], shoonya_0sXRCUHUL1TCDA, 5681082]
[paragraph, [100.0, 1283.0, 501.0, 36.0], shoonya_0sXRCUHUL1TCDA, 5681082]
[paragraph, [100.0, 1319.0, 501.0, 36.0], shoonya_0sXRCUHUL1TCDA, 5681082]
[paragraph, [100.0, 1355.0, 501.0, 36.0], shoonya_0sXRCUHUL1TCDA, 5681082]
[paragraph, [100.0, 1391.0, 501.0, 36.0], shoonya_0sXRCUHUL1TCDA, 5681082]
