[872, 605]
[chapter-title, [257.0, 33.0, 89.0, 30.0], shoonya_0sNCIKIDLWCOMB, 6457126]
[folio, [458.0, 34.0, 86.0, 18.0], FfrZ1dNAjI, 6457126]
[paragraph, [299.0, 78.0, 250.0, 18.0], viP2uPvOQK, 6457126]
[paragraph, [299.0, 96.0, 250.0, 18.0], viP2uPvOQK, 6457126]
[paragraph, [64.0, 83.0, 64.0, 18.0], 4kkVGAv307, 6457126]
[paragraph, [135.0, 94.0, 163.0, 18.0], 2fS9rMgtD2, 6457126]
[paragraph, [303.0, 118.0, 250.0, 18.0], 4iQlE-w9Xg, 6457126]
[paragraph, [303.0, 136.0, 250.0, 18.0], 4iQlE-w9Xg, 6457126]
[paragraph, [55.0, 130.0, 243.0, 18.0], 7eTdQ8nlUQ, 6457126]
[paragraph, [55.0, 159.0, 240.0, 18.0], EL620Je18m, 6457126]
[paragraph, [55.0, 177.0, 240.0, 18.0], EL620Je18m, 6457126]
[paragraph, [304.0, 171.0, 220.0, 18.0], OR3fnLUd8J, 6457126]
[paragraph, [301.0, 194.0, 249.0, 18.0], -RvWdw-aga, 6457126]
[paragraph, [303.0, 225.0, 242.0, 18.0], 6HGQVEtItk, 6457126]
[paragraph, [303.0, 264.0, 250.0, 18.0], eELzAZshnS, 6457126]
[paragraph, [54.0, 265.0, 246.0, 18.0], -c1Lsa91-j, 6457126]
[paragraph, [52.0, 297.0, 227.0, 18.0], VALqBY_4jB, 6457126]
[paragraph, [304.0, 317.0, 249.0, 18.0], bx5GtQVeV0, 6457126]
[paragraph, [304.0, 335.0, 249.0, 18.0], bx5GtQVeV0, 6457126]
[paragraph, [49.0, 332.0, 248.0, 18.0], vdIrig_f6-, 6457126]
[paragraph, [302.0, 353.0, 233.0, 18.0], 8yJ-En7HIt, 6457126]
[paragraph, [52.0, 369.0, 249.0, 18.0], XZ-FhspwRA, 6457126]
[paragraph, [52.0, 387.0, 249.0, 18.0], XZ-FhspwRA, 6457126]
[paragraph, [52.0, 405.0, 249.0, 18.0], XZ-FhspwRA, 6457126]
[paragraph, [52.0, 423.0, 249.0, 18.0], XZ-FhspwRA, 6457126]
[paragraph, [302.0, 373.0, 246.0, 18.0], hMxDL92oR9, 6457126]
[paragraph, [303.0, 408.0, 225.0, 18.0], esI6ohKLlN, 6457126]
[paragraph, [304.0, 428.0, 250.0, 18.0], TzctHIRYKm, 6457126]
[paragraph, [304.0, 446.0, 250.0, 18.0], TzctHIRYKm, 6457126]
[paragraph, [50.0, 453.0, 248.0, 18.0], BKJ8zZ4pRC, 6457126]
[paragraph, [304.0, 478.0, 236.0, 18.0], FzDdhV-5TO, 6457126]
[paragraph, [51.0, 487.0, 248.0, 18.0], KAIFhDQx0R, 6457126]
[paragraph, [51.0, 505.0, 248.0, 18.0], KAIFhDQx0R, 6457126]
[paragraph, [303.0, 497.0, 216.0, 18.0], kgBwmihbKD, 6457126]
[paragraph, [315.0, 516.0, 239.0, 18.0], cI5nNsQK20, 6457126]
[paragraph, [49.0, 532.0, 250.0, 18.0], wb1lxXHpsI, 6457126]
[paragraph, [49.0, 550.0, 250.0, 18.0], wb1lxXHpsI, 6457126]
[paragraph, [302.0, 535.0, 232.0, 18.0], 0uagm6o5PA, 6457126]
[paragraph, [303.0, 554.0, 200.0, 18.0], TNeL2IpjrG, 6457126]
[paragraph, [50.0, 571.0, 241.0, 18.0], CV4RLXDLu5, 6457126]
[paragraph, [50.0, 589.0, 241.0, 18.0], CV4RLXDLu5, 6457126]
[reference, [303.0, 596.0, 248.0, 18.0], 3qmVykudiF, 6457126]
[reference, [303.0, 614.0, 248.0, 18.0], 3qmVykudiF, 6457126]
[reference, [303.0, 632.0, 248.0, 18.0], 3qmVykudiF, 6457126]
[reference, [303.0, 650.0, 248.0, 18.0], 3qmVykudiF, 6457126]
[reference, [303.0, 668.0, 248.0, 18.0], 3qmVykudiF, 6457126]
[reference, [303.0, 686.0, 248.0, 18.0], 3qmVykudiF, 6457126]
[reference, [303.0, 704.0, 248.0, 18.0], 3qmVykudiF, 6457126]
[reference, [303.0, 722.0, 248.0, 18.0], 3qmVykudiF, 6457126]
[reference, [303.0, 740.0, 248.0, 18.0], 3qmVykudiF, 6457126]
[reference, [303.0, 758.0, 248.0, 18.0], 3qmVykudiF, 6457126]
[reference, [303.0, 776.0, 248.0, 18.0], 3qmVykudiF, 6457126]
[reference, [303.0, 794.0, 248.0, 18.0], 3qmVykudiF, 6457126]
[reference, [303.0, 812.0, 248.0, 18.0], 3qmVykudiF, 6457126]
[paragraph, [49.0, 606.0, 251.0, 18.0], aWOZ8C3YPI, 6457126]
[paragraph, [49.0, 624.0, 251.0, 18.0], aWOZ8C3YPI, 6457126]
[reference, [50.0, 658.0, 250.0, 18.0], M4QSGprMyh, 6457126]
[reference, [50.0, 676.0, 250.0, 18.0], M4QSGprMyh, 6457126]
[reference, [50.0, 694.0, 250.0, 18.0], M4QSGprMyh, 6457126]
[reference, [50.0, 712.0, 250.0, 18.0], M4QSGprMyh, 6457126]
[reference, [50.0, 730.0, 250.0, 18.0], M4QSGprMyh, 6457126]
[reference, [50.0, 748.0, 250.0, 18.0], M4QSGprMyh, 6457126]
[reference, [50.0, 766.0, 250.0, 18.0], M4QSGprMyh, 6457126]
[reference, [50.0, 784.0, 250.0, 18.0], M4QSGprMyh, 6457126]
[reference, [50.0, 802.0, 250.0, 18.0], M4QSGprMyh, 6457126]
