[507, 318]
[folio, [242.0, 13.0, 71.0, 18.0], w3_so5aPeL, 5653076]
[paragraph, [0.0, 45.0, 315.0, 18.0], shoonya_3sO6MUIX70Z8XX, 5653076]
[paragraph, [0.0, 63.0, 315.0, 18.0], shoonya_3sO6MUIX70Z8XX, 5653076]
[paragraph, [0.0, 81.0, 315.0, 18.0], shoonya_3sO6MUIX70Z8XX, 5653076]
[paragraph, [0.0, 107.0, 317.0, 18.0], shoonya_1s4YIMWMJZ4THK, 5653076]
[paragraph, [0.0, 125.0, 317.0, 18.0], shoonya_1s4YIMWMJZ4THK, 5653076]
[paragraph, [0.0, 143.0, 317.0, 18.0], shoonya_1s4YIMWMJZ4THK, 5653076]
[paragraph, [0.0, 168.0, 313.0, 18.0], shoonya_2sOEQQE4K616AU, 5653076]
[paragraph, [0.0, 186.0, 313.0, 18.0], shoonya_2sOEQQE4K616AU, 5653076]
[paragraph, [0.0, 204.0, 313.0, 18.0], shoonya_2sOEQQE4K616AU, 5653076]
[paragraph, [3.0, 225.0, 314.0, 18.0], shoonya_0sVKQCGCKVR6EW, 5653076]
[paragraph, [3.0, 243.0, 314.0, 18.0], shoonya_0sVKQCGCKVR6EW, 5653076]
[paragraph, [3.0, 261.0, 314.0, 18.0], shoonya_0sVKQCGCKVR6EW, 5653076]
[paragraph, [3.0, 279.0, 314.0, 18.0], shoonya_0sVKQCGCKVR6EW, 5653076]
[paragraph, [3.0, 297.0, 314.0, 18.0], shoonya_0sVKQCGCKVR6EW, 5653076]
[paragraph, [3.0, 315.0, 314.0, 18.0], shoonya_0sVKQCGCKVR6EW, 5653076]
[paragraph, [3.0, 333.0, 314.0, 18.0], shoonya_0sVKQCGCKVR6EW, 5653076]
[paragraph, [3.0, 351.0, 314.0, 18.0], shoonya_0sVKQCGCKVR6EW, 5653076]
[paragraph, [3.0, 369.0, 314.0, 18.0], shoonya_0sVKQCGCKVR6EW, 5653076]
[paragraph, [3.0, 387.0, 314.0, 18.0], shoonya_0sVKQCGCKVR6EW, 5653076]
[paragraph, [3.0, 405.0, 314.0, 18.0], shoonya_0sVKQCGCKVR6EW, 5653076]
[paragraph, [3.0, 423.0, 314.0, 18.0], shoonya_0sVKQCGCKVR6EW, 5653076]
[paragraph, [3.0, 441.0, 314.0, 18.0], shoonya_0sVKQCGCKVR6EW, 5653076]
[paragraph, [3.0, 459.0, 314.0, 18.0], shoonya_0sVKQCGCKVR6EW, 5653076]
[paragraph, [3.0, 477.0, 314.0, 18.0], shoonya_0sVKQCGCKVR6EW, 5653076]
