[591, 402]
[folio, [143.0, 47.0, 83.0, 18.0], XLGUOM9sOb, 6493236]
[paragraph, [30.0, 97.0, 312.0, 18.0], k6bOYtLBZ1, 6493236]
[paragraph, [30.0, 115.0, 312.0, 18.0], k6bOYtLBZ1, 6493236]
[paragraph, [30.0, 133.0, 312.0, 18.0], k6bOYtLBZ1, 6493236]
[paragraph, [30.0, 151.0, 312.0, 18.0], k6bOYtLBZ1, 6493236]
[paragraph, [30.0, 169.0, 312.0, 18.0], k6bOYtLBZ1, 6493236]
[paragraph, [30.0, 187.0, 312.0, 18.0], k6bOYtLBZ1, 6493236]
[paragraph, [30.0, 205.0, 312.0, 18.0], k6bOYtLBZ1, 6493236]
[paragraph, [30.0, 223.0, 312.0, 18.0], k6bOYtLBZ1, 6493236]
[paragraph, [30.0, 241.0, 312.0, 18.0], k6bOYtLBZ1, 6493236]
[paragraph, [30.0, 259.0, 312.0, 18.0], k6bOYtLBZ1, 6493236]
[paragraph, [30.0, 277.0, 312.0, 18.0], k6bOYtLBZ1, 6493236]
[paragraph, [30.0, 295.0, 312.0, 18.0], k6bOYtLBZ1, 6493236]
[paragraph, [30.0, 313.0, 312.0, 18.0], k6bOYtLBZ1, 6493236]
[paragraph, [30.0, 331.0, 312.0, 18.0], k6bOYtLBZ1, 6493236]
[paragraph, [30.0, 349.0, 312.0, 18.0], k6bOYtLBZ1, 6493236]
[paragraph, [30.0, 367.0, 312.0, 18.0], k6bOYtLBZ1, 6493236]
[paragraph, [30.0, 385.0, 312.0, 18.0], k6bOYtLBZ1, 6493236]
[paragraph, [30.0, 403.0, 312.0, 18.0], k6bOYtLBZ1, 6493236]
[paragraph, [34.0, 428.0, 311.0, 18.0], ah7ZWvIvva, 6493236]
[paragraph, [34.0, 446.0, 311.0, 18.0], ah7ZWvIvva, 6493236]
[paragraph, [34.0, 464.0, 311.0, 18.0], ah7ZWvIvva, 6493236]
[paragraph, [34.0, 482.0, 311.0, 18.0], ah7ZWvIvva, 6493236]
[paragraph, [34.0, 500.0, 311.0, 18.0], ah7ZWvIvva, 6493236]
[paragraph, [34.0, 518.0, 311.0, 18.0], ah7ZWvIvva, 6493236]
