[2334, 1650]
[paragraph, [240.0, 153.0, 1247.0, 36.0], shoonya_0sK0C1L077HC2O, 5652559]
[paragraph, [240.0, 189.0, 1247.0, 36.0], shoonya_0sK0C1L077HC2O, 5652559]
[paragraph, [240.0, 225.0, 1247.0, 36.0], shoonya_0sK0C1L077HC2O, 5652559]
[paragraph, [240.0, 261.0, 1247.0, 36.0], shoonya_0sK0C1L077HC2O, 5652559]
[paragraph, [240.0, 297.0, 1247.0, 36.0], shoonya_0sK0C1L077HC2O, 5652559]
[paragraph, [240.0, 333.0, 1247.0, 36.0], shoonya_0sK0C1L077HC2O, 5652559]
[paragraph, [240.0, 369.0, 1247.0, 36.0], shoonya_0sK0C1L077HC2O, 5652559]
[paragraph, [240.0, 405.0, 1247.0, 36.0], shoonya_0sK0C1L077HC2O, 5652559]
[paragraph, [240.0, 441.0, 1247.0, 36.0], shoonya_0sK0C1L077HC2O, 5652559]
[paragraph, [240.0, 477.0, 1247.0, 36.0], shoonya_0sK0C1L077HC2O, 5652559]
[paragraph, [240.0, 513.0, 1247.0, 36.0], shoonya_0sK0C1L077HC2O, 5652559]
[paragraph, [240.0, 549.0, 1247.0, 36.0], shoonya_0sK0C1L077HC2O, 5652559]
[paragraph, [240.0, 585.0, 1247.0, 36.0], shoonya_0sK0C1L077HC2O, 5652559]
[paragraph, [262.0, 610.0, 1225.0, 36.0], e7E86ItUJ1, 5652559]
[paragraph, [262.0, 646.0, 1225.0, 36.0], e7E86ItUJ1, 5652559]
[paragraph, [262.0, 682.0, 1225.0, 36.0], e7E86ItUJ1, 5652559]
[paragraph, [262.0, 718.0, 1225.0, 36.0], e7E86ItUJ1, 5652559]
[paragraph, [262.0, 754.0, 1225.0, 36.0], e7E86ItUJ1, 5652559]
[paragraph, [262.0, 790.0, 1225.0, 36.0], e7E86ItUJ1, 5652559]
[paragraph, [262.0, 826.0, 1225.0, 36.0], e7E86ItUJ1, 5652559]
[paragraph, [262.0, 862.0, 1225.0, 36.0], e7E86ItUJ1, 5652559]
[paragraph, [262.0, 898.0, 1225.0, 36.0], e7E86ItUJ1, 5652559]
[paragraph, [262.0, 934.0, 1225.0, 36.0], e7E86ItUJ1, 5652559]
[paragraph, [262.0, 970.0, 1225.0, 36.0], e7E86ItUJ1, 5652559]
[paragraph, [262.0, 1006.0, 1225.0, 36.0], e7E86ItUJ1, 5652559]
[paragraph, [262.0, 1042.0, 1225.0, 36.0], e7E86ItUJ1, 5652559]
[paragraph, [262.0, 1078.0, 1225.0, 36.0], e7E86ItUJ1, 5652559]
[paragraph, [262.0, 1114.0, 1225.0, 36.0], e7E86ItUJ1, 5652559]
[paragraph, [262.0, 1150.0, 1225.0, 36.0], e7E86ItUJ1, 5652559]
[paragraph, [262.0, 1186.0, 1225.0, 36.0], e7E86ItUJ1, 5652559]
[paragraph, [262.0, 1222.0, 1225.0, 36.0], e7E86ItUJ1, 5652559]
[paragraph, [262.0, 1258.0, 1225.0, 36.0], e7E86ItUJ1, 5652559]
[paragraph, [248.0, 1303.0, 1224.0, 36.0], skisUy9sXK, 5652559]
[paragraph, [248.0, 1339.0, 1224.0, 36.0], skisUy9sXK, 5652559]
[paragraph, [248.0, 1375.0, 1224.0, 36.0], skisUy9sXK, 5652559]
[paragraph, [248.0, 1411.0, 1224.0, 36.0], skisUy9sXK, 5652559]
[paragraph, [248.0, 1447.0, 1224.0, 36.0], skisUy9sXK, 5652559]
[paragraph, [248.0, 1483.0, 1224.0, 36.0], skisUy9sXK, 5652559]
[paragraph, [248.0, 1519.0, 1224.0, 36.0], skisUy9sXK, 5652559]
[paragraph, [248.0, 1555.0, 1224.0, 36.0], skisUy9sXK, 5652559]
[paragraph, [248.0, 1591.0, 1224.0, 36.0], skisUy9sXK, 5652559]
[paragraph, [248.0, 1627.0, 1224.0, 36.0], skisUy9sXK, 5652559]
[paragraph, [248.0, 1663.0, 1224.0, 36.0], skisUy9sXK, 5652559]
[paragraph, [237.0, 1696.0, 1260.0, 36.0], REoOJk9zXj, 5652559]
[paragraph, [237.0, 1732.0, 1260.0, 36.0], REoOJk9zXj, 5652559]
[paragraph, [237.0, 1768.0, 1260.0, 36.0], REoOJk9zXj, 5652559]
[paragraph, [237.0, 1804.0, 1260.0, 36.0], REoOJk9zXj, 5652559]
[paragraph, [237.0, 1840.0, 1260.0, 36.0], REoOJk9zXj, 5652559]
[paragraph, [237.0, 1876.0, 1260.0, 36.0], REoOJk9zXj, 5652559]
[paragraph, [237.0, 1912.0, 1260.0, 36.0], REoOJk9zXj, 5652559]
[paragraph, [237.0, 1948.0, 1260.0, 36.0], REoOJk9zXj, 5652559]
[paragraph, [237.0, 1984.0, 1260.0, 36.0], REoOJk9zXj, 5652559]
[paragraph, [237.0, 2020.0, 1260.0, 36.0], REoOJk9zXj, 5652559]
[folio, [354.0, 2088.0, 397.0, 36.0], NHcIyCV-d8, 5652559]
