[1034, 680]
[folio, [245.0, 70.0, 210.0, 18.0], shoonya_0sURHZ62V0ISEZ, 5740049]
[folio, [245.0, 88.0, 210.0, 18.0], shoonya_0sURHZ62V0ISEZ, 5740049]
[paragraph, [64.0, 127.0, 543.0, 18.0], YVXeLxq-Vi, 5740049]
[paragraph, [64.0, 145.0, 543.0, 18.0], YVXeLxq-Vi, 5740049]
[paragraph, [64.0, 163.0, 543.0, 18.0], YVXeLxq-Vi, 5740049]
[paragraph, [64.0, 181.0, 543.0, 18.0], YVXeLxq-Vi, 5740049]
[paragraph, [64.0, 199.0, 543.0, 18.0], YVXeLxq-Vi, 5740049]
[paragraph, [64.0, 217.0, 543.0, 18.0], YVXeLxq-Vi, 5740049]
[paragraph, [64.0, 235.0, 543.0, 18.0], YVXeLxq-Vi, 5740049]
[paragraph, [64.0, 253.0, 543.0, 18.0], YVXeLxq-Vi, 5740049]
[paragraph, [64.0, 271.0, 543.0, 18.0], YVXeLxq-Vi, 5740049]
[paragraph, [64.0, 289.0, 543.0, 18.0], YVXeLxq-Vi, 5740049]
[paragraph, [64.0, 307.0, 543.0, 18.0], YVXeLxq-Vi, 5740049]
[paragraph, [64.0, 325.0, 543.0, 18.0], YVXeLxq-Vi, 5740049]
[paragraph, [64.0, 343.0, 543.0, 18.0], YVXeLxq-Vi, 5740049]
[paragraph, [64.0, 361.0, 543.0, 18.0], YVXeLxq-Vi, 5740049]
[paragraph, [70.0, 402.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 420.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 438.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 456.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 474.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 492.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 510.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 528.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 546.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 564.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 582.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 600.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 618.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 636.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 654.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 672.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 690.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 708.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 726.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 744.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 762.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 780.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 798.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 816.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 834.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 852.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 870.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 888.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 906.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 924.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
[paragraph, [70.0, 942.0, 549.0, 18.0], u-HjIdaQhZ, 5740049]
