[1162, 749]
[folio, [325.0, 76.0, 85.0, 18.0], shoonya_4sK5KZBSSHZU3T, 5699872]
[paragraph, [77.0, 119.0, 595.0, 18.0], shoonya_2sJFNAO23IOXOZ, 5699872]
[paragraph, [77.0, 137.0, 595.0, 18.0], shoonya_2sJFNAO23IOXOZ, 5699872]
[paragraph, [77.0, 155.0, 595.0, 18.0], shoonya_2sJFNAO23IOXOZ, 5699872]
[paragraph, [77.0, 173.0, 595.0, 18.0], shoonya_2sJFNAO23IOXOZ, 5699872]
[paragraph, [77.0, 191.0, 595.0, 18.0], shoonya_2sJFNAO23IOXOZ, 5699872]
[paragraph, [77.0, 209.0, 595.0, 18.0], shoonya_2sJFNAO23IOXOZ, 5699872]
[paragraph, [77.0, 227.0, 595.0, 18.0], shoonya_2sJFNAO23IOXOZ, 5699872]
[paragraph, [77.0, 260.0, 596.0, 18.0], shoonya_0sEYRWMNN038SC, 5699872]
[paragraph, [77.0, 278.0, 596.0, 18.0], shoonya_0sEYRWMNN038SC, 5699872]
[paragraph, [77.0, 296.0, 596.0, 18.0], shoonya_0sEYRWMNN038SC, 5699872]
[paragraph, [77.0, 314.0, 596.0, 18.0], shoonya_0sEYRWMNN038SC, 5699872]
[paragraph, [77.0, 332.0, 596.0, 18.0], shoonya_0sEYRWMNN038SC, 5699872]
[paragraph, [77.0, 350.0, 596.0, 18.0], shoonya_0sEYRWMNN038SC, 5699872]
[paragraph, [77.0, 368.0, 596.0, 18.0], shoonya_0sEYRWMNN038SC, 5699872]
[paragraph, [77.0, 386.0, 596.0, 18.0], shoonya_0sEYRWMNN038SC, 5699872]
[paragraph, [77.0, 404.0, 596.0, 18.0], shoonya_0sEYRWMNN038SC, 5699872]
[paragraph, [77.0, 422.0, 596.0, 18.0], shoonya_0sEYRWMNN038SC, 5699872]
[paragraph, [77.0, 440.0, 596.0, 18.0], shoonya_0sEYRWMNN038SC, 5699872]
[paragraph, [77.0, 458.0, 596.0, 18.0], shoonya_0sEYRWMNN038SC, 5699872]
[paragraph, [77.0, 476.0, 596.0, 18.0], shoonya_0sEYRWMNN038SC, 5699872]
[paragraph, [77.0, 494.0, 596.0, 18.0], shoonya_0sEYRWMNN038SC, 5699872]
[paragraph, [77.0, 512.0, 596.0, 18.0], shoonya_0sEYRWMNN038SC, 5699872]
[paragraph, [78.0, 538.0, 594.0, 18.0], shoonya_1s7YT00BX8GB7P, 5699872]
[paragraph, [78.0, 556.0, 594.0, 18.0], shoonya_1s7YT00BX8GB7P, 5699872]
[paragraph, [78.0, 574.0, 594.0, 18.0], shoonya_1s7YT00BX8GB7P, 5699872]
[paragraph, [78.0, 592.0, 594.0, 18.0], shoonya_1s7YT00BX8GB7P, 5699872]
[paragraph, [78.0, 610.0, 594.0, 18.0], shoonya_1s7YT00BX8GB7P, 5699872]
[paragraph, [78.0, 628.0, 594.0, 18.0], shoonya_1s7YT00BX8GB7P, 5699872]
[paragraph, [78.0, 646.0, 594.0, 18.0], shoonya_1s7YT00BX8GB7P, 5699872]
[paragraph, [78.0, 664.0, 594.0, 18.0], shoonya_1s7YT00BX8GB7P, 5699872]
[paragraph, [78.0, 682.0, 594.0, 18.0], shoonya_1s7YT00BX8GB7P, 5699872]
[paragraph, [78.0, 700.0, 594.0, 18.0], shoonya_1s7YT00BX8GB7P, 5699872]
[paragraph, [78.0, 718.0, 594.0, 18.0], shoonya_1s7YT00BX8GB7P, 5699872]
[paragraph, [81.0, 749.0, 240.0, 18.0], shoonya_5sLQPM2LM5F9VJ, 5699872]
[paragraph, [81.0, 767.0, 240.0, 18.0], shoonya_5sLQPM2LM5F9VJ, 5699872]
[paragraph, [81.0, 785.0, 240.0, 18.0], shoonya_5sLQPM2LM5F9VJ, 5699872]
[paragraph, [81.0, 803.0, 240.0, 18.0], shoonya_5sLQPM2LM5F9VJ, 5699872]
[paragraph, [81.0, 821.0, 240.0, 18.0], shoonya_5sLQPM2LM5F9VJ, 5699872]
[paragraph, [81.0, 839.0, 240.0, 18.0], shoonya_5sLQPM2LM5F9VJ, 5699872]
[paragraph, [81.0, 857.0, 240.0, 18.0], shoonya_5sLQPM2LM5F9VJ, 5699872]
[paragraph, [81.0, 875.0, 240.0, 18.0], shoonya_5sLQPM2LM5F9VJ, 5699872]
[paragraph, [81.0, 893.0, 240.0, 18.0], shoonya_5sLQPM2LM5F9VJ, 5699872]
[paragraph, [81.0, 911.0, 240.0, 18.0], shoonya_5sLQPM2LM5F9VJ, 5699872]
[paragraph, [81.0, 929.0, 240.0, 18.0], shoonya_5sLQPM2LM5F9VJ, 5699872]
[paragraph, [81.0, 947.0, 240.0, 18.0], shoonya_5sLQPM2LM5F9VJ, 5699872]
[paragraph, [81.0, 965.0, 240.0, 18.0], shoonya_5sLQPM2LM5F9VJ, 5699872]
[figure-caption, [416.0, 749.0, 160.0, 18.0], buhWidE2vl, 5699872]
[paragraph, [83.0, 993.0, 589.0, 18.0], iqLd0bcc2E, 5699872]
[paragraph, [83.0, 1011.0, 589.0, 18.0], iqLd0bcc2E, 5699872]
[paragraph, [83.0, 1029.0, 589.0, 18.0], iqLd0bcc2E, 5699872]
[paragraph, [83.0, 1047.0, 589.0, 18.0], iqLd0bcc2E, 5699872]
[paragraph, [83.0, 1065.0, 589.0, 18.0], iqLd0bcc2E, 5699872]
