[842, 595]
[folio, [177.0, 60.0, 252.0, 18.0], F7-d-DZ_6y, 5772806]
[unordered-list, [96.0, 94.0, 431.0, 18.0], UdGy4mYQ3W, 5772806]
[unordered-list, [96.0, 112.0, 431.0, 18.0], UdGy4mYQ3W, 5772806]
[unordered-list, [96.0, 130.0, 431.0, 18.0], UdGy4mYQ3W, 5772806]
[unordered-list, [96.0, 148.0, 431.0, 18.0], UdGy4mYQ3W, 5772806]
[unordered-list, [96.0, 166.0, 431.0, 18.0], UdGy4mYQ3W, 5772806]
[unordered-list, [96.0, 184.0, 431.0, 18.0], UdGy4mYQ3W, 5772806]
[paragraph, [68.0, 209.0, 467.0, 18.0], NMwX1dWV8V, 5772806]
[paragraph, [68.0, 227.0, 467.0, 18.0], NMwX1dWV8V, 5772806]
[paragraph, [68.0, 255.0, 466.0, 18.0], _PTh1URvGF, 5772806]
[paragraph, [68.0, 273.0, 466.0, 18.0], _PTh1URvGF, 5772806]
[paragraph, [68.0, 291.0, 466.0, 18.0], _PTh1URvGF, 5772806]
[paragraph, [68.0, 309.0, 466.0, 18.0], _PTh1URvGF, 5772806]
[paragraph, [68.0, 327.0, 466.0, 18.0], _PTh1URvGF, 5772806]
[paragraph, [68.0, 361.0, 465.0, 18.0], DApDKvPaMk, 5772806]
[paragraph, [68.0, 379.0, 465.0, 18.0], DApDKvPaMk, 5772806]
[paragraph, [71.0, 434.0, 464.0, 18.0], jdVNuazlHZ, 5772806]
[paragraph, [71.0, 452.0, 464.0, 18.0], jdVNuazlHZ, 5772806]
[paragraph, [71.0, 470.0, 464.0, 18.0], jdVNuazlHZ, 5772806]
[paragraph, [71.0, 488.0, 464.0, 18.0], jdVNuazlHZ, 5772806]
[paragraph, [71.0, 506.0, 464.0, 18.0], jdVNuazlHZ, 5772806]
[paragraph, [68.0, 539.0, 468.0, 18.0], zdUcKL1m9e, 5772806]
[paragraph, [68.0, 557.0, 468.0, 18.0], zdUcKL1m9e, 5772806]
[paragraph, [68.0, 575.0, 468.0, 18.0], zdUcKL1m9e, 5772806]
[paragraph, [66.0, 602.0, 469.0, 18.0], eOu7ChPm6Y, 5772806]
[paragraph, [66.0, 620.0, 469.0, 18.0], eOu7ChPm6Y, 5772806]
[paragraph, [66.0, 638.0, 469.0, 18.0], eOu7ChPm6Y, 5772806]
[paragraph, [66.0, 656.0, 469.0, 18.0], eOu7ChPm6Y, 5772806]
[paragraph, [66.0, 674.0, 469.0, 18.0], eOu7ChPm6Y, 5772806]
