[1839, 1268]
[paragraph, [176.0, 207.0, 954.0, 36.0], shoonya_0sTE534Y2JTBL6, 5744376]
[paragraph, [176.0, 243.0, 954.0, 36.0], shoonya_0sTE534Y2JTBL6, 5744376]
[paragraph, [176.0, 279.0, 954.0, 36.0], shoonya_0sTE534Y2JTBL6, 5744376]
[paragraph, [176.0, 315.0, 954.0, 36.0], shoonya_0sTE534Y2JTBL6, 5744376]
[paragraph, [176.0, 351.0, 954.0, 36.0], shoonya_0sTE534Y2JTBL6, 5744376]
[paragraph, [176.0, 387.0, 954.0, 36.0], shoonya_0sTE534Y2JTBL6, 5744376]
[paragraph, [176.0, 423.0, 954.0, 36.0], shoonya_0sTE534Y2JTBL6, 5744376]
[paragraph, [182.0, 489.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 525.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 561.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 597.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 633.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 669.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 705.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 741.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 777.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 813.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 849.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 885.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 921.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 957.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 993.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 1029.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 1065.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 1101.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 1137.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 1173.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 1209.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 1245.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 1281.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 1317.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 1353.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 1389.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 1425.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 1461.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 1497.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 1533.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
[paragraph, [182.0, 1569.0, 945.0, 36.0], Zlo-6W6zJT, 5744376]
