[576, 720]
[folio, [400.0, 32.0, 103.0, 18.0], TWwxsct7Rx, 6532885]
[folio, [273.0, 34.0, 48.0, 18.0], tioEekRlqB, 6532885]
[paragraph, [20.0, 56.0, 299.0, 18.0], VLxbM_9SML, 6532885]
[paragraph, [20.0, 74.0, 299.0, 18.0], VLxbM_9SML, 6532885]
[paragraph, [20.0, 92.0, 299.0, 18.0], VLxbM_9SML, 6532885]
[paragraph, [20.0, 110.0, 299.0, 18.0], VLxbM_9SML, 6532885]
[paragraph, [20.0, 128.0, 299.0, 18.0], VLxbM_9SML, 6532885]
[paragraph, [20.0, 146.0, 299.0, 18.0], VLxbM_9SML, 6532885]
[paragraph, [20.0, 164.0, 299.0, 18.0], VLxbM_9SML, 6532885]
[paragraph, [20.0, 182.0, 299.0, 18.0], VLxbM_9SML, 6532885]
[paragraph, [20.0, 200.0, 299.0, 18.0], VLxbM_9SML, 6532885]
[paragraph, [20.0, 218.0, 299.0, 18.0], VLxbM_9SML, 6532885]
[paragraph, [20.0, 236.0, 299.0, 18.0], VLxbM_9SML, 6532885]
[paragraph, [20.0, 254.0, 299.0, 18.0], VLxbM_9SML, 6532885]
[paragraph, [20.0, 272.0, 299.0, 18.0], VLxbM_9SML, 6532885]
[paragraph, [20.0, 290.0, 299.0, 18.0], VLxbM_9SML, 6532885]
[paragraph, [20.0, 308.0, 299.0, 18.0], VLxbM_9SML, 6532885]
[paragraph, [20.0, 326.0, 299.0, 18.0], VLxbM_9SML, 6532885]
[paragraph, [20.0, 344.0, 299.0, 18.0], VLxbM_9SML, 6532885]
[paragraph, [20.0, 362.0, 299.0, 18.0], VLxbM_9SML, 6532885]
[paragraph, [20.0, 380.0, 299.0, 18.0], VLxbM_9SML, 6532885]
[paragraph, [401.0, 59.0, 302.0, 18.0], shoonya_0sVAXYOMQS8O0O, 6532885]
[paragraph, [401.0, 77.0, 302.0, 18.0], shoonya_0sVAXYOMQS8O0O, 6532885]
[paragraph, [401.0, 95.0, 302.0, 18.0], shoonya_0sVAXYOMQS8O0O, 6532885]
[paragraph, [401.0, 113.0, 302.0, 18.0], shoonya_0sVAXYOMQS8O0O, 6532885]
[paragraph, [401.0, 131.0, 302.0, 18.0], shoonya_0sVAXYOMQS8O0O, 6532885]
[paragraph, [401.0, 149.0, 302.0, 18.0], shoonya_0sVAXYOMQS8O0O, 6532885]
[paragraph, [401.0, 167.0, 302.0, 18.0], shoonya_0sVAXYOMQS8O0O, 6532885]
[paragraph, [401.0, 185.0, 302.0, 18.0], shoonya_0sVAXYOMQS8O0O, 6532885]
[paragraph, [401.0, 203.0, 302.0, 18.0], shoonya_0sVAXYOMQS8O0O, 6532885]
[paragraph, [401.0, 221.0, 305.0, 18.0], foohLRPspI, 6532885]
[paragraph, [401.0, 239.0, 305.0, 18.0], foohLRPspI, 6532885]
[paragraph, [401.0, 257.0, 305.0, 18.0], foohLRPspI, 6532885]
[paragraph, [455.0, 289.0, 145.0, 18.0], bHA3IlOaS-, 6532885]
[paragraph, [452.0, 318.0, 153.0, 18.0], M6-VU67FLG, 6532885]
[paragraph, [401.0, 356.0, 306.0, 18.0], ftC52zj_OD, 6532885]
[paragraph, [401.0, 374.0, 306.0, 18.0], ftC52zj_OD, 6532885]
[paragraph, [457.0, 404.0, 181.0, 18.0], zzH5jGPbJv, 6532885]
[paragraph, [16.0, 411.0, 301.0, 18.0], ORoeM-zpFV, 6532885]
[paragraph, [16.0, 429.0, 301.0, 18.0], ORoeM-zpFV, 6532885]
[paragraph, [16.0, 447.0, 301.0, 18.0], ORoeM-zpFV, 6532885]
[paragraph, [406.0, 437.0, 302.0, 18.0], pIRQlqPTC4, 6532885]
[paragraph, [406.0, 455.0, 302.0, 18.0], pIRQlqPTC4, 6532885]
[paragraph, [406.0, 473.0, 302.0, 18.0], pIRQlqPTC4, 6532885]
[paragraph, [54.0, 483.0, 219.0, 18.0], 2GXL0dKAc0, 6532885]
[footnote, [20.0, 519.0, 173.0, 18.0], HilVoRVU6l, 6532885]
[footnote, [410.0, 525.0, 141.0, 18.0], YT3mXFro8c, 6532885]
