[3508, 2481]
[contact-info, [544.0, 98.0, 1410.0, 52.5], shoonya_5sZ5NT90Y3NWX9, 6491287]
[contact-info, [544.0, 150.5, 1410.0, 52.5], shoonya_5sZ5NT90Y3NWX9, 6491287]
[contact-info, [365.0, 511.0, 1752.0, 52.5], hVUQw1jyRi, 6491287]
[contact-info, [365.0, 563.5, 1752.0, 52.5], hVUQw1jyRi, 6491287]
[contact-info, [365.0, 616.0, 1752.0, 52.5], hVUQw1jyRi, 6491287]
[contact-info, [365.0, 668.5, 1752.0, 52.5], hVUQw1jyRi, 6491287]
[section-title, [727.0, 876.0, 1010.0, 93.0], shoonya_6s58B0LDHAC3Q1, 6491287]
[dateline, [213.0, 1267.0, 427.0, 52.5], shoonya_4sHKBBDPF3QIMM, 6491287]
[dateline, [213.0, 1319.5, 427.0, 52.5], shoonya_4sHKBBDPF3QIMM, 6491287]
[paragraph, [210.0, 1531.0, 468.0, 52.5], shoonya_0s1J6FSHERVK0R, 6491287]
[paragraph, [208.0, 1651.0, 2108.0, 52.5], shoonya_1sH4KIFCX38TI7, 6491287]
[paragraph, [208.0, 1703.5, 2108.0, 52.5], shoonya_1sH4KIFCX38TI7, 6491287]
[paragraph, [208.0, 1756.0, 2108.0, 52.5], shoonya_1sH4KIFCX38TI7, 6491287]
[paragraph, [208.0, 1808.5, 2108.0, 52.5], shoonya_1sH4KIFCX38TI7, 6491287]
[paragraph, [208.0, 1861.0, 2108.0, 52.5], shoonya_1sH4KIFCX38TI7, 6491287]
[paragraph, [208.0, 1913.5, 2108.0, 52.5], shoonya_1sH4KIFCX38TI7, 6491287]
[paragraph, [220.0, 2011.0, 2071.0, 52.5], ziasrsGhLG, 6491287]
[paragraph, [220.0, 2063.5, 2071.0, 52.5], ziasrsGhLG, 6491287]
[paragraph, [220.0, 2116.0, 2071.0, 52.5], ziasrsGhLG, 6491287]
[paragraph, [220.0, 2168.5, 2071.0, 52.5], ziasrsGhLG, 6491287]
[paragraph, [220.0, 2221.0, 2071.0, 52.5], ziasrsGhLG, 6491287]
[paragraph, [220.0, 2273.5, 2071.0, 52.5], ziasrsGhLG, 6491287]
[paragraph, [220.0, 2326.0, 2071.0, 52.5], ziasrsGhLG, 6491287]
[paragraph, [210.0, 2389.0, 2155.0, 52.5], o9zELEO4fX, 6491287]
[paragraph, [210.0, 2441.5, 2155.0, 52.5], o9zELEO4fX, 6491287]
[paragraph, [210.0, 2494.0, 2155.0, 52.5], o9zELEO4fX, 6491287]
[paragraph, [210.0, 2546.5, 2155.0, 52.5], o9zELEO4fX, 6491287]
[paragraph, [210.0, 2599.0, 2155.0, 52.5], o9zELEO4fX, 6491287]
[contact-info, [217.0, 2798.0, 489.0, 52.5], touY_5D1HE, 6491287]
[contact-info, [217.0, 2850.5, 489.0, 52.5], touY_5D1HE, 6491287]
