[2338, 1654]
[paragraph, [248.0, 227.0, 1221.0, 36.0], vZxPziNYKu, 5753547]
[paragraph, [248.0, 263.0, 1221.0, 36.0], vZxPziNYKu, 5753547]
[paragraph, [248.0, 299.0, 1221.0, 36.0], vZxPziNYKu, 5753547]
[paragraph, [248.0, 335.0, 1221.0, 36.0], vZxPziNYKu, 5753547]
[paragraph, [248.0, 371.0, 1221.0, 36.0], vZxPziNYKu, 5753547]
[paragraph, [248.0, 407.0, 1221.0, 36.0], vZxPziNYKu, 5753547]
[paragraph, [248.0, 443.0, 1221.0, 36.0], vZxPziNYKu, 5753547]
[paragraph, [248.0, 479.0, 1221.0, 36.0], vZxPziNYKu, 5753547]
[paragraph, [248.0, 515.0, 1221.0, 36.0], vZxPziNYKu, 5753547]
[paragraph, [264.0, 585.0, 1213.0, 36.0], ZMmHRWMBSN, 5753547]
[paragraph, [264.0, 621.0, 1213.0, 36.0], ZMmHRWMBSN, 5753547]
[paragraph, [264.0, 657.0, 1213.0, 36.0], ZMmHRWMBSN, 5753547]
[paragraph, [264.0, 693.0, 1213.0, 36.0], ZMmHRWMBSN, 5753547]
[paragraph, [264.0, 729.0, 1213.0, 36.0], ZMmHRWMBSN, 5753547]
[paragraph, [264.0, 765.0, 1213.0, 36.0], ZMmHRWMBSN, 5753547]
[paragraph, [264.0, 801.0, 1213.0, 36.0], ZMmHRWMBSN, 5753547]
[paragraph, [264.0, 837.0, 1213.0, 36.0], ZMmHRWMBSN, 5753547]
[paragraph, [264.0, 873.0, 1213.0, 36.0], ZMmHRWMBSN, 5753547]
[paragraph, [264.0, 909.0, 1213.0, 36.0], ZMmHRWMBSN, 5753547]
[paragraph, [264.0, 945.0, 1213.0, 36.0], ZMmHRWMBSN, 5753547]
[paragraph, [267.0, 1021.0, 1204.0, 36.0], shoonya_0sLI7J957HCTX2, 5753547]
[paragraph, [267.0, 1057.0, 1204.0, 36.0], shoonya_0sLI7J957HCTX2, 5753547]
[paragraph, [267.0, 1093.0, 1204.0, 36.0], shoonya_0sLI7J957HCTX2, 5753547]
[paragraph, [267.0, 1129.0, 1204.0, 36.0], shoonya_0sLI7J957HCTX2, 5753547]
[paragraph, [267.0, 1165.0, 1204.0, 36.0], shoonya_0sLI7J957HCTX2, 5753547]
[paragraph, [267.0, 1201.0, 1204.0, 36.0], shoonya_0sLI7J957HCTX2, 5753547]
[paragraph, [267.0, 1237.0, 1204.0, 36.0], shoonya_0sLI7J957HCTX2, 5753547]
[paragraph, [267.0, 1273.0, 1204.0, 36.0], shoonya_0sLI7J957HCTX2, 5753547]
[paragraph, [267.0, 1309.0, 1204.0, 36.0], shoonya_0sLI7J957HCTX2, 5753547]
[paragraph, [267.0, 1345.0, 1204.0, 36.0], shoonya_0sLI7J957HCTX2, 5753547]
[paragraph, [267.0, 1381.0, 1204.0, 36.0], shoonya_0sLI7J957HCTX2, 5753547]
[paragraph, [267.0, 1417.0, 1204.0, 36.0], shoonya_0sLI7J957HCTX2, 5753547]
[paragraph, [267.0, 1453.0, 1204.0, 36.0], shoonya_0sLI7J957HCTX2, 5753547]
[paragraph, [267.0, 1489.0, 1204.0, 36.0], shoonya_0sLI7J957HCTX2, 5753547]
[paragraph, [267.0, 1525.0, 1204.0, 36.0], shoonya_0sLI7J957HCTX2, 5753547]
[paragraph, [267.0, 1561.0, 1204.0, 36.0], shoonya_0sLI7J957HCTX2, 5753547]
[paragraph, [266.0, 1607.0, 1203.0, 36.0], I4mOBYePWP, 5753547]
[paragraph, [266.0, 1643.0, 1203.0, 36.0], I4mOBYePWP, 5753547]
[paragraph, [266.0, 1679.0, 1203.0, 36.0], I4mOBYePWP, 5753547]
[paragraph, [266.0, 1715.0, 1203.0, 36.0], I4mOBYePWP, 5753547]
[paragraph, [266.0, 1751.0, 1203.0, 36.0], I4mOBYePWP, 5753547]
[reference, [274.0, 1886.0, 624.0, 36.0], i2VM4L8mn0, 5753547]
[reference, [274.0, 1922.0, 624.0, 36.0], i2VM4L8mn0, 5753547]
[reference, [274.0, 1958.0, 624.0, 36.0], i2VM4L8mn0, 5753547]
[reference, [274.0, 1994.0, 624.0, 36.0], i2VM4L8mn0, 5753547]
[reference, [274.0, 2030.0, 624.0, 36.0], i2VM4L8mn0, 5753547]
[reference, [274.0, 2066.0, 624.0, 36.0], i2VM4L8mn0, 5753547]
