[842, 596]
[folio, [497.0, 33.0, 68.0, 18.0], Ghcap0msqV, 6461260]
[ordered-list, [77.0, 53.0, 486.0, 18.0], da4WuepV8n, 6461260]
[ordered-list, [77.0, 71.0, 486.0, 18.0], da4WuepV8n, 6461260]
[ordered-list, [77.0, 89.0, 486.0, 18.0], da4WuepV8n, 6461260]
[reference, [37.0, 141.0, 519.0, 18.0], LW1E-v6o1y, 6461260]
[reference, [37.0, 159.0, 519.0, 18.0], LW1E-v6o1y, 6461260]
[reference, [37.0, 177.0, 519.0, 18.0], LW1E-v6o1y, 6461260]
[reference, [37.0, 195.0, 519.0, 18.0], LW1E-v6o1y, 6461260]
[reference, [37.0, 213.0, 519.0, 18.0], LW1E-v6o1y, 6461260]
[reference, [37.0, 231.0, 519.0, 18.0], LW1E-v6o1y, 6461260]
[reference, [37.0, 249.0, 519.0, 18.0], LW1E-v6o1y, 6461260]
[reference, [37.0, 267.0, 519.0, 18.0], LW1E-v6o1y, 6461260]
[reference, [37.0, 285.0, 519.0, 18.0], LW1E-v6o1y, 6461260]
[reference, [37.0, 303.0, 519.0, 18.0], LW1E-v6o1y, 6461260]
[reference, [37.0, 321.0, 519.0, 18.0], LW1E-v6o1y, 6461260]
[reference, [37.0, 339.0, 519.0, 18.0], LW1E-v6o1y, 6461260]
[reference, [37.0, 357.0, 519.0, 18.0], LW1E-v6o1y, 6461260]
