[1839, 1268]
[paragraph, [209.0, 176.0, 934.0, 36.0], shoonya_0sZRRUQOKINZSQ, 5743848]
[paragraph, [209.0, 212.0, 934.0, 36.0], shoonya_0sZRRUQOKINZSQ, 5743848]
[paragraph, [209.0, 248.0, 934.0, 36.0], shoonya_0sZRRUQOKINZSQ, 5743848]
[paragraph, [209.0, 284.0, 934.0, 36.0], shoonya_0sZRRUQOKINZSQ, 5743848]
[paragraph, [209.0, 320.0, 934.0, 36.0], shoonya_0sZRRUQOKINZSQ, 5743848]
[paragraph, [209.0, 356.0, 934.0, 36.0], shoonya_0sZRRUQOKINZSQ, 5743848]
[paragraph, [209.0, 392.0, 934.0, 36.0], shoonya_0sZRRUQOKINZSQ, 5743848]
[paragraph, [209.0, 428.0, 934.0, 36.0], shoonya_0sZRRUQOKINZSQ, 5743848]
[paragraph, [209.0, 464.0, 934.0, 36.0], shoonya_0sZRRUQOKINZSQ, 5743848]
[paragraph, [209.0, 500.0, 934.0, 36.0], shoonya_0sZRRUQOKINZSQ, 5743848]
[paragraph, [209.0, 536.0, 934.0, 36.0], shoonya_0sZRRUQOKINZSQ, 5743848]
[paragraph, [209.0, 572.0, 934.0, 36.0], shoonya_0sZRRUQOKINZSQ, 5743848]
[paragraph, [209.0, 608.0, 934.0, 36.0], shoonya_0sZRRUQOKINZSQ, 5743848]
[paragraph, [209.0, 644.0, 934.0, 36.0], shoonya_0sZRRUQOKINZSQ, 5743848]
[paragraph, [209.0, 680.0, 934.0, 36.0], shoonya_0sZRRUQOKINZSQ, 5743848]
[paragraph, [209.0, 716.0, 934.0, 36.0], shoonya_0sZRRUQOKINZSQ, 5743848]
[paragraph, [209.0, 752.0, 934.0, 36.0], shoonya_0sZRRUQOKINZSQ, 5743848]
[paragraph, [209.0, 788.0, 934.0, 36.0], shoonya_0sZRRUQOKINZSQ, 5743848]
[paragraph, [209.0, 824.0, 934.0, 36.0], shoonya_0sZRRUQOKINZSQ, 5743848]
[paragraph, [209.0, 860.0, 934.0, 36.0], shoonya_0sZRRUQOKINZSQ, 5743848]
[paragraph, [209.0, 896.0, 934.0, 36.0], shoonya_0sZRRUQOKINZSQ, 5743848]
[paragraph, [209.0, 932.0, 934.0, 36.0], shoonya_0sZRRUQOKINZSQ, 5743848]
[paragraph, [209.0, 968.0, 934.0, 36.0], shoonya_0sZRRUQOKINZSQ, 5743848]
[paragraph, [209.0, 1004.0, 934.0, 36.0], shoonya_0sZRRUQOKINZSQ, 5743848]
[paragraph, [210.0, 1082.0, 946.0, 36.0], moCNBkC0Nd, 5743848]
[paragraph, [210.0, 1118.0, 946.0, 36.0], moCNBkC0Nd, 5743848]
[paragraph, [210.0, 1154.0, 946.0, 36.0], moCNBkC0Nd, 5743848]
[paragraph, [210.0, 1190.0, 946.0, 36.0], moCNBkC0Nd, 5743848]
[paragraph, [210.0, 1226.0, 946.0, 36.0], moCNBkC0Nd, 5743848]
[paragraph, [210.0, 1262.0, 946.0, 36.0], moCNBkC0Nd, 5743848]
[paragraph, [210.0, 1298.0, 946.0, 36.0], moCNBkC0Nd, 5743848]
[paragraph, [210.0, 1334.0, 946.0, 36.0], moCNBkC0Nd, 5743848]
[paragraph, [210.0, 1370.0, 946.0, 36.0], moCNBkC0Nd, 5743848]
[paragraph, [210.0, 1406.0, 946.0, 36.0], moCNBkC0Nd, 5743848]
[paragraph, [210.0, 1442.0, 946.0, 36.0], moCNBkC0Nd, 5743848]
[paragraph, [210.0, 1478.0, 946.0, 36.0], moCNBkC0Nd, 5743848]
[paragraph, [210.0, 1514.0, 946.0, 36.0], moCNBkC0Nd, 5743848]
