[780, 539]
[paragraph, [44.0, 62.0, 204.0, 18.0], shoonya_3sH3YCK3UBA96R, 5767701]
[paragraph, [44.0, 80.0, 204.0, 18.0], shoonya_3sH3YCK3UBA96R, 5767701]
[paragraph, [44.0, 98.0, 204.0, 18.0], shoonya_3sH3YCK3UBA96R, 5767701]
[paragraph, [44.0, 116.0, 204.0, 18.0], shoonya_3sH3YCK3UBA96R, 5767701]
[paragraph, [44.0, 134.0, 204.0, 18.0], shoonya_3sH3YCK3UBA96R, 5767701]
[paragraph, [44.0, 152.0, 204.0, 18.0], shoonya_3sH3YCK3UBA96R, 5767701]
[paragraph, [44.0, 170.0, 204.0, 18.0], shoonya_3sH3YCK3UBA96R, 5767701]
[paragraph, [44.0, 205.0, 203.0, 18.0], shoonya_0s9ZQFVIKW6C7T, 5767701]
[paragraph, [44.0, 223.0, 203.0, 18.0], shoonya_0s9ZQFVIKW6C7T, 5767701]
[paragraph, [44.0, 241.0, 203.0, 18.0], shoonya_0s9ZQFVIKW6C7T, 5767701]
[paragraph, [44.0, 259.0, 203.0, 18.0], shoonya_0s9ZQFVIKW6C7T, 5767701]
[paragraph, [44.0, 277.0, 203.0, 18.0], shoonya_0s9ZQFVIKW6C7T, 5767701]
[paragraph, [44.0, 295.0, 203.0, 18.0], shoonya_0s9ZQFVIKW6C7T, 5767701]
[paragraph, [44.0, 313.0, 203.0, 18.0], shoonya_0s9ZQFVIKW6C7T, 5767701]
[paragraph, [44.0, 331.0, 203.0, 18.0], shoonya_0s9ZQFVIKW6C7T, 5767701]
[paragraph, [44.0, 349.0, 203.0, 18.0], shoonya_0s9ZQFVIKW6C7T, 5767701]
[paragraph, [44.0, 367.0, 203.0, 18.0], shoonya_0s9ZQFVIKW6C7T, 5767701]
[paragraph, [44.0, 385.0, 203.0, 18.0], shoonya_0s9ZQFVIKW6C7T, 5767701]
[paragraph, [44.0, 403.0, 203.0, 18.0], shoonya_0s9ZQFVIKW6C7T, 5767701]
[paragraph, [44.0, 421.0, 203.0, 18.0], shoonya_0s9ZQFVIKW6C7T, 5767701]
[paragraph, [44.0, 439.0, 203.0, 18.0], shoonya_0s9ZQFVIKW6C7T, 5767701]
[paragraph, [44.0, 457.0, 203.0, 18.0], shoonya_0s9ZQFVIKW6C7T, 5767701]
[paragraph, [44.0, 475.0, 203.0, 18.0], shoonya_0s9ZQFVIKW6C7T, 5767701]
[paragraph, [45.0, 504.0, 203.0, 18.0], shoonya_2s3TGODJC68J4U, 5767701]
[paragraph, [45.0, 522.0, 203.0, 18.0], shoonya_2s3TGODJC68J4U, 5767701]
[paragraph, [45.0, 540.0, 203.0, 18.0], shoonya_2s3TGODJC68J4U, 5767701]
[paragraph, [45.0, 558.0, 203.0, 18.0], shoonya_2s3TGODJC68J4U, 5767701]
[paragraph, [45.0, 576.0, 203.0, 18.0], shoonya_2s3TGODJC68J4U, 5767701]
[paragraph, [45.0, 594.0, 203.0, 18.0], shoonya_2s3TGODJC68J4U, 5767701]
[paragraph, [45.0, 612.0, 203.0, 18.0], shoonya_2s3TGODJC68J4U, 5767701]
[paragraph, [45.0, 630.0, 203.0, 18.0], shoonya_2s3TGODJC68J4U, 5767701]
[paragraph, [45.0, 648.0, 203.0, 18.0], shoonya_2s3TGODJC68J4U, 5767701]
[paragraph, [45.0, 666.0, 203.0, 18.0], shoonya_2s3TGODJC68J4U, 5767701]
[folio, [36.0, 709.0, 197.0, 18.0], shoonya_7sM7UZ3DVWE4BO, 5767701]
[folio, [36.0, 727.0, 197.0, 18.0], shoonya_7sM7UZ3DVWE4BO, 5767701]
