[1987, 1270]
[paragraph, [125.0, 189.0, 1017.0, 36.0], shoonya_3sCK6WS4AKJYZZ, 5683391]
[paragraph, [125.0, 225.0, 1017.0, 36.0], shoonya_3sCK6WS4AKJYZZ, 5683391]
[paragraph, [125.0, 261.0, 1017.0, 36.0], shoonya_3sCK6WS4AKJYZZ, 5683391]
[paragraph, [125.0, 297.0, 1017.0, 36.0], shoonya_3sCK6WS4AKJYZZ, 5683391]
[paragraph, [125.0, 333.0, 1017.0, 36.0], shoonya_3sCK6WS4AKJYZZ, 5683391]
[paragraph, [124.0, 402.0, 1015.0, 36.0], shoonya_2sUL4RR1CNCZWV, 5683391]
[paragraph, [124.0, 438.0, 1015.0, 36.0], shoonya_2sUL4RR1CNCZWV, 5683391]
[paragraph, [124.0, 474.0, 1015.0, 36.0], shoonya_2sUL4RR1CNCZWV, 5683391]
[paragraph, [124.0, 510.0, 1015.0, 36.0], shoonya_2sUL4RR1CNCZWV, 5683391]
[paragraph, [124.0, 546.0, 1015.0, 36.0], shoonya_2sUL4RR1CNCZWV, 5683391]
[paragraph, [125.0, 612.0, 1014.0, 36.0], shoonya_0s41FS9FT6M6P0, 5683391]
[paragraph, [125.0, 648.0, 1014.0, 36.0], shoonya_0s41FS9FT6M6P0, 5683391]
[paragraph, [125.0, 684.0, 1014.0, 36.0], shoonya_0s41FS9FT6M6P0, 5683391]
[paragraph, [125.0, 720.0, 1014.0, 36.0], shoonya_0s41FS9FT6M6P0, 5683391]
[paragraph, [125.0, 756.0, 1014.0, 36.0], shoonya_0s41FS9FT6M6P0, 5683391]
[paragraph, [125.0, 792.0, 1014.0, 36.0], shoonya_0s41FS9FT6M6P0, 5683391]
[paragraph, [125.0, 828.0, 1014.0, 36.0], shoonya_0s41FS9FT6M6P0, 5683391]
[paragraph, [125.0, 864.0, 1014.0, 36.0], shoonya_0s41FS9FT6M6P0, 5683391]
[paragraph, [123.0, 926.0, 1015.0, 36.0], shoonya_1sPTK8M6Z05U3G, 5683391]
[paragraph, [123.0, 962.0, 1015.0, 36.0], shoonya_1sPTK8M6Z05U3G, 5683391]
[paragraph, [123.0, 998.0, 1015.0, 36.0], shoonya_1sPTK8M6Z05U3G, 5683391]
[paragraph, [123.0, 1034.0, 1015.0, 36.0], shoonya_1sPTK8M6Z05U3G, 5683391]
[paragraph, [123.0, 1070.0, 1015.0, 36.0], shoonya_1sPTK8M6Z05U3G, 5683391]
[paragraph, [123.0, 1106.0, 1015.0, 36.0], shoonya_1sPTK8M6Z05U3G, 5683391]
[paragraph, [123.0, 1142.0, 1015.0, 36.0], shoonya_1sPTK8M6Z05U3G, 5683391]
[paragraph, [123.0, 1178.0, 1015.0, 36.0], shoonya_1sPTK8M6Z05U3G, 5683391]
[paragraph, [123.0, 1214.0, 1015.0, 36.0], shoonya_1sPTK8M6Z05U3G, 5683391]
[paragraph, [123.0, 1250.0, 1015.0, 36.0], shoonya_1sPTK8M6Z05U3G, 5683391]
[paragraph, [123.0, 1286.0, 1015.0, 36.0], shoonya_1sPTK8M6Z05U3G, 5683391]
[paragraph, [123.0, 1322.0, 1015.0, 36.0], shoonya_1sPTK8M6Z05U3G, 5683391]
[paragraph, [123.0, 1358.0, 1015.0, 36.0], shoonya_1sPTK8M6Z05U3G, 5683391]
[paragraph, [123.0, 1394.0, 1015.0, 36.0], shoonya_1sPTK8M6Z05U3G, 5683391]
[paragraph, [123.0, 1430.0, 1015.0, 36.0], shoonya_1sPTK8M6Z05U3G, 5683391]
[paragraph, [123.0, 1466.0, 1015.0, 36.0], shoonya_1sPTK8M6Z05U3G, 5683391]
[paragraph, [123.0, 1502.0, 1015.0, 36.0], shoonya_1sPTK8M6Z05U3G, 5683391]
[paragraph, [123.0, 1538.0, 1015.0, 36.0], shoonya_1sPTK8M6Z05U3G, 5683391]
[paragraph, [123.0, 1574.0, 1015.0, 36.0], shoonya_1sPTK8M6Z05U3G, 5683391]
[paragraph, [123.0, 1610.0, 1015.0, 36.0], shoonya_1sPTK8M6Z05U3G, 5683391]
[paragraph, [123.0, 1646.0, 1015.0, 36.0], shoonya_1sPTK8M6Z05U3G, 5683391]
[paragraph, [125.0, 1711.0, 1011.0, 36.0], shoonya_4sH2KOD7FQ06QG, 5683391]
[paragraph, [125.0, 1747.0, 1011.0, 36.0], shoonya_4sH2KOD7FQ06QG, 5683391]
[paragraph, [125.0, 1783.0, 1011.0, 36.0], shoonya_4sH2KOD7FQ06QG, 5683391]
[paragraph, [125.0, 1819.0, 1011.0, 36.0], shoonya_4sH2KOD7FQ06QG, 5683391]
