[1818, 1374]
[folio, [569.0, 107.0, 223.0, 36.0], shoonya_0s5HBCVO6B1K14, 5682640]
[paragraph, [103.0, 178.0, 566.0, 36.0], QZR_jwA9mK, 5682640]
[paragraph, [103.0, 214.0, 566.0, 36.0], QZR_jwA9mK, 5682640]
[paragraph, [103.0, 250.0, 566.0, 36.0], QZR_jwA9mK, 5682640]
[paragraph, [103.0, 286.0, 566.0, 36.0], QZR_jwA9mK, 5682640]
[paragraph, [103.0, 322.0, 566.0, 36.0], QZR_jwA9mK, 5682640]
[paragraph, [103.0, 358.0, 566.0, 36.0], QZR_jwA9mK, 5682640]
[paragraph, [103.0, 394.0, 566.0, 36.0], QZR_jwA9mK, 5682640]
[paragraph, [103.0, 430.0, 566.0, 36.0], QZR_jwA9mK, 5682640]
[paragraph, [103.0, 466.0, 566.0, 36.0], QZR_jwA9mK, 5682640]
[paragraph, [103.0, 502.0, 566.0, 36.0], QZR_jwA9mK, 5682640]
[paragraph, [688.0, 178.0, 577.0, 36.0], Mu9gQd0utX, 5682640]
[paragraph, [688.0, 214.0, 577.0, 36.0], Mu9gQd0utX, 5682640]
[paragraph, [688.0, 250.0, 577.0, 36.0], Mu9gQd0utX, 5682640]
[paragraph, [688.0, 353.0, 577.0, 36.0], _wQ967XnoE, 5682640]
[paragraph, [688.0, 389.0, 577.0, 36.0], _wQ967XnoE, 5682640]
[paragraph, [688.0, 425.0, 577.0, 36.0], _wQ967XnoE, 5682640]
[paragraph, [688.0, 461.0, 577.0, 36.0], _wQ967XnoE, 5682640]
[paragraph, [688.0, 497.0, 577.0, 36.0], _wQ967XnoE, 5682640]
[paragraph, [688.0, 533.0, 577.0, 36.0], _wQ967XnoE, 5682640]
[paragraph, [688.0, 569.0, 577.0, 36.0], _wQ967XnoE, 5682640]
[paragraph, [688.0, 605.0, 577.0, 36.0], _wQ967XnoE, 5682640]
[paragraph, [688.0, 641.0, 577.0, 36.0], _wQ967XnoE, 5682640]
[paragraph, [688.0, 677.0, 577.0, 36.0], _wQ967XnoE, 5682640]
[paragraph, [688.0, 713.0, 577.0, 36.0], _wQ967XnoE, 5682640]
[paragraph, [688.0, 749.0, 577.0, 36.0], _wQ967XnoE, 5682640]
[paragraph, [688.0, 785.0, 577.0, 36.0], _wQ967XnoE, 5682640]
[paragraph, [688.0, 821.0, 577.0, 36.0], _wQ967XnoE, 5682640]
[paragraph, [688.0, 857.0, 577.0, 36.0], _wQ967XnoE, 5682640]
[paragraph, [101.0, 566.0, 570.0, 36.0], 6jj9THO-ga, 5682640]
[paragraph, [101.0, 602.0, 570.0, 36.0], 6jj9THO-ga, 5682640]
[paragraph, [101.0, 638.0, 570.0, 36.0], 6jj9THO-ga, 5682640]
[paragraph, [101.0, 674.0, 570.0, 36.0], 6jj9THO-ga, 5682640]
[paragraph, [99.0, 779.0, 573.0, 36.0], iba5mLuAER, 5682640]
[paragraph, [99.0, 815.0, 573.0, 36.0], iba5mLuAER, 5682640]
[paragraph, [99.0, 851.0, 573.0, 36.0], iba5mLuAER, 5682640]
[paragraph, [692.0, 904.0, 575.0, 36.0], bWlo9k3gwJ, 5682640]
[paragraph, [692.0, 940.0, 575.0, 36.0], bWlo9k3gwJ, 5682640]
[paragraph, [692.0, 976.0, 575.0, 36.0], bWlo9k3gwJ, 5682640]
[paragraph, [692.0, 1012.0, 575.0, 36.0], bWlo9k3gwJ, 5682640]
[paragraph, [692.0, 1048.0, 575.0, 36.0], bWlo9k3gwJ, 5682640]
[paragraph, [692.0, 1084.0, 575.0, 36.0], bWlo9k3gwJ, 5682640]
[paragraph, [142.0, 908.0, 255.0, 36.0], OnX79bcF-A, 5682640]
[paragraph, [103.0, 951.0, 571.0, 36.0], iaDeAsljv-, 5682640]
[paragraph, [103.0, 987.0, 571.0, 36.0], iaDeAsljv-, 5682640]
[paragraph, [103.0, 1023.0, 571.0, 36.0], iaDeAsljv-, 5682640]
[paragraph, [103.0, 1059.0, 571.0, 36.0], iaDeAsljv-, 5682640]
[paragraph, [103.0, 1095.0, 571.0, 36.0], iaDeAsljv-, 5682640]
[paragraph, [103.0, 1131.0, 571.0, 36.0], iaDeAsljv-, 5682640]
[paragraph, [103.0, 1167.0, 571.0, 36.0], iaDeAsljv-, 5682640]
[paragraph, [103.0, 1203.0, 571.0, 36.0], iaDeAsljv-, 5682640]
[paragraph, [103.0, 1239.0, 571.0, 36.0], iaDeAsljv-, 5682640]
[paragraph, [103.0, 1275.0, 571.0, 36.0], iaDeAsljv-, 5682640]
[paragraph, [692.0, 1163.0, 571.0, 36.0], MI0_CeO-pZ, 5682640]
[paragraph, [692.0, 1199.0, 571.0, 36.0], MI0_CeO-pZ, 5682640]
[paragraph, [690.0, 1248.0, 577.0, 36.0], ki_W6ubwaI, 5682640]
