[2428, 1814]
[paragraph, [975.0, 1250.0, 709.0, 36.0], shoonya_13sG3HWJFQY7IH, 5694618]
[paragraph, [975.0, 1286.0, 709.0, 36.0], shoonya_13sG3HWJFQY7IH, 5694618]
[paragraph, [975.0, 1322.0, 709.0, 36.0], shoonya_13sG3HWJFQY7IH, 5694618]
[paragraph, [975.0, 1358.0, 709.0, 36.0], shoonya_13sG3HWJFQY7IH, 5694618]
[paragraph, [975.0, 1394.0, 709.0, 36.0], shoonya_13sG3HWJFQY7IH, 5694618]
[paragraph, [975.0, 1430.0, 709.0, 36.0], shoonya_13sG3HWJFQY7IH, 5694618]
[paragraph, [242.0, 1252.0, 707.0, 36.0], shoonya_0sXQA4P7FDCR7O, 5694618]
[paragraph, [242.0, 1288.0, 707.0, 36.0], shoonya_0sXQA4P7FDCR7O, 5694618]
[paragraph, [242.0, 1324.0, 707.0, 36.0], shoonya_0sXQA4P7FDCR7O, 5694618]
[paragraph, [242.0, 1360.0, 707.0, 36.0], shoonya_0sXQA4P7FDCR7O, 5694618]
[paragraph, [242.0, 1396.0, 707.0, 36.0], shoonya_0sXQA4P7FDCR7O, 5694618]
[paragraph, [242.0, 1432.0, 707.0, 36.0], shoonya_0sXQA4P7FDCR7O, 5694618]
[paragraph, [242.0, 1468.0, 707.0, 36.0], shoonya_0sXQA4P7FDCR7O, 5694618]
[paragraph, [242.0, 1504.0, 707.0, 36.0], shoonya_0sXQA4P7FDCR7O, 5694618]
[paragraph, [242.0, 1540.0, 707.0, 36.0], shoonya_0sXQA4P7FDCR7O, 5694618]
[paragraph, [242.0, 1576.0, 707.0, 36.0], shoonya_0sXQA4P7FDCR7O, 5694618]
[paragraph, [242.0, 1612.0, 707.0, 36.0], shoonya_0sXQA4P7FDCR7O, 5694618]
[paragraph, [242.0, 1648.0, 707.0, 36.0], shoonya_0sXQA4P7FDCR7O, 5694618]
[paragraph, [242.0, 1684.0, 707.0, 36.0], shoonya_0sXQA4P7FDCR7O, 5694618]
[paragraph, [242.0, 1720.0, 707.0, 36.0], shoonya_0sXQA4P7FDCR7O, 5694618]
[paragraph, [972.0, 1479.0, 713.0, 36.0], shoonya_8s2JGAJEHRVRQ1, 5694618]
[paragraph, [972.0, 1515.0, 713.0, 36.0], shoonya_8s2JGAJEHRVRQ1, 5694618]
[paragraph, [972.0, 1551.0, 713.0, 36.0], shoonya_8s2JGAJEHRVRQ1, 5694618]
[paragraph, [972.0, 1587.0, 713.0, 36.0], shoonya_8s2JGAJEHRVRQ1, 5694618]
[paragraph, [1017.0, 1634.0, 362.0, 36.0], shoonya_12s942BVARFJFO, 5694618]
[paragraph, [976.0, 1677.0, 705.0, 36.0], shoonya_6sMNEII68OF8DI, 5694618]
[paragraph, [976.0, 1713.0, 705.0, 36.0], shoonya_6sMNEII68OF8DI, 5694618]
[paragraph, [976.0, 1749.0, 705.0, 36.0], shoonya_6sMNEII68OF8DI, 5694618]
[paragraph, [244.0, 1789.0, 708.0, 36.0], shoonya_1sFHOIY6P57288, 5694618]
[paragraph, [244.0, 1825.0, 708.0, 36.0], shoonya_1sFHOIY6P57288, 5694618]
[paragraph, [244.0, 1861.0, 708.0, 36.0], shoonya_1sFHOIY6P57288, 5694618]
[paragraph, [978.0, 1792.0, 704.0, 36.0], shoonya_2sO8K9O9BB1GA5, 5694618]
[paragraph, [978.0, 1828.0, 704.0, 36.0], shoonya_2sO8K9O9BB1GA5, 5694618]
[paragraph, [978.0, 1864.0, 704.0, 36.0], shoonya_2sO8K9O9BB1GA5, 5694618]
[paragraph, [978.0, 1900.0, 704.0, 36.0], shoonya_2sO8K9O9BB1GA5, 5694618]
[paragraph, [278.0, 1905.0, 671.0, 36.0], shoonya_14sJEXHBCNFE5U, 5694618]
[paragraph, [243.0, 1932.0, 705.0, 36.0], shoonya_9sYY3VDCU6NCVA, 5694618]
[paragraph, [243.0, 1968.0, 705.0, 36.0], shoonya_9sYY3VDCU6NCVA, 5694618]
[paragraph, [243.0, 2004.0, 705.0, 36.0], shoonya_9sYY3VDCU6NCVA, 5694618]
[paragraph, [243.0, 2040.0, 705.0, 36.0], shoonya_9sYY3VDCU6NCVA, 5694618]
[paragraph, [243.0, 2076.0, 705.0, 36.0], shoonya_9sYY3VDCU6NCVA, 5694618]
[paragraph, [977.0, 1940.0, 705.0, 36.0], shoonya_5s604PCHF9PLL1, 5694618]
[paragraph, [977.0, 1976.0, 705.0, 36.0], shoonya_5s604PCHF9PLL1, 5694618]
[paragraph, [978.0, 2019.0, 703.0, 36.0], shoonya_3sFTFMKIA0JF7G, 5694618]
[paragraph, [978.0, 2055.0, 703.0, 36.0], shoonya_3sFTFMKIA0JF7G, 5694618]
[paragraph, [978.0, 2091.0, 703.0, 36.0], shoonya_3sFTFMKIA0JF7G, 5694618]
[paragraph, [978.0, 2127.0, 703.0, 36.0], shoonya_3sFTFMKIA0JF7G, 5694618]
[paragraph, [978.0, 2163.0, 703.0, 36.0], shoonya_3sFTFMKIA0JF7G, 5694618]
[paragraph, [243.0, 2133.0, 706.0, 36.0], shoonya_7s4HH3BSYO3TOU, 5694618]
[paragraph, [243.0, 2169.0, 706.0, 36.0], shoonya_7s4HH3BSYO3TOU, 5694618]
[paragraph, [275.0, 2211.0, 675.0, 36.0], shoonya_10sUNTMO96S904, 5694618]
[paragraph, [1015.0, 2212.0, 666.0, 36.0], shoonya_11sN84DMDJLK72, 5694618]
[folio, [672.0, 2289.0, 581.0, 36.0], VXZvuPRgJN, 5694618]
