[1650, 1275]
[paragraph, [212.0, 115.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 151.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 187.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 223.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 259.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 295.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 331.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 367.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 403.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 439.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 475.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 511.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 547.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 583.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 619.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 655.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 691.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 727.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 763.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 799.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 835.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 871.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 907.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 943.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 979.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 1015.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 1051.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 1087.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 1123.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 1159.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [212.0, 1195.0, 913.0, 36.0], shoonya_0sDH9MXCF5Z9DN, 5714774]
[paragraph, [214.0, 1254.0, 912.0, 36.0], shoonya_2sB3X0M706LTNA, 5714774]
[paragraph, [214.0, 1290.0, 912.0, 36.0], shoonya_2sB3X0M706LTNA, 5714774]
[paragraph, [214.0, 1326.0, 912.0, 36.0], shoonya_2sB3X0M706LTNA, 5714774]
[paragraph, [214.0, 1362.0, 912.0, 36.0], shoonya_2sB3X0M706LTNA, 5714774]
[paragraph, [214.0, 1398.0, 912.0, 36.0], shoonya_2sB3X0M706LTNA, 5714774]
[paragraph, [214.0, 1434.0, 912.0, 36.0], shoonya_2sB3X0M706LTNA, 5714774]
