[1755, 1241]
[headline, [196.0, 115.0, 859.0, 37.5], 5-9iT7kCFv, 5760295]
[headline, [196.0, 152.5, 859.0, 37.5], 5-9iT7kCFv, 5760295]
[headline, [196.0, 190.0, 859.0, 37.5], 5-9iT7kCFv, 5760295]
[headline, [196.0, 227.5, 859.0, 37.5], 5-9iT7kCFv, 5760295]
[headline, [196.0, 265.0, 859.0, 37.5], 5-9iT7kCFv, 5760295]
[headline, [196.0, 302.5, 859.0, 37.5], 5-9iT7kCFv, 5760295]
[headline, [196.0, 340.0, 859.0, 37.5], 5-9iT7kCFv, 5760295]
[headline, [196.0, 377.5, 859.0, 37.5], 5-9iT7kCFv, 5760295]
[headline, [196.0, 415.0, 859.0, 37.5], 5-9iT7kCFv, 5760295]
[headline, [196.0, 452.5, 859.0, 37.5], 5-9iT7kCFv, 5760295]
[headline, [196.0, 490.0, 859.0, 37.5], 5-9iT7kCFv, 5760295]
[headline, [196.0, 527.5, 859.0, 37.5], 5-9iT7kCFv, 5760295]
[headline, [196.0, 565.0, 859.0, 37.5], 5-9iT7kCFv, 5760295]
[folio, [193.0, 1563.0, 824.0, 36.0], BqURB9QTtH, 5760295]
[folio, [193.0, 1599.0, 824.0, 36.0], BqURB9QTtH, 5760295]
[folio, [193.0, 1635.0, 824.0, 36.0], BqURB9QTtH, 5760295]
