[1754, 1241]
[section-title, [373.0, 97.0, 503.0, 49.5], y_mD_IWBte, 5706980]
[section-title, [373.0, 146.5, 503.0, 49.5], y_mD_IWBte, 5706980]
[ordered-list, [145.0, 302.0, 1007.0, 36.0], shoonya_0sSGXQMCDL76RV, 5706980]
[ordered-list, [145.0, 338.0, 1007.0, 36.0], shoonya_0sSGXQMCDL76RV, 5706980]
[ordered-list, [145.0, 374.0, 1007.0, 36.0], shoonya_0sSGXQMCDL76RV, 5706980]
[ordered-list, [145.0, 410.0, 1007.0, 36.0], shoonya_0sSGXQMCDL76RV, 5706980]
[ordered-list, [145.0, 446.0, 1007.0, 36.0], shoonya_0sSGXQMCDL76RV, 5706980]
[ordered-list, [145.0, 482.0, 1007.0, 36.0], shoonya_0sSGXQMCDL76RV, 5706980]
[ordered-list, [145.0, 518.0, 1007.0, 36.0], shoonya_0sSGXQMCDL76RV, 5706980]
[ordered-list, [145.0, 554.0, 1007.0, 36.0], shoonya_0sSGXQMCDL76RV, 5706980]
[ordered-list, [145.0, 590.0, 1007.0, 36.0], shoonya_0sSGXQMCDL76RV, 5706980]
[ordered-list, [145.0, 626.0, 1007.0, 36.0], shoonya_0sSGXQMCDL76RV, 5706980]
[ordered-list, [145.0, 662.0, 1007.0, 36.0], shoonya_0sSGXQMCDL76RV, 5706980]
[ordered-list, [145.0, 698.0, 1007.0, 36.0], shoonya_0sSGXQMCDL76RV, 5706980]
[ordered-list, [145.0, 734.0, 1007.0, 36.0], shoonya_0sSGXQMCDL76RV, 5706980]
[ordered-list, [145.0, 770.0, 1007.0, 36.0], shoonya_0sSGXQMCDL76RV, 5706980]
[ordered-list, [145.0, 806.0, 1007.0, 36.0], shoonya_0sSGXQMCDL76RV, 5706980]
[ordered-list, [145.0, 842.0, 1007.0, 36.0], shoonya_0sSGXQMCDL76RV, 5706980]
[ordered-list, [145.0, 878.0, 1007.0, 36.0], shoonya_0sSGXQMCDL76RV, 5706980]
[ordered-list, [145.0, 914.0, 1007.0, 36.0], shoonya_0sSGXQMCDL76RV, 5706980]
