[2033, 1386]
[paragraph, [26.0, 90.0, 676.0, 36.0], PfuIY3BLNH, 5653749]
[paragraph, [26.0, 126.0, 676.0, 36.0], PfuIY3BLNH, 5653749]
[paragraph, [26.0, 162.0, 676.0, 36.0], PfuIY3BLNH, 5653749]
[paragraph, [26.0, 198.0, 676.0, 36.0], PfuIY3BLNH, 5653749]
[paragraph, [26.0, 234.0, 676.0, 36.0], PfuIY3BLNH, 5653749]
[paragraph, [26.0, 270.0, 676.0, 36.0], PfuIY3BLNH, 5653749]
[paragraph, [26.0, 306.0, 676.0, 36.0], PfuIY3BLNH, 5653749]
[paragraph, [26.0, 342.0, 676.0, 36.0], PfuIY3BLNH, 5653749]
[paragraph, [26.0, 378.0, 676.0, 36.0], PfuIY3BLNH, 5653749]
[paragraph, [26.0, 414.0, 676.0, 36.0], PfuIY3BLNH, 5653749]
[paragraph, [26.0, 450.0, 676.0, 36.0], PfuIY3BLNH, 5653749]
[paragraph, [26.0, 486.0, 676.0, 36.0], PfuIY3BLNH, 5653749]
[paragraph, [26.0, 522.0, 676.0, 36.0], PfuIY3BLNH, 5653749]
[paragraph, [26.0, 558.0, 676.0, 36.0], PfuIY3BLNH, 5653749]
[paragraph, [26.0, 594.0, 676.0, 36.0], PfuIY3BLNH, 5653749]
[paragraph, [26.0, 630.0, 676.0, 36.0], PfuIY3BLNH, 5653749]
[paragraph, [26.0, 666.0, 676.0, 36.0], PfuIY3BLNH, 5653749]
[paragraph, [26.0, 702.0, 676.0, 36.0], PfuIY3BLNH, 5653749]
[paragraph, [26.0, 738.0, 676.0, 36.0], PfuIY3BLNH, 5653749]
[paragraph, [26.0, 774.0, 676.0, 36.0], PfuIY3BLNH, 5653749]
[paragraph, [26.0, 810.0, 676.0, 36.0], PfuIY3BLNH, 5653749]
[headline, [691.0, 91.0, 586.0, 67.5], shoonya_6sU7V62DOGHS61, 5653749]
[headline, [691.0, 158.5, 586.0, 67.5], shoonya_6sU7V62DOGHS61, 5653749]
[paragraph, [699.0, 233.0, 584.0, 36.0], RqPiDbiSrH, 5653749]
[paragraph, [699.0, 269.0, 584.0, 36.0], RqPiDbiSrH, 5653749]
[paragraph, [697.0, 312.0, 584.0, 36.0], shoonya_2sCOIEMYS5BJQ5, 5653749]
[paragraph, [697.0, 348.0, 584.0, 36.0], shoonya_2sCOIEMYS5BJQ5, 5653749]
[paragraph, [697.0, 384.0, 584.0, 36.0], shoonya_2sCOIEMYS5BJQ5, 5653749]
[paragraph, [697.0, 420.0, 584.0, 36.0], shoonya_2sCOIEMYS5BJQ5, 5653749]
[paragraph, [697.0, 456.0, 584.0, 36.0], shoonya_2sCOIEMYS5BJQ5, 5653749]
[paragraph, [697.0, 492.0, 584.0, 36.0], shoonya_2sCOIEMYS5BJQ5, 5653749]
[paragraph, [697.0, 528.0, 584.0, 36.0], shoonya_2sCOIEMYS5BJQ5, 5653749]
[paragraph, [697.0, 564.0, 584.0, 36.0], shoonya_2sCOIEMYS5BJQ5, 5653749]
[paragraph, [697.0, 600.0, 584.0, 36.0], shoonya_2sCOIEMYS5BJQ5, 5653749]
[paragraph, [697.0, 696.0, 614.0, 36.0], shoonya_4sBWQDWIVU9VT9, 5653749]
[paragraph, [697.0, 732.0, 614.0, 36.0], shoonya_4sBWQDWIVU9VT9, 5653749]
[paragraph, [697.0, 768.0, 614.0, 36.0], shoonya_4sBWQDWIVU9VT9, 5653749]
[paragraph, [697.0, 804.0, 614.0, 36.0], shoonya_4sBWQDWIVU9VT9, 5653749]
[paragraph, [697.0, 840.0, 614.0, 36.0], shoonya_4sBWQDWIVU9VT9, 5653749]
[paragraph, [697.0, 876.0, 614.0, 36.0], shoonya_4sBWQDWIVU9VT9, 5653749]
[paragraph, [697.0, 912.0, 614.0, 36.0], shoonya_4sBWQDWIVU9VT9, 5653749]
[paragraph, [697.0, 948.0, 614.0, 36.0], shoonya_4sBWQDWIVU9VT9, 5653749]
[paragraph, [697.0, 984.0, 614.0, 36.0], shoonya_4sBWQDWIVU9VT9, 5653749]
[paragraph, [697.0, 1020.0, 614.0, 36.0], shoonya_4sBWQDWIVU9VT9, 5653749]
[paragraph, [697.0, 1056.0, 614.0, 36.0], shoonya_4sBWQDWIVU9VT9, 5653749]
[paragraph, [697.0, 1092.0, 614.0, 36.0], shoonya_4sBWQDWIVU9VT9, 5653749]
[paragraph, [697.0, 1128.0, 614.0, 36.0], shoonya_4sBWQDWIVU9VT9, 5653749]
[paragraph, [697.0, 1164.0, 614.0, 36.0], shoonya_4sBWQDWIVU9VT9, 5653749]
[paragraph, [697.0, 1200.0, 614.0, 36.0], shoonya_4sBWQDWIVU9VT9, 5653749]
[paragraph, [697.0, 1236.0, 614.0, 36.0], shoonya_4sBWQDWIVU9VT9, 5653749]
[paragraph, [697.0, 1272.0, 614.0, 36.0], shoonya_4sBWQDWIVU9VT9, 5653749]
[paragraph, [697.0, 1308.0, 614.0, 36.0], shoonya_4sBWQDWIVU9VT9, 5653749]
[paragraph, [697.0, 1344.0, 614.0, 36.0], shoonya_4sBWQDWIVU9VT9, 5653749]
[paragraph, [697.0, 1380.0, 614.0, 36.0], shoonya_4sBWQDWIVU9VT9, 5653749]
[paragraph, [697.0, 1416.0, 614.0, 36.0], shoonya_4sBWQDWIVU9VT9, 5653749]
[paragraph, [697.0, 1452.0, 614.0, 36.0], shoonya_4sBWQDWIVU9VT9, 5653749]
[paragraph, [697.0, 1488.0, 614.0, 36.0], shoonya_4sBWQDWIVU9VT9, 5653749]
[paragraph, [697.0, 1524.0, 614.0, 36.0], shoonya_4sBWQDWIVU9VT9, 5653749]
[paragraph, [697.0, 1560.0, 614.0, 36.0], shoonya_4sBWQDWIVU9VT9, 5653749]
[paragraph, [20.0, 821.0, 680.0, 36.0], 4zEKHPbReR, 5653749]
[paragraph, [20.0, 857.0, 680.0, 36.0], 4zEKHPbReR, 5653749]
[paragraph, [20.0, 893.0, 680.0, 36.0], 4zEKHPbReR, 5653749]
[paragraph, [20.0, 929.0, 680.0, 36.0], 4zEKHPbReR, 5653749]
[paragraph, [20.0, 965.0, 680.0, 36.0], 4zEKHPbReR, 5653749]
[paragraph, [20.0, 1001.0, 680.0, 36.0], 4zEKHPbReR, 5653749]
[paragraph, [20.0, 1037.0, 680.0, 36.0], 4zEKHPbReR, 5653749]
[paragraph, [20.0, 1073.0, 680.0, 36.0], 4zEKHPbReR, 5653749]
[paragraph, [20.0, 1109.0, 680.0, 36.0], 4zEKHPbReR, 5653749]
[paragraph, [20.0, 1145.0, 680.0, 36.0], 4zEKHPbReR, 5653749]
[paragraph, [20.0, 1181.0, 680.0, 36.0], 4zEKHPbReR, 5653749]
[paragraph, [20.0, 1217.0, 680.0, 36.0], 4zEKHPbReR, 5653749]
[paragraph, [20.0, 1253.0, 680.0, 36.0], 4zEKHPbReR, 5653749]
[paragraph, [20.0, 1289.0, 680.0, 36.0], 4zEKHPbReR, 5653749]
[paragraph, [20.0, 1325.0, 680.0, 36.0], 4zEKHPbReR, 5653749]
[paragraph, [20.0, 1361.0, 680.0, 36.0], 4zEKHPbReR, 5653749]
[paragraph, [57.0, 1390.0, 616.0, 36.0], 28U7tzu2Sj, 5653749]
[paragraph, [57.0, 1426.0, 616.0, 36.0], 28U7tzu2Sj, 5653749]
[paragraph, [57.0, 1462.0, 616.0, 36.0], 28U7tzu2Sj, 5653749]
[paragraph, [57.0, 1498.0, 616.0, 36.0], 28U7tzu2Sj, 5653749]
[paragraph, [57.0, 1534.0, 616.0, 36.0], 28U7tzu2Sj, 5653749]
[paragraph, [94.0, 1592.0, 584.0, 36.0], ObllNcnr-V, 5653749]
[paragraph, [94.0, 1628.0, 584.0, 36.0], ObllNcnr-V, 5653749]
[paragraph, [715.0, 1598.0, 631.0, 36.0], SWfcS55fsh, 5653749]
[paragraph, [715.0, 1634.0, 631.0, 36.0], SWfcS55fsh, 5653749]
[paragraph, [715.0, 1670.0, 631.0, 36.0], SWfcS55fsh, 5653749]
[paragraph, [121.0, 1691.0, 199.0, 36.0], a3t_ikIFap, 5653749]
[paragraph, [74.0, 1693.0, 641.0, 36.0], t2gdDzh6b9, 5653749]
[paragraph, [74.0, 1729.0, 641.0, 36.0], t2gdDzh6b9, 5653749]
[paragraph, [74.0, 1765.0, 641.0, 36.0], t2gdDzh6b9, 5653749]
[paragraph, [74.0, 1801.0, 641.0, 36.0], t2gdDzh6b9, 5653749]
[contact-info, [844.0, 1723.0, 493.0, 36.0], Du4bHLIka9, 5653749]
[contact-info, [844.0, 1759.0, 493.0, 36.0], Du4bHLIka9, 5653749]
[contact-info, [844.0, 1795.0, 493.0, 36.0], Du4bHLIka9, 5653749]
[contact-info, [844.0, 1831.0, 493.0, 36.0], Du4bHLIka9, 5653749]
[contact-info, [844.0, 1867.0, 493.0, 36.0], Du4bHLIka9, 5653749]
[paragraph, [41.0, 1816.0, 693.0, 36.0], v90nQBPVuo, 5653749]
[paragraph, [41.0, 1852.0, 693.0, 36.0], v90nQBPVuo, 5653749]
[paragraph, [41.0, 1888.0, 693.0, 36.0], v90nQBPVuo, 5653749]
[folio, [340.0, 1946.0, 710.0, 36.0], ZgsUj7Fh-p, 5653749]
[folio, [340.0, 1982.0, 710.0, 36.0], ZgsUj7Fh-p, 5653749]
