[515, 727]
[paragraph, [114.0, 49.0, 263.0, 18.0], 1HxCTD2UUm, 6532915]
[paragraph, [114.0, 67.0, 263.0, 18.0], 1HxCTD2UUm, 6532915]
[paragraph, [114.0, 85.0, 263.0, 18.0], 1HxCTD2UUm, 6532915]
[paragraph, [114.0, 103.0, 263.0, 18.0], 1HxCTD2UUm, 6532915]
[paragraph, [114.0, 121.0, 263.0, 18.0], 1HxCTD2UUm, 6532915]
[paragraph, [114.0, 139.0, 263.0, 18.0], 1HxCTD2UUm, 6532915]
[paragraph, [433.0, 65.0, 268.0, 18.0], lbgR1onjkI, 6532915]
[paragraph, [433.0, 83.0, 268.0, 18.0], lbgR1onjkI, 6532915]
[paragraph, [433.0, 101.0, 268.0, 18.0], lbgR1onjkI, 6532915]
[paragraph, [112.0, 162.0, 262.0, 18.0], shoonya_0sVJLHUMCX0UX8, 6532915]
[paragraph, [112.0, 180.0, 262.0, 18.0], shoonya_0sVJLHUMCX0UX8, 6532915]
[paragraph, [112.0, 198.0, 262.0, 18.0], shoonya_0sVJLHUMCX0UX8, 6532915]
[paragraph, [112.0, 216.0, 262.0, 18.0], shoonya_0sVJLHUMCX0UX8, 6532915]
[paragraph, [112.0, 234.0, 262.0, 18.0], shoonya_0sVJLHUMCX0UX8, 6532915]
[paragraph, [112.0, 252.0, 262.0, 18.0], shoonya_0sVJLHUMCX0UX8, 6532915]
[paragraph, [112.0, 270.0, 262.0, 18.0], shoonya_0sVJLHUMCX0UX8, 6532915]
[paragraph, [112.0, 288.0, 262.0, 18.0], shoonya_0sVJLHUMCX0UX8, 6532915]
[paragraph, [112.0, 306.0, 262.0, 18.0], shoonya_0sVJLHUMCX0UX8, 6532915]
[paragraph, [112.0, 324.0, 262.0, 18.0], shoonya_0sVJLHUMCX0UX8, 6532915]
[paragraph, [112.0, 342.0, 262.0, 18.0], shoonya_0sVJLHUMCX0UX8, 6532915]
[paragraph, [112.0, 360.0, 262.0, 18.0], shoonya_0sVJLHUMCX0UX8, 6532915]
[paragraph, [442.0, 164.0, 257.0, 18.0], 3y3iHPuckv, 6532915]
[paragraph, [442.0, 182.0, 257.0, 18.0], 3y3iHPuckv, 6532915]
[paragraph, [442.0, 200.0, 257.0, 18.0], 3y3iHPuckv, 6532915]
[paragraph, [442.0, 218.0, 257.0, 18.0], 3y3iHPuckv, 6532915]
[paragraph, [440.0, 242.0, 264.0, 18.0], OUZamki8SV, 6532915]
[paragraph, [440.0, 260.0, 264.0, 18.0], OUZamki8SV, 6532915]
[paragraph, [440.0, 278.0, 264.0, 18.0], OUZamki8SV, 6532915]
[paragraph, [440.0, 296.0, 264.0, 18.0], OUZamki8SV, 6532915]
[paragraph, [440.0, 314.0, 264.0, 18.0], OUZamki8SV, 6532915]
[paragraph, [440.0, 332.0, 264.0, 18.0], OUZamki8SV, 6532915]
[paragraph, [444.0, 352.0, 261.0, 18.0], z1zl4R1vg6, 6532915]
[paragraph, [444.0, 370.0, 261.0, 18.0], z1zl4R1vg6, 6532915]
[paragraph, [444.0, 388.0, 261.0, 18.0], z1zl4R1vg6, 6532915]
[paragraph, [444.0, 406.0, 261.0, 18.0], z1zl4R1vg6, 6532915]
[paragraph, [444.0, 424.0, 261.0, 18.0], z1zl4R1vg6, 6532915]
[paragraph, [112.0, 389.0, 260.0, 18.0], L702gm07t1, 6532915]
[paragraph, [112.0, 407.0, 260.0, 18.0], L702gm07t1, 6532915]
[folio, [108.0, 432.0, 59.0, 18.0], 9ImkeD2kS8, 6532915]
[folio, [647.0, 452.0, 61.0, 18.0], gfGZ9xFgZ3, 6532915]
