[2339, 1653]
[folio, [289.0, 208.0, 206.0, 36.0], APVsAAH_qB, 5655101]
[paragraph, [572.0, 316.0, 505.0, 36.0], shoonya_6s146Q7MNHR5TU, 5655101]
[paragraph, [572.0, 352.0, 505.0, 36.0], shoonya_6s146Q7MNHR5TU, 5655101]
[paragraph, [572.0, 388.0, 505.0, 36.0], shoonya_6s146Q7MNHR5TU, 5655101]
[paragraph, [572.0, 424.0, 505.0, 36.0], shoonya_6s146Q7MNHR5TU, 5655101]
[paragraph, [572.0, 460.0, 505.0, 36.0], shoonya_6s146Q7MNHR5TU, 5655101]
[paragraph, [572.0, 496.0, 505.0, 36.0], shoonya_6s146Q7MNHR5TU, 5655101]
[paragraph, [283.0, 584.0, 1094.0, 36.0], shoonya_0sQJXBE9YMDOOU, 5655101]
[paragraph, [283.0, 620.0, 1094.0, 36.0], shoonya_0sQJXBE9YMDOOU, 5655101]
[paragraph, [283.0, 656.0, 1094.0, 36.0], shoonya_0sQJXBE9YMDOOU, 5655101]
[paragraph, [283.0, 692.0, 1094.0, 36.0], shoonya_0sQJXBE9YMDOOU, 5655101]
[paragraph, [283.0, 728.0, 1094.0, 36.0], shoonya_0sQJXBE9YMDOOU, 5655101]
[paragraph, [283.0, 764.0, 1094.0, 36.0], shoonya_0sQJXBE9YMDOOU, 5655101]
[paragraph, [283.0, 800.0, 1094.0, 36.0], shoonya_0sQJXBE9YMDOOU, 5655101]
[paragraph, [283.0, 836.0, 1094.0, 36.0], shoonya_0sQJXBE9YMDOOU, 5655101]
[paragraph, [283.0, 872.0, 1094.0, 36.0], shoonya_0sQJXBE9YMDOOU, 5655101]
[paragraph, [283.0, 908.0, 1094.0, 36.0], shoonya_0sQJXBE9YMDOOU, 5655101]
[paragraph, [283.0, 944.0, 1094.0, 36.0], shoonya_0sQJXBE9YMDOOU, 5655101]
[paragraph, [283.0, 980.0, 1094.0, 36.0], shoonya_0sQJXBE9YMDOOU, 5655101]
[paragraph, [283.0, 1016.0, 1094.0, 36.0], shoonya_0sQJXBE9YMDOOU, 5655101]
[paragraph, [283.0, 1052.0, 1094.0, 36.0], shoonya_0sQJXBE9YMDOOU, 5655101]
[paragraph, [283.0, 1088.0, 1094.0, 36.0], shoonya_0sQJXBE9YMDOOU, 5655101]
[paragraph, [283.0, 1124.0, 1094.0, 36.0], shoonya_0sQJXBE9YMDOOU, 5655101]
[section-title, [283.0, 1204.0, 462.0, 52.5], hCsO2w9rT9, 5655101]
[paragraph, [283.0, 1294.0, 1083.0, 36.0], shoonya_2s339YV364AOHA, 5655101]
[paragraph, [283.0, 1330.0, 1083.0, 36.0], shoonya_2s339YV364AOHA, 5655101]
[paragraph, [283.0, 1366.0, 1083.0, 36.0], shoonya_2s339YV364AOHA, 5655101]
[paragraph, [283.0, 1402.0, 1083.0, 36.0], shoonya_2s339YV364AOHA, 5655101]
[paragraph, [283.0, 1438.0, 1083.0, 36.0], shoonya_2s339YV364AOHA, 5655101]
[paragraph, [283.0, 1474.0, 1083.0, 36.0], shoonya_2s339YV364AOHA, 5655101]
[paragraph, [283.0, 1510.0, 1083.0, 36.0], shoonya_2s339YV364AOHA, 5655101]
[paragraph, [283.0, 1546.0, 1083.0, 36.0], shoonya_2s339YV364AOHA, 5655101]
[paragraph, [283.0, 1582.0, 1083.0, 36.0], shoonya_2s339YV364AOHA, 5655101]
[paragraph, [283.0, 1618.0, 1083.0, 36.0], shoonya_2s339YV364AOHA, 5655101]
[paragraph, [283.0, 1654.0, 1083.0, 36.0], shoonya_2s339YV364AOHA, 5655101]
[section-title, [285.0, 1737.0, 409.0, 52.5], u-u6zxxAtr, 5655101]
[paragraph, [286.0, 1825.0, 1082.0, 36.0], shoonya_1sSINDPUZGD95Q, 5655101]
[paragraph, [286.0, 1861.0, 1082.0, 36.0], shoonya_1sSINDPUZGD95Q, 5655101]
[paragraph, [286.0, 1897.0, 1082.0, 36.0], shoonya_1sSINDPUZGD95Q, 5655101]
[paragraph, [286.0, 1933.0, 1082.0, 36.0], shoonya_1sSINDPUZGD95Q, 5655101]
[paragraph, [286.0, 1969.0, 1082.0, 36.0], shoonya_1sSINDPUZGD95Q, 5655101]
[paragraph, [286.0, 2005.0, 1082.0, 36.0], shoonya_1sSINDPUZGD95Q, 5655101]
