[1388, 886]
[folio, [653.0, 54.0, 194.0, 18.0], shoonya_2sJ00EZIF8AG63, 5742890]
[folio, [653.0, 72.0, 194.0, 18.0], shoonya_2sJ00EZIF8AG63, 5742890]
[folio, [372.0, 63.0, 135.0, 18.0], shoonya_0sPOIB13AXE6X5, 5742890]
[paragraph, [438.0, 129.0, 418.0, 18.0], shoonya_1sCXHYF6S72YNE, 5742890]
[paragraph, [438.0, 147.0, 418.0, 18.0], shoonya_1sCXHYF6S72YNE, 5742890]
[paragraph, [438.0, 165.0, 418.0, 18.0], shoonya_1sCXHYF6S72YNE, 5742890]
[paragraph, [438.0, 183.0, 418.0, 18.0], shoonya_1sCXHYF6S72YNE, 5742890]
[paragraph, [438.0, 201.0, 418.0, 18.0], shoonya_1sCXHYF6S72YNE, 5742890]
[paragraph, [438.0, 219.0, 418.0, 18.0], shoonya_1sCXHYF6S72YNE, 5742890]
[paragraph, [438.0, 237.0, 418.0, 18.0], shoonya_1sCXHYF6S72YNE, 5742890]
[paragraph, [438.0, 255.0, 418.0, 18.0], shoonya_1sCXHYF6S72YNE, 5742890]
[paragraph, [438.0, 273.0, 418.0, 18.0], shoonya_1sCXHYF6S72YNE, 5742890]
[paragraph, [438.0, 291.0, 418.0, 18.0], shoonya_1sCXHYF6S72YNE, 5742890]
[paragraph, [438.0, 309.0, 418.0, 18.0], shoonya_1sCXHYF6S72YNE, 5742890]
[paragraph, [438.0, 327.0, 418.0, 18.0], shoonya_1sCXHYF6S72YNE, 5742890]
[paragraph, [438.0, 345.0, 418.0, 18.0], shoonya_1sCXHYF6S72YNE, 5742890]
[paragraph, [438.0, 363.0, 418.0, 18.0], shoonya_1sCXHYF6S72YNE, 5742890]
[paragraph, [438.0, 381.0, 418.0, 18.0], shoonya_1sCXHYF6S72YNE, 5742890]
[paragraph, [27.0, 131.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 149.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 167.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 185.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 203.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 221.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 239.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 257.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 275.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 293.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 311.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 329.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 347.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 365.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 383.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 401.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 419.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 437.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 455.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 473.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 491.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 509.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 527.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 545.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 563.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 581.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 599.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 617.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 635.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 653.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 671.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 689.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 707.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 725.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 743.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 761.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 779.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 797.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 815.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [27.0, 833.0, 403.0, 18.0], V4UQhGySMD, 5742890]
[paragraph, [447.0, 418.0, 405.0, 18.0], 6N3VCeMSde, 5742890]
[paragraph, [447.0, 436.0, 405.0, 18.0], 6N3VCeMSde, 5742890]
[paragraph, [447.0, 454.0, 405.0, 18.0], 6N3VCeMSde, 5742890]
[paragraph, [447.0, 472.0, 405.0, 18.0], 6N3VCeMSde, 5742890]
[paragraph, [447.0, 490.0, 405.0, 18.0], 6N3VCeMSde, 5742890]
[paragraph, [447.0, 508.0, 405.0, 18.0], 6N3VCeMSde, 5742890]
[paragraph, [448.0, 537.0, 409.0, 18.0], AQFXRCPAgB, 5742890]
[paragraph, [448.0, 555.0, 409.0, 18.0], AQFXRCPAgB, 5742890]
[paragraph, [448.0, 573.0, 409.0, 18.0], AQFXRCPAgB, 5742890]
[paragraph, [448.0, 591.0, 409.0, 18.0], AQFXRCPAgB, 5742890]
[paragraph, [448.0, 609.0, 409.0, 18.0], AQFXRCPAgB, 5742890]
[paragraph, [448.0, 627.0, 409.0, 18.0], AQFXRCPAgB, 5742890]
[paragraph, [448.0, 645.0, 409.0, 18.0], AQFXRCPAgB, 5742890]
[paragraph, [448.0, 663.0, 409.0, 18.0], AQFXRCPAgB, 5742890]
[paragraph, [448.0, 681.0, 409.0, 18.0], AQFXRCPAgB, 5742890]
[paragraph, [455.0, 724.0, 393.0, 18.0], 8jFZ_vYrXG, 5742890]
[paragraph, [455.0, 742.0, 393.0, 18.0], 8jFZ_vYrXG, 5742890]
[paragraph, [455.0, 760.0, 393.0, 18.0], 8jFZ_vYrXG, 5742890]
[paragraph, [455.0, 778.0, 393.0, 18.0], 8jFZ_vYrXG, 5742890]
[paragraph, [699.0, 800.0, 149.0, 18.0], wq681_EXk9, 5742890]
[paragraph, [454.0, 841.0, 405.0, 18.0], eb9JszV1Sj, 5742890]
[paragraph, [454.0, 859.0, 405.0, 18.0], eb9JszV1Sj, 5742890]
[paragraph, [454.0, 877.0, 405.0, 18.0], eb9JszV1Sj, 5742890]
[paragraph, [454.0, 895.0, 405.0, 18.0], eb9JszV1Sj, 5742890]
[paragraph, [454.0, 913.0, 405.0, 18.0], eb9JszV1Sj, 5742890]
[paragraph, [454.0, 931.0, 405.0, 18.0], eb9JszV1Sj, 5742890]
[paragraph, [454.0, 949.0, 405.0, 18.0], eb9JszV1Sj, 5742890]
[paragraph, [454.0, 967.0, 405.0, 18.0], eb9JszV1Sj, 5742890]
[paragraph, [454.0, 985.0, 405.0, 18.0], eb9JszV1Sj, 5742890]
[paragraph, [454.0, 1003.0, 405.0, 18.0], eb9JszV1Sj, 5742890]
[paragraph, [454.0, 1021.0, 405.0, 18.0], eb9JszV1Sj, 5742890]
[paragraph, [454.0, 1039.0, 405.0, 18.0], eb9JszV1Sj, 5742890]
[paragraph, [35.0, 872.0, 396.0, 18.0], 6QFipPbD37, 5742890]
[paragraph, [35.0, 890.0, 396.0, 18.0], 6QFipPbD37, 5742890]
[paragraph, [35.0, 908.0, 396.0, 18.0], 6QFipPbD37, 5742890]
[paragraph, [35.0, 926.0, 396.0, 18.0], 6QFipPbD37, 5742890]
[paragraph, [35.0, 944.0, 396.0, 18.0], 6QFipPbD37, 5742890]
[paragraph, [35.0, 962.0, 396.0, 18.0], 6QFipPbD37, 5742890]
[paragraph, [35.0, 980.0, 396.0, 18.0], 6QFipPbD37, 5742890]
[paragraph, [35.0, 998.0, 396.0, 18.0], 6QFipPbD37, 5742890]
[paragraph, [35.0, 1016.0, 396.0, 18.0], 6QFipPbD37, 5742890]
[paragraph, [35.0, 1034.0, 396.0, 18.0], 6QFipPbD37, 5742890]
[paragraph, [35.0, 1052.0, 396.0, 18.0], 6QFipPbD37, 5742890]
[paragraph, [459.0, 1062.0, 351.0, 18.0], qNHUZzfkjN, 5742890]
[paragraph, [459.0, 1080.0, 351.0, 18.0], qNHUZzfkjN, 5742890]
[paragraph, [35.0, 1081.0, 400.0, 18.0], 5THfdcvv9d, 5742890]
[paragraph, [35.0, 1099.0, 400.0, 18.0], 5THfdcvv9d, 5742890]
[paragraph, [35.0, 1117.0, 400.0, 18.0], 5THfdcvv9d, 5742890]
[paragraph, [35.0, 1135.0, 400.0, 18.0], 5THfdcvv9d, 5742890]
[paragraph, [35.0, 1153.0, 400.0, 18.0], 5THfdcvv9d, 5742890]
[paragraph, [35.0, 1171.0, 400.0, 18.0], 5THfdcvv9d, 5742890]
[paragraph, [35.0, 1189.0, 400.0, 18.0], 5THfdcvv9d, 5742890]
[paragraph, [35.0, 1207.0, 400.0, 18.0], 5THfdcvv9d, 5742890]
[paragraph, [35.0, 1225.0, 400.0, 18.0], 5THfdcvv9d, 5742890]
[paragraph, [761.0, 1114.0, 94.0, 18.0], wzA2VKK2tP, 5742890]
[paragraph, [475.0, 1147.0, 322.0, 18.0], R0ChWJulfG, 5742890]
[paragraph, [759.0, 1189.0, 89.0, 18.0], QKbgrUWmTO, 5742890]
[paragraph, [461.0, 1219.0, 393.0, 18.0], CyqyWUXBYL, 5742890]
[paragraph, [461.0, 1237.0, 393.0, 18.0], CyqyWUXBYL, 5742890]
[paragraph, [461.0, 1255.0, 393.0, 18.0], CyqyWUXBYL, 5742890]
[paragraph, [461.0, 1273.0, 393.0, 18.0], CyqyWUXBYL, 5742890]
[paragraph, [461.0, 1291.0, 393.0, 18.0], CyqyWUXBYL, 5742890]
[paragraph, [461.0, 1309.0, 393.0, 18.0], CyqyWUXBYL, 5742890]
[paragraph, [32.0, 1257.0, 407.0, 18.0], shoonya_3s63E14LUUGRQC, 5742890]
[paragraph, [32.0, 1275.0, 407.0, 18.0], shoonya_3s63E14LUUGRQC, 5742890]
[paragraph, [32.0, 1293.0, 407.0, 18.0], shoonya_3s63E14LUUGRQC, 5742890]
[paragraph, [32.0, 1311.0, 407.0, 18.0], shoonya_3s63E14LUUGRQC, 5742890]
[footnote, [575.0, 1350.0, 255.0, 18.0], IEHQ8FWYGD, 5742890]
