[1818, 1374]
[folio, [473.0, 99.0, 416.0, 36.0], shoonya_1sID9G7E4GJZ4Y, 5682993]
[paragraph, [699.0, 178.0, 565.0, 36.0], XHMfybk7zs, 5682993]
[paragraph, [699.0, 214.0, 565.0, 36.0], XHMfybk7zs, 5682993]
[paragraph, [699.0, 250.0, 565.0, 36.0], XHMfybk7zs, 5682993]
[paragraph, [699.0, 286.0, 565.0, 36.0], XHMfybk7zs, 5682993]
[paragraph, [112.0, 181.0, 569.0, 36.0], shoonya_3sULRHPXJEVPZT, 5682993]
[paragraph, [112.0, 217.0, 569.0, 36.0], shoonya_3sULRHPXJEVPZT, 5682993]
[paragraph, [111.0, 269.0, 570.0, 36.0], BY-Qe14iP6, 5682993]
[paragraph, [111.0, 305.0, 570.0, 36.0], BY-Qe14iP6, 5682993]
[paragraph, [738.0, 348.0, 333.0, 36.0], kYmzu7DJZz, 5682993]
[paragraph, [148.0, 352.0, 485.0, 36.0], 4liQu4Qgmi, 5682993]
[paragraph, [693.0, 394.0, 582.0, 36.0], w1KgaxBRXy, 5682993]
[paragraph, [693.0, 430.0, 582.0, 36.0], w1KgaxBRXy, 5682993]
[paragraph, [693.0, 466.0, 582.0, 36.0], w1KgaxBRXy, 5682993]
[paragraph, [693.0, 502.0, 582.0, 36.0], w1KgaxBRXy, 5682993]
[paragraph, [693.0, 538.0, 582.0, 36.0], w1KgaxBRXy, 5682993]
[paragraph, [693.0, 574.0, 582.0, 36.0], w1KgaxBRXy, 5682993]
[paragraph, [693.0, 610.0, 582.0, 36.0], w1KgaxBRXy, 5682993]
[paragraph, [693.0, 646.0, 582.0, 36.0], w1KgaxBRXy, 5682993]
[paragraph, [96.0, 524.0, 581.0, 36.0], yqa_bM2r4O, 5682993]
[paragraph, [96.0, 560.0, 581.0, 36.0], yqa_bM2r4O, 5682993]
[paragraph, [96.0, 596.0, 581.0, 36.0], yqa_bM2r4O, 5682993]
[paragraph, [96.0, 632.0, 581.0, 36.0], yqa_bM2r4O, 5682993]
[paragraph, [96.0, 668.0, 581.0, 36.0], yqa_bM2r4O, 5682993]
[paragraph, [96.0, 704.0, 581.0, 36.0], yqa_bM2r4O, 5682993]
[paragraph, [96.0, 740.0, 581.0, 36.0], yqa_bM2r4O, 5682993]
[paragraph, [96.0, 776.0, 581.0, 36.0], yqa_bM2r4O, 5682993]
[paragraph, [692.0, 695.0, 573.0, 36.0], gzQSJrkZZL, 5682993]
[paragraph, [692.0, 731.0, 573.0, 36.0], gzQSJrkZZL, 5682993]
[paragraph, [691.0, 776.0, 574.0, 36.0], sE8JUUZzDO, 5682993]
[paragraph, [691.0, 812.0, 574.0, 36.0], sE8JUUZzDO, 5682993]
[paragraph, [94.0, 825.0, 584.0, 36.0], nqnFAxVclk, 5682993]
[paragraph, [94.0, 861.0, 584.0, 36.0], nqnFAxVclk, 5682993]
[paragraph, [94.0, 897.0, 584.0, 36.0], nqnFAxVclk, 5682993]
[paragraph, [734.0, 867.0, 339.0, 36.0], EH9uTnDyxS, 5682993]
