[1634, 1040]
[paragraph, [106.0, 168.0, 841.0, 36.0], shoonya_2s4ANNHHVDYUDC, 5730743]
[paragraph, [106.0, 204.0, 841.0, 36.0], shoonya_2s4ANNHHVDYUDC, 5730743]
[paragraph, [97.0, 276.0, 854.0, 36.0], shoonya_1s77L3RM1OL96U, 5730743]
[paragraph, [97.0, 312.0, 854.0, 36.0], shoonya_1s77L3RM1OL96U, 5730743]
[paragraph, [97.0, 348.0, 854.0, 36.0], shoonya_1s77L3RM1OL96U, 5730743]
[paragraph, [97.0, 384.0, 854.0, 36.0], shoonya_1s77L3RM1OL96U, 5730743]
[paragraph, [97.0, 420.0, 854.0, 36.0], shoonya_1s77L3RM1OL96U, 5730743]
[paragraph, [97.0, 456.0, 854.0, 36.0], shoonya_1s77L3RM1OL96U, 5730743]
[paragraph, [97.0, 492.0, 854.0, 36.0], shoonya_1s77L3RM1OL96U, 5730743]
[paragraph, [97.0, 528.0, 854.0, 36.0], shoonya_1s77L3RM1OL96U, 5730743]
[paragraph, [97.0, 564.0, 854.0, 36.0], shoonya_1s77L3RM1OL96U, 5730743]
[paragraph, [97.0, 600.0, 854.0, 36.0], shoonya_1s77L3RM1OL96U, 5730743]
[paragraph, [97.0, 636.0, 854.0, 36.0], shoonya_1s77L3RM1OL96U, 5730743]
[paragraph, [97.0, 672.0, 854.0, 36.0], shoonya_1s77L3RM1OL96U, 5730743]
[paragraph, [97.0, 708.0, 854.0, 36.0], shoonya_1s77L3RM1OL96U, 5730743]
[paragraph, [86.0, 771.0, 864.0, 36.0], shoonya_0sE1P85XHY5Q4E, 5730743]
[paragraph, [86.0, 807.0, 864.0, 36.0], shoonya_0sE1P85XHY5Q4E, 5730743]
[paragraph, [86.0, 843.0, 864.0, 36.0], shoonya_0sE1P85XHY5Q4E, 5730743]
[paragraph, [86.0, 879.0, 864.0, 36.0], shoonya_0sE1P85XHY5Q4E, 5730743]
[paragraph, [86.0, 915.0, 864.0, 36.0], shoonya_0sE1P85XHY5Q4E, 5730743]
[paragraph, [86.0, 951.0, 864.0, 36.0], shoonya_0sE1P85XHY5Q4E, 5730743]
[paragraph, [86.0, 987.0, 864.0, 36.0], shoonya_0sE1P85XHY5Q4E, 5730743]
[paragraph, [86.0, 1023.0, 864.0, 36.0], shoonya_0sE1P85XHY5Q4E, 5730743]
[paragraph, [86.0, 1059.0, 864.0, 36.0], shoonya_0sE1P85XHY5Q4E, 5730743]
[paragraph, [86.0, 1095.0, 864.0, 36.0], shoonya_0sE1P85XHY5Q4E, 5730743]
[paragraph, [86.0, 1131.0, 864.0, 36.0], shoonya_0sE1P85XHY5Q4E, 5730743]
[paragraph, [86.0, 1167.0, 864.0, 36.0], shoonya_0sE1P85XHY5Q4E, 5730743]
[paragraph, [86.0, 1203.0, 864.0, 36.0], shoonya_0sE1P85XHY5Q4E, 5730743]
[paragraph, [86.0, 1239.0, 864.0, 36.0], shoonya_0sE1P85XHY5Q4E, 5730743]
[paragraph, [86.0, 1275.0, 864.0, 36.0], shoonya_0sE1P85XHY5Q4E, 5730743]
[paragraph, [86.0, 1311.0, 864.0, 36.0], shoonya_0sE1P85XHY5Q4E, 5730743]
[paragraph, [86.0, 1347.0, 864.0, 36.0], shoonya_0sE1P85XHY5Q4E, 5730743]
[paragraph, [86.0, 1383.0, 864.0, 36.0], shoonya_0sE1P85XHY5Q4E, 5730743]
[paragraph, [86.0, 1419.0, 864.0, 36.0], shoonya_0sE1P85XHY5Q4E, 5730743]
[paragraph, [86.0, 1455.0, 864.0, 36.0], shoonya_0sE1P85XHY5Q4E, 5730743]
[paragraph, [86.0, 1491.0, 864.0, 36.0], shoonya_0sE1P85XHY5Q4E, 5730743]
