[3835, 2318]
[paragraph, [68.0, 354.0, 2153.0, 52.5], shoonya_1sZRVC1MFN99Q1, 5720128]
[paragraph, [68.0, 406.5, 2153.0, 52.5], shoonya_1sZRVC1MFN99Q1, 5720128]
[paragraph, [68.0, 459.0, 2153.0, 52.5], shoonya_1sZRVC1MFN99Q1, 5720128]
[paragraph, [68.0, 511.5, 2153.0, 52.5], shoonya_1sZRVC1MFN99Q1, 5720128]
[paragraph, [68.0, 564.0, 2153.0, 52.5], shoonya_1sZRVC1MFN99Q1, 5720128]
[paragraph, [68.0, 616.5, 2153.0, 52.5], shoonya_1sZRVC1MFN99Q1, 5720128]
[paragraph, [68.0, 669.0, 2153.0, 52.5], shoonya_1sZRVC1MFN99Q1, 5720128]
[paragraph, [68.0, 721.5, 2153.0, 52.5], shoonya_1sZRVC1MFN99Q1, 5720128]
[paragraph, [68.0, 774.0, 2153.0, 52.5], shoonya_1sZRVC1MFN99Q1, 5720128]
[paragraph, [68.0, 826.5, 2153.0, 52.5], shoonya_1sZRVC1MFN99Q1, 5720128]
[paragraph, [68.0, 879.0, 2153.0, 52.5], shoonya_1sZRVC1MFN99Q1, 5720128]
[paragraph, [68.0, 931.5, 2153.0, 52.5], shoonya_1sZRVC1MFN99Q1, 5720128]
[paragraph, [58.0, 1084.0, 2189.0, 52.5], shoonya_0sXV0XS1PZ4HYC, 5720128]
[paragraph, [58.0, 1136.5, 2189.0, 52.5], shoonya_0sXV0XS1PZ4HYC, 5720128]
[paragraph, [58.0, 1189.0, 2189.0, 52.5], shoonya_0sXV0XS1PZ4HYC, 5720128]
[paragraph, [58.0, 1241.5, 2189.0, 52.5], shoonya_0sXV0XS1PZ4HYC, 5720128]
[paragraph, [58.0, 1294.0, 2189.0, 52.5], shoonya_0sXV0XS1PZ4HYC, 5720128]
[paragraph, [58.0, 1346.5, 2189.0, 52.5], shoonya_0sXV0XS1PZ4HYC, 5720128]
[paragraph, [58.0, 1399.0, 2189.0, 52.5], shoonya_0sXV0XS1PZ4HYC, 5720128]
[paragraph, [58.0, 1451.5, 2189.0, 52.5], shoonya_0sXV0XS1PZ4HYC, 5720128]
[paragraph, [58.0, 1504.0, 2189.0, 52.5], shoonya_0sXV0XS1PZ4HYC, 5720128]
[paragraph, [58.0, 1556.5, 2189.0, 52.5], shoonya_0sXV0XS1PZ4HYC, 5720128]
[paragraph, [58.0, 1609.0, 2189.0, 52.5], shoonya_0sXV0XS1PZ4HYC, 5720128]
[paragraph, [58.0, 1661.5, 2189.0, 52.5], shoonya_0sXV0XS1PZ4HYC, 5720128]
[paragraph, [58.0, 1714.0, 2189.0, 52.5], shoonya_0sXV0XS1PZ4HYC, 5720128]
[paragraph, [58.0, 1766.5, 2189.0, 52.5], shoonya_0sXV0XS1PZ4HYC, 5720128]
[paragraph, [58.0, 1819.0, 2189.0, 52.5], shoonya_0sXV0XS1PZ4HYC, 5720128]
[paragraph, [58.0, 1871.5, 2189.0, 52.5], shoonya_0sXV0XS1PZ4HYC, 5720128]
[paragraph, [58.0, 1924.0, 2189.0, 52.5], shoonya_0sXV0XS1PZ4HYC, 5720128]
[paragraph, [81.0, 2045.0, 2167.0, 52.5], TtzDmMNe7p, 5720128]
[paragraph, [81.0, 2097.5, 2167.0, 52.5], TtzDmMNe7p, 5720128]
[paragraph, [81.0, 2150.0, 2167.0, 52.5], TtzDmMNe7p, 5720128]
[paragraph, [81.0, 2202.5, 2167.0, 52.5], TtzDmMNe7p, 5720128]
[paragraph, [81.0, 2255.0, 2167.0, 52.5], TtzDmMNe7p, 5720128]
[paragraph, [81.0, 2307.5, 2167.0, 52.5], TtzDmMNe7p, 5720128]
[paragraph, [81.0, 2360.0, 2167.0, 52.5], TtzDmMNe7p, 5720128]
[paragraph, [81.0, 2412.5, 2167.0, 52.5], TtzDmMNe7p, 5720128]
[paragraph, [81.0, 2465.0, 2167.0, 52.5], TtzDmMNe7p, 5720128]
[paragraph, [81.0, 2517.5, 2167.0, 52.5], TtzDmMNe7p, 5720128]
[paragraph, [81.0, 2570.0, 2167.0, 52.5], TtzDmMNe7p, 5720128]
[paragraph, [81.0, 2622.5, 2167.0, 52.5], TtzDmMNe7p, 5720128]
[paragraph, [81.0, 2675.0, 2167.0, 52.5], TtzDmMNe7p, 5720128]
[paragraph, [81.0, 2727.5, 2167.0, 52.5], TtzDmMNe7p, 5720128]
[paragraph, [81.0, 2780.0, 2167.0, 52.5], TtzDmMNe7p, 5720128]
[paragraph, [81.0, 2832.5, 2167.0, 52.5], TtzDmMNe7p, 5720128]
[paragraph, [81.0, 2885.0, 2167.0, 52.5], TtzDmMNe7p, 5720128]
[paragraph, [81.0, 2937.5, 2167.0, 52.5], TtzDmMNe7p, 5720128]
[paragraph, [81.0, 2990.0, 2167.0, 52.5], TtzDmMNe7p, 5720128]
[paragraph, [81.0, 3042.5, 2167.0, 52.5], TtzDmMNe7p, 5720128]
[paragraph, [60.0, 3138.0, 2175.0, 52.5], oJk1RHUQlj, 5720128]
[paragraph, [60.0, 3190.5, 2175.0, 52.5], oJk1RHUQlj, 5720128]
[paragraph, [60.0, 3243.0, 2175.0, 52.5], oJk1RHUQlj, 5720128]
[paragraph, [60.0, 3295.5, 2175.0, 52.5], oJk1RHUQlj, 5720128]
