[792, 612]
[contact-info, [97.0, 43.0, 456.0, 18.0], OY1u5dMk43, 5707016]
[paragraph, [72.0, 173.0, 507.0, 18.0], shoonya_0sEVFHXCZGLKW5, 5707016]
[paragraph, [72.0, 191.0, 507.0, 18.0], shoonya_0sEVFHXCZGLKW5, 5707016]
[paragraph, [72.0, 209.0, 507.0, 18.0], shoonya_0sEVFHXCZGLKW5, 5707016]
[paragraph, [72.0, 227.0, 507.0, 18.0], shoonya_0sEVFHXCZGLKW5, 5707016]
[paragraph, [72.0, 245.0, 507.0, 18.0], shoonya_0sEVFHXCZGLKW5, 5707016]
[paragraph, [72.0, 263.0, 507.0, 18.0], shoonya_0sEVFHXCZGLKW5, 5707016]
[paragraph, [72.0, 281.0, 507.0, 18.0], shoonya_0sEVFHXCZGLKW5, 5707016]
[paragraph, [72.0, 299.0, 507.0, 18.0], shoonya_0sEVFHXCZGLKW5, 5707016]
[paragraph, [72.0, 317.0, 507.0, 18.0], shoonya_0sEVFHXCZGLKW5, 5707016]
[paragraph, [72.0, 335.0, 507.0, 18.0], shoonya_0sEVFHXCZGLKW5, 5707016]
[paragraph, [72.0, 353.0, 507.0, 18.0], shoonya_0sEVFHXCZGLKW5, 5707016]
[paragraph, [72.0, 371.0, 507.0, 18.0], shoonya_0sEVFHXCZGLKW5, 5707016]
[paragraph, [72.0, 389.0, 507.0, 18.0], shoonya_0sEVFHXCZGLKW5, 5707016]
[paragraph, [72.0, 407.0, 507.0, 18.0], shoonya_0sEVFHXCZGLKW5, 5707016]
[paragraph, [72.0, 425.0, 507.0, 18.0], shoonya_0sEVFHXCZGLKW5, 5707016]
[paragraph, [72.0, 443.0, 507.0, 18.0], shoonya_0sEVFHXCZGLKW5, 5707016]
[paragraph, [72.0, 461.0, 507.0, 18.0], shoonya_0sEVFHXCZGLKW5, 5707016]
[paragraph, [72.0, 479.0, 507.0, 18.0], shoonya_0sEVFHXCZGLKW5, 5707016]
[paragraph, [72.0, 497.0, 507.0, 18.0], shoonya_0sEVFHXCZGLKW5, 5707016]
[paragraph, [72.0, 515.0, 507.0, 18.0], shoonya_0sEVFHXCZGLKW5, 5707016]
[paragraph, [72.0, 533.0, 507.0, 18.0], shoonya_0sEVFHXCZGLKW5, 5707016]
[paragraph, [72.0, 551.0, 507.0, 18.0], shoonya_0sEVFHXCZGLKW5, 5707016]
[paragraph, [72.0, 569.0, 507.0, 18.0], shoonya_0sEVFHXCZGLKW5, 5707016]
[contact-info, [418.0, 688.0, 143.0, 18.0], yG5h4K4NYE, 5707016]
[contact-info, [418.0, 706.0, 143.0, 18.0], yG5h4K4NYE, 5707016]
[contact-info, [418.0, 724.0, 143.0, 18.0], yG5h4K4NYE, 5707016]
[contact-info, [418.0, 742.0, 143.0, 18.0], yG5h4K4NYE, 5707016]
[contact-info, [63.0, 714.0, 99.0, 18.0], YSX15devXC, 5707016]
