[1468, 909]
[folio, [368.0, 77.0, 164.0, 18.0], OYo6J6v821, 5770752]
[folio, [368.0, 95.0, 164.0, 18.0], OYo6J6v821, 5770752]
[paragraph, [457.0, 136.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [457.0, 154.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [457.0, 172.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [457.0, 190.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [457.0, 208.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [457.0, 226.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [457.0, 244.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [457.0, 262.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [457.0, 280.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [457.0, 298.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [457.0, 316.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [457.0, 334.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [457.0, 352.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [457.0, 370.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [457.0, 388.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [457.0, 406.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [457.0, 424.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [457.0, 442.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [457.0, 460.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [457.0, 478.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [457.0, 496.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [457.0, 514.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [457.0, 532.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [457.0, 550.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [457.0, 568.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [457.0, 586.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [457.0, 604.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [457.0, 622.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [457.0, 640.0, 375.0, 18.0], Ck0zO2YMo0, 5770752]
[paragraph, [77.0, 146.0, 372.0, 18.0], vtGDfvAPMG, 5770752]
[paragraph, [77.0, 164.0, 372.0, 18.0], vtGDfvAPMG, 5770752]
[paragraph, [76.0, 175.0, 375.0, 18.0], Nc4j2LQPKi, 5770752]
[paragraph, [76.0, 193.0, 375.0, 18.0], Nc4j2LQPKi, 5770752]
[paragraph, [76.0, 211.0, 375.0, 18.0], Nc4j2LQPKi, 5770752]
[paragraph, [76.0, 229.0, 375.0, 18.0], Nc4j2LQPKi, 5770752]
[paragraph, [76.0, 247.0, 375.0, 18.0], Nc4j2LQPKi, 5770752]
[paragraph, [76.0, 265.0, 375.0, 18.0], Nc4j2LQPKi, 5770752]
[paragraph, [76.0, 283.0, 375.0, 18.0], Nc4j2LQPKi, 5770752]
[paragraph, [76.0, 301.0, 375.0, 18.0], Nc4j2LQPKi, 5770752]
[paragraph, [76.0, 319.0, 375.0, 18.0], Nc4j2LQPKi, 5770752]
[paragraph, [76.0, 337.0, 375.0, 18.0], Nc4j2LQPKi, 5770752]
[paragraph, [76.0, 355.0, 375.0, 18.0], Nc4j2LQPKi, 5770752]
[paragraph, [76.0, 373.0, 375.0, 18.0], Nc4j2LQPKi, 5770752]
[paragraph, [76.0, 391.0, 375.0, 18.0], Nc4j2LQPKi, 5770752]
[paragraph, [76.0, 409.0, 375.0, 18.0], Nc4j2LQPKi, 5770752]
[paragraph, [76.0, 427.0, 375.0, 18.0], Nc4j2LQPKi, 5770752]
[paragraph, [76.0, 445.0, 375.0, 18.0], Nc4j2LQPKi, 5770752]
[paragraph, [76.0, 463.0, 375.0, 18.0], Nc4j2LQPKi, 5770752]
[paragraph, [76.0, 481.0, 375.0, 18.0], Nc4j2LQPKi, 5770752]
[paragraph, [76.0, 499.0, 375.0, 18.0], Nc4j2LQPKi, 5770752]
[paragraph, [76.0, 517.0, 375.0, 18.0], Nc4j2LQPKi, 5770752]
[paragraph, [76.0, 535.0, 375.0, 18.0], Nc4j2LQPKi, 5770752]
[paragraph, [76.0, 553.0, 375.0, 18.0], Nc4j2LQPKi, 5770752]
[paragraph, [76.0, 571.0, 375.0, 18.0], Nc4j2LQPKi, 5770752]
[paragraph, [76.0, 589.0, 375.0, 18.0], Nc4j2LQPKi, 5770752]
[paragraph, [76.0, 607.0, 375.0, 18.0], Nc4j2LQPKi, 5770752]
[paragraph, [76.0, 625.0, 375.0, 18.0], Nc4j2LQPKi, 5770752]
[paragraph, [76.0, 643.0, 375.0, 18.0], Nc4j2LQPKi, 5770752]
[paragraph, [76.0, 661.0, 375.0, 18.0], Nc4j2LQPKi, 5770752]
