[1545, 2000]
[headline, [62.0, 49.0, 527.0, 37.5], amMdVYLM6s, 6532419]
[headline, [62.0, 86.5, 527.0, 37.5], amMdVYLM6s, 6532419]
[headline, [62.0, 124.0, 527.0, 37.5], amMdVYLM6s, 6532419]
[headline, [62.0, 161.5, 527.0, 37.5], amMdVYLM6s, 6532419]
[headline, [62.0, 199.0, 527.0, 37.5], amMdVYLM6s, 6532419]
[headline, [62.0, 236.5, 527.0, 37.5], amMdVYLM6s, 6532419]
[headline, [62.0, 274.0, 527.0, 37.5], amMdVYLM6s, 6532419]
[headline, [62.0, 311.5, 527.0, 37.5], amMdVYLM6s, 6532419]
[headline, [62.0, 349.0, 527.0, 37.5], amMdVYLM6s, 6532419]
[headline, [62.0, 386.5, 527.0, 37.5], amMdVYLM6s, 6532419]
[headline, [62.0, 424.0, 527.0, 37.5], amMdVYLM6s, 6532419]
[section-title, [760.0, 75.0, 467.0, 49.5], gllw9hhyYR, 6532419]
[section-title, [760.0, 124.5, 467.0, 49.5], gllw9hhyYR, 6532419]
[section-title, [1432.0, 82.0, 477.0, 49.5], DzEHHZKb0m, 6532419]
[section-title, [1432.0, 131.5, 477.0, 49.5], DzEHHZKb0m, 6532419]
[paragraph, [735.0, 202.0, 560.0, 36.0], pYQfLi4MgG, 6532419]
[paragraph, [735.0, 238.0, 560.0, 36.0], pYQfLi4MgG, 6532419]
[paragraph, [735.0, 274.0, 560.0, 36.0], pYQfLi4MgG, 6532419]
[paragraph, [735.0, 310.0, 560.0, 36.0], pYQfLi4MgG, 6532419]
[paragraph, [735.0, 346.0, 560.0, 36.0], pYQfLi4MgG, 6532419]
[paragraph, [735.0, 382.0, 560.0, 36.0], pYQfLi4MgG, 6532419]
[paragraph, [735.0, 418.0, 560.0, 36.0], pYQfLi4MgG, 6532419]
[paragraph, [735.0, 454.0, 560.0, 36.0], pYQfLi4MgG, 6532419]
[paragraph, [735.0, 490.0, 560.0, 36.0], pYQfLi4MgG, 6532419]
[paragraph, [735.0, 526.0, 560.0, 36.0], pYQfLi4MgG, 6532419]
[paragraph, [735.0, 562.0, 560.0, 36.0], pYQfLi4MgG, 6532419]
[paragraph, [735.0, 598.0, 560.0, 36.0], pYQfLi4MgG, 6532419]
[paragraph, [735.0, 634.0, 560.0, 36.0], pYQfLi4MgG, 6532419]
[paragraph, [735.0, 670.0, 560.0, 36.0], pYQfLi4MgG, 6532419]
[paragraph, [1372.0, 207.0, 590.0, 36.0], XBuQjspl7d, 6532419]
[paragraph, [1372.0, 243.0, 590.0, 36.0], XBuQjspl7d, 6532419]
[paragraph, [1372.0, 279.0, 590.0, 36.0], XBuQjspl7d, 6532419]
[paragraph, [1372.0, 315.0, 590.0, 36.0], XBuQjspl7d, 6532419]
[paragraph, [1372.0, 351.0, 590.0, 36.0], XBuQjspl7d, 6532419]
[paragraph, [1372.0, 387.0, 590.0, 36.0], XBuQjspl7d, 6532419]
[paragraph, [1372.0, 423.0, 590.0, 36.0], XBuQjspl7d, 6532419]
[paragraph, [1372.0, 459.0, 590.0, 36.0], XBuQjspl7d, 6532419]
[paragraph, [1372.0, 495.0, 590.0, 36.0], XBuQjspl7d, 6532419]
[paragraph, [1372.0, 531.0, 590.0, 36.0], XBuQjspl7d, 6532419]
[paragraph, [1372.0, 567.0, 590.0, 36.0], XBuQjspl7d, 6532419]
[contact-info, [80.0, 482.0, 482.0, 36.0], MzqraqPiuU, 6532419]
[contact-info, [80.0, 518.0, 482.0, 36.0], MzqraqPiuU, 6532419]
[contact-info, [80.0, 554.0, 482.0, 36.0], MzqraqPiuU, 6532419]
[contact-info, [80.0, 590.0, 482.0, 36.0], MzqraqPiuU, 6532419]
[paragraph, [92.0, 1190.0, 464.0, 36.0], Ht8RouICd-, 6532419]
[paragraph, [92.0, 1226.0, 464.0, 36.0], Ht8RouICd-, 6532419]
[paragraph, [92.0, 1262.0, 464.0, 36.0], Ht8RouICd-, 6532419]
[paragraph, [117.0, 1325.0, 410.0, 36.0], SiMF9mEM1G, 6532419]
[paragraph, [117.0, 1361.0, 410.0, 36.0], SiMF9mEM1G, 6532419]
[paragraph, [117.0, 1397.0, 410.0, 36.0], SiMF9mEM1G, 6532419]
