[3060, 3960]
[section-title, [1379.0, 429.0, 1229.0, 93.0], shoonya_5sGP4NM8QNQ307, 5695600]
[section-title, [1379.0, 522.0, 1229.0, 93.0], shoonya_5sGP4NM8QNQ307, 5695600]
[unordered-list, [89.0, 1672.0, 1263.0, 52.5], dXLIrzLi9l, 5695600]
[unordered-list, [89.0, 1724.5, 1263.0, 52.5], dXLIrzLi9l, 5695600]
[unordered-list, [89.0, 1777.0, 1263.0, 52.5], dXLIrzLi9l, 5695600]
[unordered-list, [89.0, 1829.5, 1263.0, 52.5], dXLIrzLi9l, 5695600]
[unordered-list, [89.0, 1882.0, 1263.0, 52.5], dXLIrzLi9l, 5695600]
[unordered-list, [89.0, 1934.5, 1263.0, 52.5], dXLIrzLi9l, 5695600]
[unordered-list, [89.0, 1987.0, 1263.0, 52.5], dXLIrzLi9l, 5695600]
[unordered-list, [89.0, 2039.5, 1263.0, 52.5], dXLIrzLi9l, 5695600]
[unordered-list, [89.0, 2092.0, 1263.0, 52.5], dXLIrzLi9l, 5695600]
[unordered-list, [89.0, 2144.5, 1263.0, 52.5], dXLIrzLi9l, 5695600]
[unordered-list, [89.0, 2197.0, 1263.0, 52.5], dXLIrzLi9l, 5695600]
[unordered-list, [89.0, 2249.5, 1263.0, 52.5], dXLIrzLi9l, 5695600]
[unordered-list, [1480.0, 1702.0, 1035.0, 52.5], shoonya_4sEGNMJH7LHFFK, 5695600]
[unordered-list, [1480.0, 1754.5, 1035.0, 52.5], shoonya_4sEGNMJH7LHFFK, 5695600]
[unordered-list, [1480.0, 1807.0, 1035.0, 52.5], shoonya_4sEGNMJH7LHFFK, 5695600]
[unordered-list, [1480.0, 1859.5, 1035.0, 52.5], shoonya_4sEGNMJH7LHFFK, 5695600]
[unordered-list, [1480.0, 1912.0, 1035.0, 52.5], shoonya_4sEGNMJH7LHFFK, 5695600]
[unordered-list, [1480.0, 1964.5, 1035.0, 52.5], shoonya_4sEGNMJH7LHFFK, 5695600]
[unordered-list, [1480.0, 2017.0, 1035.0, 52.5], shoonya_4sEGNMJH7LHFFK, 5695600]
[unordered-list, [2596.0, 1707.0, 1173.0, 52.5], wSEm5xoFWf, 5695600]
[unordered-list, [2596.0, 1759.5, 1173.0, 52.5], wSEm5xoFWf, 5695600]
[unordered-list, [2596.0, 1812.0, 1173.0, 52.5], wSEm5xoFWf, 5695600]
[unordered-list, [2596.0, 1864.5, 1173.0, 52.5], wSEm5xoFWf, 5695600]
[unordered-list, [2596.0, 1917.0, 1173.0, 52.5], wSEm5xoFWf, 5695600]
[unordered-list, [2596.0, 1969.5, 1173.0, 52.5], wSEm5xoFWf, 5695600]
[unordered-list, [2596.0, 2022.0, 1173.0, 52.5], wSEm5xoFWf, 5695600]
[unordered-list, [2596.0, 2074.5, 1173.0, 52.5], wSEm5xoFWf, 5695600]
[unordered-list, [2596.0, 2127.0, 1173.0, 52.5], wSEm5xoFWf, 5695600]
[folio, [1458.0, 2441.0, 1258.0, 52.5], a-5-_vj6aY, 5695600]
[folio, [1458.0, 2493.5, 1258.0, 52.5], a-5-_vj6aY, 5695600]
[folio, [1458.0, 2546.0, 1258.0, 52.5], a-5-_vj6aY, 5695600]
[folio, [1458.0, 2598.5, 1258.0, 52.5], a-5-_vj6aY, 5695600]
