[2184, 1475]
[folio, [189.0, 160.0, 184.0, 36.0], RxT7YZNh5l, 5654920]
[paragraph, [187.0, 267.0, 1168.0, 36.0], shoonya_0sLOCO3HRSDOKY, 5654920]
[paragraph, [187.0, 303.0, 1168.0, 36.0], shoonya_0sLOCO3HRSDOKY, 5654920]
[paragraph, [187.0, 339.0, 1168.0, 36.0], shoonya_0sLOCO3HRSDOKY, 5654920]
[paragraph, [187.0, 375.0, 1168.0, 36.0], shoonya_0sLOCO3HRSDOKY, 5654920]
[paragraph, [187.0, 411.0, 1168.0, 36.0], shoonya_0sLOCO3HRSDOKY, 5654920]
[paragraph, [187.0, 447.0, 1168.0, 36.0], shoonya_0sLOCO3HRSDOKY, 5654920]
[paragraph, [187.0, 483.0, 1168.0, 36.0], shoonya_0sLOCO3HRSDOKY, 5654920]
[paragraph, [187.0, 519.0, 1168.0, 36.0], shoonya_0sLOCO3HRSDOKY, 5654920]
[paragraph, [187.0, 555.0, 1168.0, 36.0], shoonya_0sLOCO3HRSDOKY, 5654920]
[paragraph, [187.0, 591.0, 1168.0, 36.0], shoonya_0sLOCO3HRSDOKY, 5654920]
[paragraph, [187.0, 627.0, 1168.0, 36.0], shoonya_0sLOCO3HRSDOKY, 5654920]
[paragraph, [187.0, 663.0, 1168.0, 36.0], shoonya_0sLOCO3HRSDOKY, 5654920]
[paragraph, [191.0, 760.0, 1163.0, 36.0], shoonya_2sBPGSTUZY32T6, 5654920]
[paragraph, [191.0, 796.0, 1163.0, 36.0], shoonya_2sBPGSTUZY32T6, 5654920]
[paragraph, [191.0, 832.0, 1163.0, 36.0], shoonya_2sBPGSTUZY32T6, 5654920]
[paragraph, [191.0, 868.0, 1163.0, 36.0], shoonya_2sBPGSTUZY32T6, 5654920]
[paragraph, [191.0, 904.0, 1163.0, 36.0], shoonya_2sBPGSTUZY32T6, 5654920]
[paragraph, [191.0, 940.0, 1163.0, 36.0], shoonya_2sBPGSTUZY32T6, 5654920]
[paragraph, [191.0, 976.0, 1163.0, 36.0], shoonya_2sBPGSTUZY32T6, 5654920]
[paragraph, [191.0, 1012.0, 1163.0, 36.0], shoonya_2sBPGSTUZY32T6, 5654920]
[paragraph, [191.0, 1048.0, 1163.0, 36.0], shoonya_2sBPGSTUZY32T6, 5654920]
[paragraph, [191.0, 1084.0, 1163.0, 36.0], shoonya_2sBPGSTUZY32T6, 5654920]
[paragraph, [192.0, 1166.0, 1163.0, 36.0], shoonya_1sP151EOVTBQ8Z, 5654920]
[paragraph, [192.0, 1202.0, 1163.0, 36.0], shoonya_1sP151EOVTBQ8Z, 5654920]
[paragraph, [192.0, 1238.0, 1163.0, 36.0], shoonya_1sP151EOVTBQ8Z, 5654920]
[paragraph, [192.0, 1274.0, 1163.0, 36.0], shoonya_1sP151EOVTBQ8Z, 5654920]
[paragraph, [192.0, 1310.0, 1163.0, 36.0], shoonya_1sP151EOVTBQ8Z, 5654920]
[paragraph, [192.0, 1346.0, 1163.0, 36.0], shoonya_1sP151EOVTBQ8Z, 5654920]
[paragraph, [192.0, 1382.0, 1163.0, 36.0], shoonya_1sP151EOVTBQ8Z, 5654920]
[paragraph, [192.0, 1418.0, 1163.0, 36.0], shoonya_1sP151EOVTBQ8Z, 5654920]
[paragraph, [192.0, 1454.0, 1163.0, 36.0], shoonya_1sP151EOVTBQ8Z, 5654920]
[paragraph, [192.0, 1490.0, 1163.0, 36.0], shoonya_1sP151EOVTBQ8Z, 5654920]
[paragraph, [192.0, 1526.0, 1163.0, 36.0], shoonya_1sP151EOVTBQ8Z, 5654920]
[paragraph, [192.0, 1562.0, 1163.0, 36.0], shoonya_1sP151EOVTBQ8Z, 5654920]
[paragraph, [192.0, 1598.0, 1163.0, 36.0], shoonya_1sP151EOVTBQ8Z, 5654920]
[paragraph, [192.0, 1634.0, 1163.0, 36.0], shoonya_1sP151EOVTBQ8Z, 5654920]
[paragraph, [196.0, 1740.0, 1157.0, 36.0], shoonya_5sSS274BKY30HL, 5654920]
[paragraph, [196.0, 1776.0, 1157.0, 36.0], shoonya_5sSS274BKY30HL, 5654920]
[paragraph, [196.0, 1812.0, 1157.0, 36.0], shoonya_5sSS274BKY30HL, 5654920]
[reference, [192.0, 1928.0, 755.0, 36.0], shoonya_3sBUOX1WEJT3AG, 5654920]
[reference, [192.0, 1964.0, 755.0, 36.0], shoonya_3sBUOX1WEJT3AG, 5654920]
[reference, [192.0, 2000.0, 755.0, 36.0], shoonya_3sBUOX1WEJT3AG, 5654920]
