[2339, 1653]
[folio, [268.0, 188.0, 235.0, 36.0], hzo4iBhZLa, 5655116]
[folio, [268.0, 224.0, 235.0, 36.0], hzo4iBhZLa, 5655116]
[paragraph, [271.0, 302.0, 1111.0, 36.0], shoonya_0sJS08SL3AVZ9Y, 5655116]
[paragraph, [271.0, 338.0, 1111.0, 36.0], shoonya_0sJS08SL3AVZ9Y, 5655116]
[paragraph, [271.0, 374.0, 1111.0, 36.0], shoonya_0sJS08SL3AVZ9Y, 5655116]
[paragraph, [271.0, 410.0, 1111.0, 36.0], shoonya_0sJS08SL3AVZ9Y, 5655116]
[paragraph, [271.0, 446.0, 1111.0, 36.0], shoonya_0sJS08SL3AVZ9Y, 5655116]
[paragraph, [271.0, 482.0, 1111.0, 36.0], shoonya_0sJS08SL3AVZ9Y, 5655116]
[paragraph, [271.0, 518.0, 1111.0, 36.0], shoonya_0sJS08SL3AVZ9Y, 5655116]
[paragraph, [271.0, 554.0, 1111.0, 36.0], shoonya_0sJS08SL3AVZ9Y, 5655116]
[paragraph, [271.0, 590.0, 1111.0, 36.0], shoonya_0sJS08SL3AVZ9Y, 5655116]
[paragraph, [271.0, 626.0, 1111.0, 36.0], shoonya_0sJS08SL3AVZ9Y, 5655116]
[paragraph, [271.0, 662.0, 1111.0, 36.0], shoonya_0sJS08SL3AVZ9Y, 5655116]
[paragraph, [271.0, 698.0, 1111.0, 36.0], shoonya_0sJS08SL3AVZ9Y, 5655116]
[paragraph, [271.0, 734.0, 1111.0, 36.0], shoonya_0sJS08SL3AVZ9Y, 5655116]
[paragraph, [271.0, 770.0, 1111.0, 36.0], shoonya_0sJS08SL3AVZ9Y, 5655116]
[paragraph, [271.0, 806.0, 1111.0, 36.0], shoonya_0sJS08SL3AVZ9Y, 5655116]
[paragraph, [271.0, 842.0, 1111.0, 36.0], shoonya_0sJS08SL3AVZ9Y, 5655116]
[paragraph, [271.0, 878.0, 1111.0, 36.0], shoonya_0sJS08SL3AVZ9Y, 5655116]
[paragraph, [272.0, 927.0, 1110.0, 36.0], shoonya_2sH7KJ8J2WD106, 5655116]
[paragraph, [272.0, 963.0, 1110.0, 36.0], shoonya_2sH7KJ8J2WD106, 5655116]
[paragraph, [272.0, 999.0, 1110.0, 36.0], shoonya_2sH7KJ8J2WD106, 5655116]
[paragraph, [272.0, 1035.0, 1110.0, 36.0], shoonya_2sH7KJ8J2WD106, 5655116]
[paragraph, [272.0, 1071.0, 1110.0, 36.0], shoonya_2sH7KJ8J2WD106, 5655116]
[paragraph, [272.0, 1107.0, 1110.0, 36.0], shoonya_2sH7KJ8J2WD106, 5655116]
[paragraph, [272.0, 1143.0, 1110.0, 36.0], shoonya_2sH7KJ8J2WD106, 5655116]
[paragraph, [272.0, 1179.0, 1110.0, 36.0], shoonya_2sH7KJ8J2WD106, 5655116]
[paragraph, [272.0, 1215.0, 1110.0, 36.0], shoonya_2sH7KJ8J2WD106, 5655116]
[paragraph, [272.0, 1251.0, 1110.0, 36.0], shoonya_2sH7KJ8J2WD106, 5655116]
[paragraph, [272.0, 1287.0, 1110.0, 36.0], shoonya_2sH7KJ8J2WD106, 5655116]
[paragraph, [272.0, 1323.0, 1110.0, 36.0], shoonya_2sH7KJ8J2WD106, 5655116]
[paragraph, [272.0, 1359.0, 1110.0, 36.0], shoonya_2sH7KJ8J2WD106, 5655116]
[paragraph, [272.0, 1395.0, 1110.0, 36.0], shoonya_2sH7KJ8J2WD106, 5655116]
[paragraph, [272.0, 1431.0, 1110.0, 36.0], shoonya_2sH7KJ8J2WD106, 5655116]
[paragraph, [272.0, 1467.0, 1110.0, 36.0], shoonya_2sH7KJ8J2WD106, 5655116]
[paragraph, [272.0, 1503.0, 1110.0, 36.0], shoonya_2sH7KJ8J2WD106, 5655116]
[paragraph, [271.0, 1557.0, 1112.0, 36.0], shoonya_1s1O0V1FHLHIY9, 5655116]
[paragraph, [271.0, 1593.0, 1112.0, 36.0], shoonya_1s1O0V1FHLHIY9, 5655116]
[paragraph, [271.0, 1629.0, 1112.0, 36.0], shoonya_1s1O0V1FHLHIY9, 5655116]
[paragraph, [271.0, 1665.0, 1112.0, 36.0], shoonya_1s1O0V1FHLHIY9, 5655116]
[paragraph, [271.0, 1701.0, 1112.0, 36.0], shoonya_1s1O0V1FHLHIY9, 5655116]
[paragraph, [271.0, 1737.0, 1112.0, 36.0], shoonya_1s1O0V1FHLHIY9, 5655116]
[paragraph, [271.0, 1773.0, 1112.0, 36.0], shoonya_1s1O0V1FHLHIY9, 5655116]
[paragraph, [271.0, 1809.0, 1112.0, 36.0], shoonya_1s1O0V1FHLHIY9, 5655116]
[paragraph, [271.0, 1845.0, 1112.0, 36.0], shoonya_1s1O0V1FHLHIY9, 5655116]
[paragraph, [271.0, 1881.0, 1112.0, 36.0], shoonya_1s1O0V1FHLHIY9, 5655116]
[paragraph, [271.0, 1917.0, 1112.0, 36.0], shoonya_1s1O0V1FHLHIY9, 5655116]
[paragraph, [271.0, 1953.0, 1112.0, 36.0], shoonya_1s1O0V1FHLHIY9, 5655116]
[paragraph, [271.0, 1989.0, 1112.0, 36.0], shoonya_1s1O0V1FHLHIY9, 5655116]
[paragraph, [271.0, 2025.0, 1112.0, 36.0], shoonya_1s1O0V1FHLHIY9, 5655116]
