[2339, 1654]
[folio, [1268.0, 82.0, 230.0, 36.0], Fo97T7ANl-, 5750640]
[paragraph, [213.0, 155.0, 1007.0, 36.0], 9rsSSV0Djl, 5750640]
[paragraph, [213.0, 191.0, 1007.0, 36.0], 9rsSSV0Djl, 5750640]
[paragraph, [217.0, 245.0, 1144.0, 36.0], shoonya_1s1KJWW4S8F8VI, 5750640]
[paragraph, [217.0, 281.0, 1144.0, 36.0], shoonya_1s1KJWW4S8F8VI, 5750640]
[paragraph, [217.0, 317.0, 1144.0, 36.0], shoonya_1s1KJWW4S8F8VI, 5750640]
[paragraph, [217.0, 353.0, 1144.0, 36.0], shoonya_1s1KJWW4S8F8VI, 5750640]
[paragraph, [217.0, 389.0, 1144.0, 36.0], shoonya_1s1KJWW4S8F8VI, 5750640]
[paragraph, [217.0, 425.0, 1144.0, 36.0], shoonya_1s1KJWW4S8F8VI, 5750640]
[paragraph, [217.0, 461.0, 1144.0, 36.0], shoonya_1s1KJWW4S8F8VI, 5750640]
[paragraph, [217.0, 497.0, 1144.0, 36.0], shoonya_1s1KJWW4S8F8VI, 5750640]
[paragraph, [217.0, 533.0, 1144.0, 36.0], shoonya_1s1KJWW4S8F8VI, 5750640]
[paragraph, [217.0, 569.0, 1144.0, 36.0], shoonya_1s1KJWW4S8F8VI, 5750640]
[paragraph, [217.0, 605.0, 1144.0, 36.0], shoonya_1s1KJWW4S8F8VI, 5750640]
[paragraph, [217.0, 641.0, 1144.0, 36.0], shoonya_1s1KJWW4S8F8VI, 5750640]
[paragraph, [217.0, 677.0, 1144.0, 36.0], shoonya_1s1KJWW4S8F8VI, 5750640]
[paragraph, [217.0, 713.0, 1144.0, 36.0], shoonya_1s1KJWW4S8F8VI, 5750640]
[paragraph, [217.0, 749.0, 1144.0, 36.0], shoonya_1s1KJWW4S8F8VI, 5750640]
[paragraph, [217.0, 785.0, 1144.0, 36.0], shoonya_1s1KJWW4S8F8VI, 5750640]
[paragraph, [217.0, 821.0, 1144.0, 36.0], shoonya_1s1KJWW4S8F8VI, 5750640]
[paragraph, [217.0, 857.0, 1144.0, 36.0], shoonya_1s1KJWW4S8F8VI, 5750640]
[paragraph, [217.0, 893.0, 1144.0, 36.0], shoonya_1s1KJWW4S8F8VI, 5750640]
[paragraph, [54.0, 1020.0, 1449.0, 36.0], shoonya_3sHSA8L47VCO5B, 5750640]
[paragraph, [54.0, 1056.0, 1449.0, 36.0], shoonya_3sHSA8L47VCO5B, 5750640]
[paragraph, [54.0, 1092.0, 1449.0, 36.0], shoonya_3sHSA8L47VCO5B, 5750640]
[paragraph, [54.0, 1128.0, 1449.0, 36.0], shoonya_3sHSA8L47VCO5B, 5750640]
[paragraph, [54.0, 1164.0, 1449.0, 36.0], shoonya_3sHSA8L47VCO5B, 5750640]
[paragraph, [54.0, 1200.0, 1449.0, 36.0], shoonya_3sHSA8L47VCO5B, 5750640]
[paragraph, [54.0, 1236.0, 1449.0, 36.0], shoonya_3sHSA8L47VCO5B, 5750640]
[paragraph, [54.0, 1272.0, 1449.0, 36.0], shoonya_3sHSA8L47VCO5B, 5750640]
[paragraph, [53.0, 1352.0, 1438.0, 36.0], shoonya_2sIEZJFP00GTYC, 5750640]
[paragraph, [53.0, 1388.0, 1438.0, 36.0], shoonya_2sIEZJFP00GTYC, 5750640]
[paragraph, [53.0, 1424.0, 1438.0, 36.0], shoonya_2sIEZJFP00GTYC, 5750640]
[paragraph, [53.0, 1460.0, 1438.0, 36.0], shoonya_2sIEZJFP00GTYC, 5750640]
[paragraph, [53.0, 1496.0, 1438.0, 36.0], shoonya_2sIEZJFP00GTYC, 5750640]
[paragraph, [53.0, 1532.0, 1438.0, 36.0], shoonya_2sIEZJFP00GTYC, 5750640]
[paragraph, [53.0, 1568.0, 1438.0, 36.0], shoonya_2sIEZJFP00GTYC, 5750640]
[paragraph, [53.0, 1604.0, 1438.0, 36.0], shoonya_2sIEZJFP00GTYC, 5750640]
[paragraph, [53.0, 1640.0, 1438.0, 36.0], shoonya_2sIEZJFP00GTYC, 5750640]
[paragraph, [53.0, 1676.0, 1438.0, 36.0], shoonya_2sIEZJFP00GTYC, 5750640]
[paragraph, [53.0, 1712.0, 1438.0, 36.0], shoonya_2sIEZJFP00GTYC, 5750640]
[paragraph, [53.0, 1748.0, 1438.0, 36.0], shoonya_2sIEZJFP00GTYC, 5750640]
[paragraph, [41.0, 1808.0, 1444.0, 36.0], shoonya_0sH5AGHP3X5ELV, 5750640]
[paragraph, [41.0, 1844.0, 1444.0, 36.0], shoonya_0sH5AGHP3X5ELV, 5750640]
[paragraph, [41.0, 1880.0, 1444.0, 36.0], shoonya_0sH5AGHP3X5ELV, 5750640]
[paragraph, [41.0, 1916.0, 1444.0, 36.0], shoonya_0sH5AGHP3X5ELV, 5750640]
[paragraph, [41.0, 1952.0, 1444.0, 36.0], shoonya_0sH5AGHP3X5ELV, 5750640]
[paragraph, [41.0, 1988.0, 1444.0, 36.0], shoonya_0sH5AGHP3X5ELV, 5750640]
[paragraph, [41.0, 2024.0, 1444.0, 36.0], shoonya_0sH5AGHP3X5ELV, 5750640]
[paragraph, [41.0, 2060.0, 1444.0, 36.0], shoonya_0sH5AGHP3X5ELV, 5750640]
[paragraph, [41.0, 2096.0, 1444.0, 36.0], shoonya_0sH5AGHP3X5ELV, 5750640]
[paragraph, [41.0, 2132.0, 1444.0, 36.0], shoonya_0sH5AGHP3X5ELV, 5750640]
[paragraph, [41.0, 2168.0, 1444.0, 36.0], shoonya_0sH5AGHP3X5ELV, 5750640]
[paragraph, [41.0, 2204.0, 1444.0, 36.0], shoonya_0sH5AGHP3X5ELV, 5750640]
[paragraph, [41.0, 2240.0, 1444.0, 36.0], shoonya_0sH5AGHP3X5ELV, 5750640]
