[792, 612]
[section-title, [195.0, 99.0, 214.0, 30.0], iNaqSMcamq, 6491711]
[paragraph, [94.0, 180.0, 425.0, 18.0], I3bdBkXJub, 6491711]
[paragraph, [94.0, 198.0, 425.0, 18.0], I3bdBkXJub, 6491711]
[paragraph, [94.0, 216.0, 425.0, 18.0], I3bdBkXJub, 6491711]
[paragraph, [94.0, 234.0, 425.0, 18.0], I3bdBkXJub, 6491711]
[paragraph, [94.0, 252.0, 425.0, 18.0], I3bdBkXJub, 6491711]
[paragraph, [94.0, 270.0, 425.0, 18.0], I3bdBkXJub, 6491711]
[paragraph, [94.0, 288.0, 425.0, 18.0], I3bdBkXJub, 6491711]
[paragraph, [94.0, 306.0, 425.0, 18.0], I3bdBkXJub, 6491711]
[paragraph, [94.0, 324.0, 425.0, 18.0], I3bdBkXJub, 6491711]
[paragraph, [94.0, 342.0, 425.0, 18.0], I3bdBkXJub, 6491711]
[paragraph, [94.0, 360.0, 425.0, 18.0], I3bdBkXJub, 6491711]
[paragraph, [94.0, 378.0, 425.0, 18.0], I3bdBkXJub, 6491711]
[paragraph, [91.0, 400.0, 412.0, 18.0], bUnRh-grl_, 6491711]
[paragraph, [91.0, 418.0, 412.0, 18.0], bUnRh-grl_, 6491711]
[paragraph, [91.0, 436.0, 412.0, 18.0], bUnRh-grl_, 6491711]
[paragraph, [91.0, 454.0, 412.0, 18.0], bUnRh-grl_, 6491711]
[paragraph, [91.0, 472.0, 412.0, 18.0], bUnRh-grl_, 6491711]
[paragraph, [91.0, 490.0, 412.0, 18.0], bUnRh-grl_, 6491711]
[paragraph, [91.0, 508.0, 412.0, 18.0], bUnRh-grl_, 6491711]
[paragraph, [91.0, 526.0, 412.0, 18.0], bUnRh-grl_, 6491711]
[paragraph, [91.0, 544.0, 412.0, 18.0], bUnRh-grl_, 6491711]
[paragraph, [91.0, 562.0, 412.0, 18.0], bUnRh-grl_, 6491711]
[paragraph, [91.0, 580.0, 412.0, 18.0], bUnRh-grl_, 6491711]
[paragraph, [96.0, 617.0, 413.0, 18.0], gkxVWmYWdJ, 6491711]
[paragraph, [96.0, 635.0, 413.0, 18.0], gkxVWmYWdJ, 6491711]
[paragraph, [96.0, 653.0, 413.0, 18.0], gkxVWmYWdJ, 6491711]
[paragraph, [96.0, 671.0, 413.0, 18.0], gkxVWmYWdJ, 6491711]
[paragraph, [96.0, 689.0, 413.0, 18.0], gkxVWmYWdJ, 6491711]
[paragraph, [96.0, 707.0, 413.0, 18.0], gkxVWmYWdJ, 6491711]
