[792, 612]
[paragraph, [123.0, 41.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 59.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 77.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 95.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 113.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 131.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 149.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 167.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 185.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 203.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 221.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 239.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 257.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 275.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 293.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 311.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 329.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 347.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 365.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 383.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 401.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 419.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 437.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 455.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 473.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 491.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 509.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 527.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 545.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 563.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 581.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 599.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 617.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[paragraph, [123.0, 635.0, 384.0, 18.0], shoonya_0sQT7UFSKI5ZJG, 5771134]
[ordered-list, [122.0, 669.0, 365.0, 18.0], MuoyjLbyF3, 5771134]
[ordered-list, [122.0, 687.0, 365.0, 18.0], MuoyjLbyF3, 5771134]
[ordered-list, [122.0, 705.0, 365.0, 18.0], MuoyjLbyF3, 5771134]
[ordered-list, [122.0, 723.0, 365.0, 18.0], MuoyjLbyF3, 5771134]
[ordered-list, [122.0, 741.0, 365.0, 18.0], MuoyjLbyF3, 5771134]
