[792, 612]
[folio, [267.0, 44.0, 71.0, 18.0], shoonya_0sAMSSIHC2DSLM, 6494246]
[paragraph, [101.0, 87.0, 414.0, 18.0], shoonya_2sKF9ULVY11V0P, 6494246]
[paragraph, [101.0, 105.0, 414.0, 18.0], shoonya_2sKF9ULVY11V0P, 6494246]
[paragraph, [101.0, 123.0, 414.0, 18.0], shoonya_2sKF9ULVY11V0P, 6494246]
[paragraph, [98.0, 153.0, 421.0, 18.0], shoonya_6s5VZC0D37A0XR, 6494246]
[paragraph, [98.0, 171.0, 421.0, 18.0], shoonya_6s5VZC0D37A0XR, 6494246]
[paragraph, [98.0, 189.0, 421.0, 18.0], shoonya_6s5VZC0D37A0XR, 6494246]
[paragraph, [98.0, 207.0, 421.0, 18.0], shoonya_6s5VZC0D37A0XR, 6494246]
[paragraph, [98.0, 225.0, 421.0, 18.0], shoonya_6s5VZC0D37A0XR, 6494246]
[paragraph, [98.0, 243.0, 421.0, 18.0], shoonya_6s5VZC0D37A0XR, 6494246]
[paragraph, [98.0, 261.0, 421.0, 18.0], shoonya_6s5VZC0D37A0XR, 6494246]
[paragraph, [98.0, 279.0, 421.0, 18.0], shoonya_6s5VZC0D37A0XR, 6494246]
[paragraph, [98.0, 297.0, 421.0, 18.0], shoonya_6s5VZC0D37A0XR, 6494246]
[paragraph, [102.0, 316.0, 413.0, 18.0], pLGxNk8M4A, 6494246]
[paragraph, [102.0, 334.0, 413.0, 18.0], pLGxNk8M4A, 6494246]
[paragraph, [102.0, 352.0, 413.0, 18.0], pLGxNk8M4A, 6494246]
[paragraph, [102.0, 370.0, 413.0, 18.0], pLGxNk8M4A, 6494246]
[paragraph, [102.0, 388.0, 413.0, 18.0], pLGxNk8M4A, 6494246]
[paragraph, [102.0, 406.0, 413.0, 18.0], pLGxNk8M4A, 6494246]
[paragraph, [99.0, 438.0, 416.0, 18.0], 3SppNVq5ow, 6494246]
[paragraph, [99.0, 456.0, 416.0, 18.0], 3SppNVq5ow, 6494246]
[paragraph, [99.0, 474.0, 416.0, 18.0], 3SppNVq5ow, 6494246]
[paragraph, [99.0, 492.0, 416.0, 18.0], 3SppNVq5ow, 6494246]
[paragraph, [99.0, 510.0, 416.0, 18.0], 3SppNVq5ow, 6494246]
[paragraph, [99.0, 528.0, 416.0, 18.0], 3SppNVq5ow, 6494246]
[paragraph, [99.0, 546.0, 416.0, 18.0], 3SppNVq5ow, 6494246]
[paragraph, [99.0, 564.0, 416.0, 18.0], 3SppNVq5ow, 6494246]
[paragraph, [98.0, 599.0, 422.0, 18.0], J4NEM4-RHU, 6494246]
[paragraph, [98.0, 617.0, 422.0, 18.0], J4NEM4-RHU, 6494246]
[paragraph, [141.0, 640.0, 335.0, 18.0], 0MNsC3wPlP, 6494246]
[paragraph, [105.0, 660.0, 409.0, 18.0], 2G3FTWfg_D, 6494246]
[paragraph, [105.0, 678.0, 409.0, 18.0], 2G3FTWfg_D, 6494246]
[paragraph, [141.0, 701.0, 249.0, 18.0], JRoO-cr9mb, 6494246]
