[789, 571]
[folio, [258.0, 45.0, 74.0, 18.0], shoonya_3sKCUKHGVILXQJ, 5701871]
[paragraph, [64.0, 84.0, 462.0, 18.0], shoonya_0s3PJZG3X554QJ, 5701871]
[paragraph, [64.0, 102.0, 462.0, 18.0], shoonya_0s3PJZG3X554QJ, 5701871]
[paragraph, [64.0, 120.0, 462.0, 18.0], shoonya_0s3PJZG3X554QJ, 5701871]
[paragraph, [64.0, 138.0, 462.0, 18.0], shoonya_0s3PJZG3X554QJ, 5701871]
[paragraph, [64.0, 156.0, 462.0, 18.0], shoonya_0s3PJZG3X554QJ, 5701871]
[paragraph, [64.0, 174.0, 462.0, 18.0], shoonya_0s3PJZG3X554QJ, 5701871]
[paragraph, [64.0, 192.0, 462.0, 18.0], shoonya_0s3PJZG3X554QJ, 5701871]
[paragraph, [64.0, 210.0, 462.0, 18.0], shoonya_0s3PJZG3X554QJ, 5701871]
[paragraph, [64.0, 228.0, 462.0, 18.0], shoonya_0s3PJZG3X554QJ, 5701871]
[paragraph, [64.0, 246.0, 462.0, 18.0], shoonya_0s3PJZG3X554QJ, 5701871]
[paragraph, [64.0, 264.0, 462.0, 18.0], shoonya_0s3PJZG3X554QJ, 5701871]
[paragraph, [64.0, 282.0, 462.0, 18.0], shoonya_0s3PJZG3X554QJ, 5701871]
[paragraph, [64.0, 300.0, 462.0, 18.0], shoonya_0s3PJZG3X554QJ, 5701871]
[paragraph, [64.0, 318.0, 462.0, 18.0], shoonya_0s3PJZG3X554QJ, 5701871]
[paragraph, [64.0, 336.0, 462.0, 18.0], shoonya_0s3PJZG3X554QJ, 5701871]
[paragraph, [64.0, 354.0, 462.0, 18.0], shoonya_0s3PJZG3X554QJ, 5701871]
[paragraph, [64.0, 372.0, 462.0, 18.0], shoonya_0s3PJZG3X554QJ, 5701871]
[paragraph, [64.0, 390.0, 462.0, 18.0], shoonya_0s3PJZG3X554QJ, 5701871]
[paragraph, [64.0, 408.0, 462.0, 18.0], shoonya_0s3PJZG3X554QJ, 5701871]
[paragraph, [64.0, 426.0, 462.0, 18.0], shoonya_0s3PJZG3X554QJ, 5701871]
[paragraph, [64.0, 444.0, 462.0, 18.0], shoonya_0s3PJZG3X554QJ, 5701871]
[paragraph, [66.0, 472.0, 458.0, 18.0], shoonya_1sZHR6HQIRSAUI, 5701871]
[paragraph, [66.0, 490.0, 458.0, 18.0], shoonya_1sZHR6HQIRSAUI, 5701871]
[paragraph, [66.0, 508.0, 458.0, 18.0], shoonya_1sZHR6HQIRSAUI, 5701871]
[paragraph, [66.0, 526.0, 458.0, 18.0], shoonya_1sZHR6HQIRSAUI, 5701871]
[paragraph, [66.0, 544.0, 458.0, 18.0], shoonya_1sZHR6HQIRSAUI, 5701871]
[paragraph, [66.0, 562.0, 458.0, 18.0], shoonya_1sZHR6HQIRSAUI, 5701871]
[paragraph, [66.0, 580.0, 458.0, 18.0], shoonya_1sZHR6HQIRSAUI, 5701871]
[paragraph, [66.0, 598.0, 458.0, 18.0], shoonya_1sZHR6HQIRSAUI, 5701871]
[paragraph, [66.0, 616.0, 458.0, 18.0], shoonya_1sZHR6HQIRSAUI, 5701871]
[paragraph, [66.0, 634.0, 458.0, 18.0], shoonya_1sZHR6HQIRSAUI, 5701871]
[paragraph, [66.0, 652.0, 458.0, 18.0], shoonya_1sZHR6HQIRSAUI, 5701871]
[paragraph, [66.0, 670.0, 458.0, 18.0], shoonya_1sZHR6HQIRSAUI, 5701871]
[paragraph, [66.0, 688.0, 458.0, 18.0], shoonya_1sZHR6HQIRSAUI, 5701871]
[paragraph, [66.0, 706.0, 458.0, 18.0], shoonya_1sZHR6HQIRSAUI, 5701871]
