[1862, 1450]
[folio, [1119.0, 162.0, 137.0, 36.0], shoonya_9s3QNQMXS26C9D, 5771321]
[paragraph, [731.0, 208.0, 524.0, 36.0], shoonya_2sQWR6TS0W7RZL, 5771321]
[paragraph, [731.0, 244.0, 524.0, 36.0], shoonya_2sQWR6TS0W7RZL, 5771321]
[paragraph, [731.0, 280.0, 524.0, 36.0], shoonya_2sQWR6TS0W7RZL, 5771321]
[paragraph, [731.0, 316.0, 524.0, 36.0], shoonya_2sQWR6TS0W7RZL, 5771321]
[paragraph, [731.0, 352.0, 524.0, 36.0], shoonya_2sQWR6TS0W7RZL, 5771321]
[paragraph, [731.0, 388.0, 524.0, 36.0], shoonya_2sQWR6TS0W7RZL, 5771321]
[paragraph, [731.0, 424.0, 524.0, 36.0], shoonya_2sQWR6TS0W7RZL, 5771321]
[paragraph, [731.0, 460.0, 524.0, 36.0], shoonya_2sQWR6TS0W7RZL, 5771321]
[paragraph, [731.0, 496.0, 524.0, 36.0], shoonya_2sQWR6TS0W7RZL, 5771321]
[paragraph, [731.0, 532.0, 524.0, 36.0], shoonya_2sQWR6TS0W7RZL, 5771321]
[paragraph, [731.0, 568.0, 524.0, 36.0], shoonya_2sQWR6TS0W7RZL, 5771321]
[paragraph, [731.0, 604.0, 524.0, 36.0], shoonya_2sQWR6TS0W7RZL, 5771321]
[paragraph, [731.0, 640.0, 524.0, 36.0], shoonya_2sQWR6TS0W7RZL, 5771321]
[paragraph, [192.0, 211.0, 524.0, 36.0], shoonya_5sSR4AKQRFU16G, 5771321]
[paragraph, [192.0, 247.0, 524.0, 36.0], shoonya_5sSR4AKQRFU16G, 5771321]
[paragraph, [192.0, 283.0, 524.0, 36.0], shoonya_5sSR4AKQRFU16G, 5771321]
[paragraph, [192.0, 319.0, 524.0, 36.0], shoonya_5sSR4AKQRFU16G, 5771321]
[paragraph, [192.0, 355.0, 524.0, 36.0], shoonya_5sSR4AKQRFU16G, 5771321]
[paragraph, [190.0, 398.0, 524.0, 36.0], shoonya_0sX5XP4C9TSR1C, 5771321]
[paragraph, [190.0, 434.0, 524.0, 36.0], shoonya_0sX5XP4C9TSR1C, 5771321]
[paragraph, [190.0, 470.0, 524.0, 36.0], shoonya_0sX5XP4C9TSR1C, 5771321]
[paragraph, [190.0, 506.0, 524.0, 36.0], shoonya_0sX5XP4C9TSR1C, 5771321]
[paragraph, [190.0, 542.0, 524.0, 36.0], shoonya_0sX5XP4C9TSR1C, 5771321]
[paragraph, [190.0, 578.0, 524.0, 36.0], shoonya_0sX5XP4C9TSR1C, 5771321]
[paragraph, [190.0, 614.0, 524.0, 36.0], shoonya_0sX5XP4C9TSR1C, 5771321]
[paragraph, [190.0, 650.0, 524.0, 36.0], shoonya_0sX5XP4C9TSR1C, 5771321]
[paragraph, [190.0, 686.0, 524.0, 36.0], shoonya_0sX5XP4C9TSR1C, 5771321]
[paragraph, [190.0, 722.0, 524.0, 36.0], shoonya_0sX5XP4C9TSR1C, 5771321]
[paragraph, [190.0, 758.0, 524.0, 36.0], shoonya_0sX5XP4C9TSR1C, 5771321]
[paragraph, [190.0, 794.0, 524.0, 36.0], shoonya_0sX5XP4C9TSR1C, 5771321]
[paragraph, [190.0, 830.0, 524.0, 36.0], shoonya_0sX5XP4C9TSR1C, 5771321]
[paragraph, [190.0, 866.0, 524.0, 36.0], shoonya_0sX5XP4C9TSR1C, 5771321]
[paragraph, [190.0, 902.0, 524.0, 36.0], shoonya_0sX5XP4C9TSR1C, 5771321]
[paragraph, [190.0, 938.0, 524.0, 36.0], shoonya_0sX5XP4C9TSR1C, 5771321]
[paragraph, [190.0, 974.0, 524.0, 36.0], shoonya_0sX5XP4C9TSR1C, 5771321]
[paragraph, [190.0, 1010.0, 524.0, 36.0], shoonya_0sX5XP4C9TSR1C, 5771321]
[paragraph, [731.0, 683.0, 525.0, 36.0], shoonya_3s5XJWOIVJTSQM, 5771321]
[paragraph, [731.0, 719.0, 525.0, 36.0], shoonya_3s5XJWOIVJTSQM, 5771321]
[paragraph, [731.0, 755.0, 525.0, 36.0], shoonya_3s5XJWOIVJTSQM, 5771321]
[paragraph, [731.0, 791.0, 525.0, 36.0], shoonya_3s5XJWOIVJTSQM, 5771321]
[paragraph, [731.0, 827.0, 525.0, 36.0], shoonya_3s5XJWOIVJTSQM, 5771321]
[paragraph, [731.0, 863.0, 525.0, 36.0], shoonya_3s5XJWOIVJTSQM, 5771321]
[paragraph, [731.0, 899.0, 525.0, 36.0], shoonya_3s5XJWOIVJTSQM, 5771321]
[paragraph, [731.0, 935.0, 525.0, 36.0], shoonya_3s5XJWOIVJTSQM, 5771321]
[paragraph, [731.0, 971.0, 525.0, 36.0], shoonya_3s5XJWOIVJTSQM, 5771321]
[paragraph, [731.0, 1007.0, 525.0, 36.0], shoonya_3s5XJWOIVJTSQM, 5771321]
[paragraph, [731.0, 1054.0, 524.0, 36.0], shoonya_4sSGWRT5HB3GMT, 5771321]
[paragraph, [731.0, 1090.0, 524.0, 36.0], shoonya_4sSGWRT5HB3GMT, 5771321]
[paragraph, [731.0, 1126.0, 524.0, 36.0], shoonya_4sSGWRT5HB3GMT, 5771321]
[paragraph, [731.0, 1162.0, 524.0, 36.0], shoonya_4sSGWRT5HB3GMT, 5771321]
[paragraph, [731.0, 1198.0, 524.0, 36.0], shoonya_4sSGWRT5HB3GMT, 5771321]
[paragraph, [731.0, 1234.0, 524.0, 36.0], shoonya_4sSGWRT5HB3GMT, 5771321]
[paragraph, [731.0, 1270.0, 524.0, 36.0], shoonya_4sSGWRT5HB3GMT, 5771321]
[paragraph, [731.0, 1306.0, 524.0, 36.0], shoonya_4sSGWRT5HB3GMT, 5771321]
[paragraph, [731.0, 1342.0, 524.0, 36.0], shoonya_4sSGWRT5HB3GMT, 5771321]
[paragraph, [731.0, 1378.0, 524.0, 36.0], shoonya_4sSGWRT5HB3GMT, 5771321]
