[515, 727]
[paragraph, [419.0, 39.0, 257.0, 18.0], Nqa2-zTNBS, 6533582]
[paragraph, [419.0, 57.0, 257.0, 18.0], Nqa2-zTNBS, 6533582]
[paragraph, [419.0, 75.0, 257.0, 18.0], Nqa2-zTNBS, 6533582]
[paragraph, [419.0, 93.0, 257.0, 18.0], Nqa2-zTNBS, 6533582]
[paragraph, [419.0, 111.0, 257.0, 18.0], Nqa2-zTNBS, 6533582]
[paragraph, [419.0, 129.0, 257.0, 18.0], Nqa2-zTNBS, 6533582]
[paragraph, [419.0, 147.0, 257.0, 18.0], Nqa2-zTNBS, 6533582]
[paragraph, [419.0, 165.0, 257.0, 18.0], Nqa2-zTNBS, 6533582]
[paragraph, [419.0, 183.0, 257.0, 18.0], Nqa2-zTNBS, 6533582]
[paragraph, [116.0, 54.0, 261.0, 18.0], shoonya_0sIMRMCIJM0G58, 6533582]
[paragraph, [116.0, 72.0, 261.0, 18.0], shoonya_0sIMRMCIJM0G58, 6533582]
[paragraph, [116.0, 90.0, 261.0, 18.0], shoonya_0sIMRMCIJM0G58, 6533582]
[paragraph, [116.0, 108.0, 261.0, 18.0], shoonya_0sIMRMCIJM0G58, 6533582]
[paragraph, [116.0, 126.0, 261.0, 18.0], shoonya_0sIMRMCIJM0G58, 6533582]
[paragraph, [116.0, 144.0, 261.0, 18.0], shoonya_0sIMRMCIJM0G58, 6533582]
[paragraph, [116.0, 162.0, 261.0, 18.0], shoonya_0sIMRMCIJM0G58, 6533582]
[paragraph, [116.0, 180.0, 261.0, 18.0], shoonya_0sIMRMCIJM0G58, 6533582]
[paragraph, [116.0, 198.0, 261.0, 18.0], shoonya_0sIMRMCIJM0G58, 6533582]
[paragraph, [116.0, 216.0, 261.0, 18.0], shoonya_0sIMRMCIJM0G58, 6533582]
[paragraph, [116.0, 234.0, 261.0, 18.0], shoonya_0sIMRMCIJM0G58, 6533582]
[paragraph, [116.0, 252.0, 261.0, 18.0], shoonya_0sIMRMCIJM0G58, 6533582]
[paragraph, [116.0, 270.0, 261.0, 18.0], shoonya_0sIMRMCIJM0G58, 6533582]
[paragraph, [116.0, 288.0, 261.0, 18.0], shoonya_0sIMRMCIJM0G58, 6533582]
[paragraph, [116.0, 306.0, 261.0, 18.0], shoonya_0sIMRMCIJM0G58, 6533582]
[paragraph, [116.0, 324.0, 261.0, 18.0], shoonya_0sIMRMCIJM0G58, 6533582]
[paragraph, [116.0, 342.0, 261.0, 18.0], shoonya_0sIMRMCIJM0G58, 6533582]
[paragraph, [116.0, 360.0, 261.0, 18.0], shoonya_0sIMRMCIJM0G58, 6533582]
[paragraph, [116.0, 378.0, 261.0, 18.0], shoonya_0sIMRMCIJM0G58, 6533582]
[paragraph, [116.0, 396.0, 261.0, 18.0], shoonya_0sIMRMCIJM0G58, 6533582]
[paragraph, [415.0, 209.0, 263.0, 18.0], ALGV4jd12T, 6533582]
[paragraph, [415.0, 227.0, 263.0, 18.0], ALGV4jd12T, 6533582]
[paragraph, [415.0, 245.0, 263.0, 18.0], ALGV4jd12T, 6533582]
[paragraph, [415.0, 263.0, 263.0, 18.0], ALGV4jd12T, 6533582]
[paragraph, [415.0, 281.0, 263.0, 18.0], ALGV4jd12T, 6533582]
[paragraph, [415.0, 299.0, 263.0, 18.0], ALGV4jd12T, 6533582]
[paragraph, [415.0, 317.0, 263.0, 18.0], ALGV4jd12T, 6533582]
[paragraph, [415.0, 335.0, 263.0, 18.0], ALGV4jd12T, 6533582]
[paragraph, [415.0, 353.0, 263.0, 18.0], ALGV4jd12T, 6533582]
[paragraph, [415.0, 371.0, 263.0, 18.0], ALGV4jd12T, 6533582]
[paragraph, [415.0, 389.0, 263.0, 18.0], ALGV4jd12T, 6533582]
[folio, [401.0, 408.0, 66.0, 18.0], kQg4FtMG9W, 6533582]
[folio, [321.0, 424.0, 68.0, 18.0], fZNXpq98Fd, 6533582]
