[1372, 849]
[section-title, [347.0, 68.0, 144.0, 30.0], shoonya_1sHGZMTJZWSYNB, 5709726]
[paragraph, [64.0, 130.0, 709.0, 18.0], shoonya_2sT4FLNNXFDIAC, 5709726]
[paragraph, [64.0, 148.0, 709.0, 18.0], shoonya_2sT4FLNNXFDIAC, 5709726]
[paragraph, [64.0, 166.0, 709.0, 18.0], shoonya_2sT4FLNNXFDIAC, 5709726]
[paragraph, [64.0, 184.0, 709.0, 18.0], shoonya_2sT4FLNNXFDIAC, 5709726]
[paragraph, [60.0, 217.0, 717.0, 18.0], s8tgWyO-p3, 5709726]
[paragraph, [60.0, 235.0, 717.0, 18.0], s8tgWyO-p3, 5709726]
[paragraph, [60.0, 253.0, 717.0, 18.0], s8tgWyO-p3, 5709726]
[paragraph, [60.0, 271.0, 717.0, 18.0], s8tgWyO-p3, 5709726]
[paragraph, [60.0, 289.0, 717.0, 18.0], s8tgWyO-p3, 5709726]
[paragraph, [60.0, 307.0, 717.0, 18.0], s8tgWyO-p3, 5709726]
[paragraph, [60.0, 325.0, 717.0, 18.0], s8tgWyO-p3, 5709726]
[paragraph, [60.0, 343.0, 717.0, 18.0], s8tgWyO-p3, 5709726]
[paragraph, [60.0, 361.0, 717.0, 18.0], s8tgWyO-p3, 5709726]
[paragraph, [60.0, 379.0, 717.0, 18.0], s8tgWyO-p3, 5709726]
[paragraph, [60.0, 397.0, 717.0, 18.0], s8tgWyO-p3, 5709726]
[paragraph, [60.0, 415.0, 717.0, 18.0], s8tgWyO-p3, 5709726]
[paragraph, [60.0, 433.0, 717.0, 18.0], s8tgWyO-p3, 5709726]
[paragraph, [60.0, 451.0, 717.0, 18.0], s8tgWyO-p3, 5709726]
[paragraph, [60.0, 469.0, 717.0, 18.0], s8tgWyO-p3, 5709726]
[paragraph, [60.0, 487.0, 717.0, 18.0], s8tgWyO-p3, 5709726]
[paragraph, [60.0, 505.0, 717.0, 18.0], s8tgWyO-p3, 5709726]
[paragraph, [60.0, 523.0, 717.0, 18.0], s8tgWyO-p3, 5709726]
[paragraph, [60.0, 541.0, 717.0, 18.0], s8tgWyO-p3, 5709726]
[paragraph, [60.0, 559.0, 717.0, 18.0], s8tgWyO-p3, 5709726]
[paragraph, [59.0, 595.0, 722.0, 18.0], shoonya_0sPJGXU75CPM9D, 5709726]
[paragraph, [59.0, 613.0, 722.0, 18.0], shoonya_0sPJGXU75CPM9D, 5709726]
