[872, 605]
[folio, [39.0, 37.0, 93.0, 18.0], Xc5hAySX2_, 6457379]
[paragraph, [37.0, 77.0, 268.0, 18.0], shoonya_0sEFHBFTZIXHSV, 6457379]
[paragraph, [37.0, 95.0, 268.0, 18.0], shoonya_0sEFHBFTZIXHSV, 6457379]
[paragraph, [37.0, 113.0, 268.0, 18.0], shoonya_0sEFHBFTZIXHSV, 6457379]
[paragraph, [37.0, 131.0, 268.0, 18.0], shoonya_0sEFHBFTZIXHSV, 6457379]
[paragraph, [37.0, 149.0, 268.0, 18.0], shoonya_0sEFHBFTZIXHSV, 6457379]
[paragraph, [37.0, 167.0, 268.0, 18.0], shoonya_0sEFHBFTZIXHSV, 6457379]
[paragraph, [37.0, 185.0, 268.0, 18.0], shoonya_0sEFHBFTZIXHSV, 6457379]
[paragraph, [37.0, 203.0, 268.0, 18.0], shoonya_0sEFHBFTZIXHSV, 6457379]
[paragraph, [307.0, 78.0, 263.0, 18.0], y1pSieXSVN, 6457379]
[paragraph, [307.0, 96.0, 263.0, 18.0], y1pSieXSVN, 6457379]
[paragraph, [307.0, 114.0, 263.0, 18.0], y1pSieXSVN, 6457379]
[paragraph, [307.0, 132.0, 263.0, 18.0], y1pSieXSVN, 6457379]
[paragraph, [307.0, 150.0, 263.0, 18.0], y1pSieXSVN, 6457379]
[paragraph, [307.0, 168.0, 263.0, 18.0], y1pSieXSVN, 6457379]
[paragraph, [307.0, 186.0, 263.0, 18.0], y1pSieXSVN, 6457379]
[paragraph, [313.0, 203.0, 242.0, 18.0], SOvf9CvXNH, 6457379]
[paragraph, [313.0, 221.0, 242.0, 18.0], SOvf9CvXNH, 6457379]
[paragraph, [313.0, 239.0, 242.0, 18.0], SOvf9CvXNH, 6457379]
[paragraph, [38.0, 235.0, 268.0, 18.0], j0WACK-r41, 6457379]
[paragraph, [38.0, 253.0, 268.0, 18.0], j0WACK-r41, 6457379]
[paragraph, [39.0, 275.0, 266.0, 18.0], 0gnvcI_aei, 6457379]
[paragraph, [39.0, 293.0, 266.0, 18.0], 0gnvcI_aei, 6457379]
[paragraph, [304.0, 280.0, 262.0, 18.0], m1qn4PXDLX, 6457379]
[paragraph, [304.0, 298.0, 262.0, 18.0], m1qn4PXDLX, 6457379]
[paragraph, [304.0, 316.0, 262.0, 18.0], m1qn4PXDLX, 6457379]
[paragraph, [38.0, 314.0, 266.0, 18.0], bjkspFL6gi, 6457379]
[paragraph, [38.0, 332.0, 266.0, 18.0], bjkspFL6gi, 6457379]
[paragraph, [317.0, 337.0, 170.0, 18.0], 3G7_qIHrcn, 6457379]
[paragraph, [38.0, 347.0, 266.0, 18.0], X2qdVXHnUt, 6457379]
[paragraph, [38.0, 365.0, 266.0, 18.0], X2qdVXHnUt, 6457379]
[paragraph, [318.0, 356.0, 175.0, 18.0], XJXzJGiQwM, 6457379]
[paragraph, [304.0, 373.0, 261.0, 18.0], hAv_I3X9Np, 6457379]
[paragraph, [304.0, 391.0, 261.0, 18.0], hAv_I3X9Np, 6457379]
[paragraph, [304.0, 409.0, 261.0, 18.0], hAv_I3X9Np, 6457379]
[paragraph, [39.0, 385.0, 240.0, 18.0], JJZspyvfO2, 6457379]
[paragraph, [39.0, 403.0, 240.0, 18.0], JJZspyvfO2, 6457379]
[paragraph, [38.0, 420.0, 263.0, 18.0], L_O_4sb9hU, 6457379]
[paragraph, [38.0, 438.0, 263.0, 18.0], L_O_4sb9hU, 6457379]
[paragraph, [38.0, 456.0, 263.0, 18.0], L_O_4sb9hU, 6457379]
[paragraph, [315.0, 424.0, 226.0, 18.0], O7obBtcmOD, 6457379]
[paragraph, [303.0, 446.0, 263.0, 18.0], s2CXM43IBO, 6457379]
[paragraph, [303.0, 464.0, 263.0, 18.0], s2CXM43IBO, 6457379]
[paragraph, [303.0, 482.0, 263.0, 18.0], s2CXM43IBO, 6457379]
[paragraph, [318.0, 499.0, 153.0, 18.0], MjaPYx1B4d, 6457379]
[paragraph, [38.0, 504.0, 266.0, 18.0], CHWL-RTjiZ, 6457379]
[paragraph, [38.0, 522.0, 266.0, 18.0], CHWL-RTjiZ, 6457379]
[paragraph, [38.0, 540.0, 266.0, 18.0], CHWL-RTjiZ, 6457379]
[paragraph, [38.0, 558.0, 266.0, 18.0], CHWL-RTjiZ, 6457379]
[paragraph, [38.0, 576.0, 266.0, 18.0], CHWL-RTjiZ, 6457379]
[paragraph, [38.0, 594.0, 266.0, 18.0], CHWL-RTjiZ, 6457379]
[paragraph, [38.0, 612.0, 266.0, 18.0], CHWL-RTjiZ, 6457379]
[paragraph, [38.0, 630.0, 266.0, 18.0], CHWL-RTjiZ, 6457379]
[paragraph, [38.0, 648.0, 266.0, 18.0], CHWL-RTjiZ, 6457379]
[paragraph, [38.0, 666.0, 266.0, 18.0], CHWL-RTjiZ, 6457379]
[paragraph, [38.0, 684.0, 266.0, 18.0], CHWL-RTjiZ, 6457379]
[paragraph, [38.0, 702.0, 266.0, 18.0], CHWL-RTjiZ, 6457379]
[paragraph, [316.0, 518.0, 213.0, 18.0], 4lajD_jqDH, 6457379]
[paragraph, [303.0, 536.0, 268.0, 18.0], bvrrI1vCVA, 6457379]
[paragraph, [303.0, 554.0, 268.0, 18.0], bvrrI1vCVA, 6457379]
[paragraph, [303.0, 572.0, 268.0, 18.0], bvrrI1vCVA, 6457379]
[paragraph, [303.0, 590.0, 268.0, 18.0], bvrrI1vCVA, 6457379]
[paragraph, [303.0, 608.0, 268.0, 18.0], bvrrI1vCVA, 6457379]
[paragraph, [303.0, 626.0, 268.0, 18.0], bvrrI1vCVA, 6457379]
[paragraph, [303.0, 644.0, 268.0, 18.0], bvrrI1vCVA, 6457379]
[paragraph, [303.0, 662.0, 268.0, 18.0], bvrrI1vCVA, 6457379]
[paragraph, [303.0, 680.0, 268.0, 18.0], bvrrI1vCVA, 6457379]
[reference, [303.0, 700.0, 266.0, 18.0], WJ3tyAqqe2, 6457379]
[reference, [303.0, 718.0, 266.0, 18.0], WJ3tyAqqe2, 6457379]
[reference, [303.0, 736.0, 266.0, 18.0], WJ3tyAqqe2, 6457379]
[reference, [303.0, 754.0, 266.0, 18.0], WJ3tyAqqe2, 6457379]
[reference, [303.0, 772.0, 266.0, 18.0], WJ3tyAqqe2, 6457379]
[reference, [303.0, 790.0, 266.0, 18.0], WJ3tyAqqe2, 6457379]
[reference, [303.0, 808.0, 266.0, 18.0], WJ3tyAqqe2, 6457379]
[reference, [37.0, 720.0, 265.0, 18.0], eKJcUyr_hq, 6457379]
[reference, [37.0, 738.0, 265.0, 18.0], eKJcUyr_hq, 6457379]
[reference, [37.0, 756.0, 265.0, 18.0], eKJcUyr_hq, 6457379]
[reference, [37.0, 774.0, 265.0, 18.0], eKJcUyr_hq, 6457379]
[reference, [37.0, 792.0, 265.0, 18.0], eKJcUyr_hq, 6457379]
[reference, [37.0, 810.0, 265.0, 18.0], eKJcUyr_hq, 6457379]
