[2200, 1700]
[paragraph, [234.0, 91.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 127.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 163.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 199.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 235.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 271.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 307.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 343.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 379.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 415.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 451.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 487.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 523.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 559.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 595.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 631.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 667.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 703.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 739.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 775.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 811.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 847.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 883.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 919.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 955.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 991.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 1027.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 1063.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 1099.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 1135.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 1171.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 1207.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 1243.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 1279.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 1315.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 1351.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 1387.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 1423.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 1459.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[paragraph, [234.0, 1495.0, 1123.0, 36.0], shoonya_0sA9YQS7LPNG59, 5731586]
[footnote, [237.0, 1550.0, 1092.0, 36.0], shoonya_1s59QIYRH0P678, 5731586]
[footnote, [237.0, 1586.0, 1092.0, 36.0], shoonya_1s59QIYRH0P678, 5731586]
[footnote, [237.0, 1622.0, 1092.0, 36.0], shoonya_1s59QIYRH0P678, 5731586]
[footnote, [237.0, 1658.0, 1092.0, 36.0], shoonya_1s59QIYRH0P678, 5731586]
[footnote, [237.0, 1694.0, 1092.0, 36.0], shoonya_1s59QIYRH0P678, 5731586]
[footnote, [237.0, 1730.0, 1092.0, 36.0], shoonya_1s59QIYRH0P678, 5731586]
[footnote, [237.0, 1766.0, 1092.0, 36.0], shoonya_1s59QIYRH0P678, 5731586]
[footnote, [237.0, 1802.0, 1092.0, 36.0], shoonya_1s59QIYRH0P678, 5731586]
[footnote, [237.0, 1838.0, 1092.0, 36.0], shoonya_1s59QIYRH0P678, 5731586]
[footnote, [237.0, 1874.0, 1092.0, 36.0], shoonya_1s59QIYRH0P678, 5731586]
[footnote, [237.0, 1910.0, 1092.0, 36.0], shoonya_1s59QIYRH0P678, 5731586]
[folio, [241.0, 2040.0, 354.0, 36.0], QySlNDCrJN, 5731586]
[folio, [241.0, 2076.0, 354.0, 36.0], QySlNDCrJN, 5731586]
