[944, 621]
[paragraph, [15.0, 78.0, 578.0, 18.0], shoonya_0s21OXMTOVR8Z5, 5774317]
[paragraph, [15.0, 96.0, 578.0, 18.0], shoonya_0s21OXMTOVR8Z5, 5774317]
[paragraph, [15.0, 114.0, 578.0, 18.0], shoonya_0s21OXMTOVR8Z5, 5774317]
[paragraph, [15.0, 132.0, 578.0, 18.0], shoonya_0s21OXMTOVR8Z5, 5774317]
[paragraph, [15.0, 150.0, 578.0, 18.0], shoonya_0s21OXMTOVR8Z5, 5774317]
[paragraph, [15.0, 168.0, 578.0, 18.0], shoonya_0s21OXMTOVR8Z5, 5774317]
[ordered-list, [8.0, 200.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 218.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 236.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 254.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 272.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 290.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 308.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 326.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 344.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 362.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 380.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 398.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 416.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 434.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 452.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 470.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 488.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 506.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 524.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 542.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 560.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 578.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 596.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 614.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 632.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 650.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 668.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 686.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 704.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 722.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 740.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 758.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 776.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 794.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 812.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 830.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 848.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 866.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 884.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
[ordered-list, [8.0, 902.0, 588.0, 18.0], n9hMCI8wzn, 5774317]
