[1275, 750]
[folio, [227.0, 84.0, 304.0, 18.0], shoonya_2s0Q8RTMVHDRGG, 5767782]
[folio, [227.0, 102.0, 304.0, 18.0], shoonya_2s0Q8RTMVHDRGG, 5767782]
[folio, [227.0, 120.0, 304.0, 18.0], shoonya_2s0Q8RTMVHDRGG, 5767782]
[paragraph, [80.0, 161.0, 596.0, 18.0], shoonya_3sBHIL8BAOO6MV, 5767782]
[paragraph, [80.0, 179.0, 596.0, 18.0], shoonya_3sBHIL8BAOO6MV, 5767782]
[paragraph, [80.0, 197.0, 596.0, 18.0], shoonya_3sBHIL8BAOO6MV, 5767782]
[paragraph, [80.0, 215.0, 596.0, 18.0], shoonya_3sBHIL8BAOO6MV, 5767782]
[paragraph, [80.0, 233.0, 596.0, 18.0], shoonya_3sBHIL8BAOO6MV, 5767782]
[paragraph, [80.0, 251.0, 596.0, 18.0], shoonya_3sBHIL8BAOO6MV, 5767782]
[paragraph, [80.0, 269.0, 596.0, 18.0], shoonya_3sBHIL8BAOO6MV, 5767782]
[paragraph, [80.0, 287.0, 596.0, 18.0], shoonya_3sBHIL8BAOO6MV, 5767782]
[paragraph, [80.0, 305.0, 596.0, 18.0], shoonya_3sBHIL8BAOO6MV, 5767782]
[paragraph, [80.0, 323.0, 596.0, 18.0], shoonya_3sBHIL8BAOO6MV, 5767782]
[paragraph, [80.0, 341.0, 596.0, 18.0], shoonya_3sBHIL8BAOO6MV, 5767782]
[paragraph, [80.0, 359.0, 596.0, 18.0], shoonya_3sBHIL8BAOO6MV, 5767782]
[paragraph, [80.0, 377.0, 596.0, 18.0], shoonya_3sBHIL8BAOO6MV, 5767782]
[paragraph, [80.0, 395.0, 596.0, 18.0], shoonya_3sBHIL8BAOO6MV, 5767782]
[paragraph, [80.0, 413.0, 596.0, 18.0], shoonya_3sBHIL8BAOO6MV, 5767782]
[paragraph, [80.0, 431.0, 596.0, 18.0], shoonya_3sBHIL8BAOO6MV, 5767782]
[paragraph, [80.0, 449.0, 596.0, 18.0], shoonya_3sBHIL8BAOO6MV, 5767782]
[paragraph, [80.0, 467.0, 596.0, 18.0], shoonya_3sBHIL8BAOO6MV, 5767782]
[paragraph, [80.0, 485.0, 596.0, 18.0], shoonya_3sBHIL8BAOO6MV, 5767782]
[paragraph, [80.0, 503.0, 596.0, 18.0], shoonya_3sBHIL8BAOO6MV, 5767782]
[paragraph, [80.0, 521.0, 596.0, 18.0], shoonya_3sBHIL8BAOO6MV, 5767782]
[paragraph, [80.0, 539.0, 596.0, 18.0], shoonya_3sBHIL8BAOO6MV, 5767782]
[paragraph, [65.0, 570.0, 624.0, 18.0], shoonya_1sTH1H6EZ35B5Z, 5767782]
[paragraph, [65.0, 588.0, 624.0, 18.0], shoonya_1sTH1H6EZ35B5Z, 5767782]
[paragraph, [65.0, 606.0, 624.0, 18.0], shoonya_1sTH1H6EZ35B5Z, 5767782]
[paragraph, [65.0, 624.0, 624.0, 18.0], shoonya_1sTH1H6EZ35B5Z, 5767782]
[paragraph, [65.0, 642.0, 624.0, 18.0], shoonya_1sTH1H6EZ35B5Z, 5767782]
[paragraph, [65.0, 660.0, 624.0, 18.0], shoonya_1sTH1H6EZ35B5Z, 5767782]
[paragraph, [65.0, 678.0, 624.0, 18.0], shoonya_1sTH1H6EZ35B5Z, 5767782]
[paragraph, [65.0, 696.0, 624.0, 18.0], shoonya_1sTH1H6EZ35B5Z, 5767782]
[paragraph, [65.0, 714.0, 624.0, 18.0], shoonya_1sTH1H6EZ35B5Z, 5767782]
[paragraph, [65.0, 732.0, 624.0, 18.0], shoonya_1sTH1H6EZ35B5Z, 5767782]
[paragraph, [65.0, 750.0, 624.0, 18.0], shoonya_1sTH1H6EZ35B5Z, 5767782]
[paragraph, [65.0, 768.0, 624.0, 18.0], shoonya_1sTH1H6EZ35B5Z, 5767782]
[paragraph, [65.0, 786.0, 624.0, 18.0], shoonya_1sTH1H6EZ35B5Z, 5767782]
[paragraph, [65.0, 804.0, 624.0, 18.0], shoonya_1sTH1H6EZ35B5Z, 5767782]
