[2200, 1700]
[paragraph, [305.0, 91.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 127.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 163.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 199.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 235.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 271.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 307.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 343.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 379.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 415.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 451.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 487.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 523.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 559.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 595.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 631.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 667.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 703.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 739.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 775.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 811.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 847.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 883.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 919.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 955.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 991.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 1027.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 1063.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 1099.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 1135.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 1171.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 1207.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 1243.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 1279.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 1315.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 1351.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 1387.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 1423.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 1459.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 1495.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 1531.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 1567.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [305.0, 1603.0, 1103.0, 36.0], shoonya_1sA51KKH80BATE, 5731031]
[paragraph, [309.0, 1680.0, 1082.0, 36.0], shoonya_0sXSODUYF34P9M, 5731031]
[paragraph, [309.0, 1716.0, 1082.0, 36.0], shoonya_0sXSODUYF34P9M, 5731031]
[paragraph, [309.0, 1752.0, 1082.0, 36.0], shoonya_0sXSODUYF34P9M, 5731031]
[paragraph, [309.0, 1788.0, 1082.0, 36.0], shoonya_0sXSODUYF34P9M, 5731031]
[paragraph, [309.0, 1824.0, 1082.0, 36.0], shoonya_0sXSODUYF34P9M, 5731031]
[paragraph, [309.0, 1860.0, 1082.0, 36.0], shoonya_0sXSODUYF34P9M, 5731031]
[paragraph, [309.0, 1896.0, 1082.0, 36.0], shoonya_0sXSODUYF34P9M, 5731031]
[paragraph, [309.0, 1932.0, 1082.0, 36.0], shoonya_0sXSODUYF34P9M, 5731031]
[folio, [819.0, 2040.0, 490.0, 36.0], 4k-DYfPnSO, 5731031]
