[1008, 612]
[ordered-list, [40.0, 67.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 85.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 103.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 121.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 139.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 157.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 175.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 193.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 211.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 229.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 247.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 265.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 283.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 301.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 319.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 337.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 355.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 373.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 391.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 409.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 427.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 445.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 463.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 481.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 499.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 517.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 535.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 553.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 571.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 589.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 607.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 625.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 643.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 661.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 679.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
[ordered-list, [40.0, 697.0, 556.0, 18.0], shoonya_0sJ2XNOQYCHOUN, 5717781]
