[2481, 1654]
[folio, [1184.0, 93.0, 128.0, 36.0], s6EKEMj-RI, 5721371]
[folio, [1184.0, 129.0, 128.0, 36.0], s6EKEMj-RI, 5721371]
[paragraph, [144.0, 208.0, 1314.0, 36.0], eFyIGdOCWn, 5721371]
[paragraph, [144.0, 244.0, 1314.0, 36.0], eFyIGdOCWn, 5721371]
[paragraph, [144.0, 280.0, 1314.0, 36.0], eFyIGdOCWn, 5721371]
[paragraph, [144.0, 316.0, 1314.0, 36.0], eFyIGdOCWn, 5721371]
[paragraph, [144.0, 352.0, 1314.0, 36.0], eFyIGdOCWn, 5721371]
[paragraph, [144.0, 388.0, 1314.0, 36.0], eFyIGdOCWn, 5721371]
[paragraph, [144.0, 424.0, 1314.0, 36.0], eFyIGdOCWn, 5721371]
[paragraph, [138.0, 486.0, 1329.0, 36.0], e0AGqbdqOo, 5721371]
[paragraph, [138.0, 522.0, 1329.0, 36.0], e0AGqbdqOo, 5721371]
[paragraph, [138.0, 558.0, 1329.0, 36.0], e0AGqbdqOo, 5721371]
[paragraph, [138.0, 594.0, 1329.0, 36.0], e0AGqbdqOo, 5721371]
[paragraph, [132.0, 647.0, 1337.0, 36.0], lkS3rwhLuB, 5721371]
[paragraph, [132.0, 683.0, 1337.0, 36.0], lkS3rwhLuB, 5721371]
[paragraph, [132.0, 719.0, 1337.0, 36.0], lkS3rwhLuB, 5721371]
[paragraph, [132.0, 755.0, 1337.0, 36.0], lkS3rwhLuB, 5721371]
[paragraph, [132.0, 791.0, 1337.0, 36.0], lkS3rwhLuB, 5721371]
[paragraph, [132.0, 827.0, 1337.0, 36.0], lkS3rwhLuB, 5721371]
[paragraph, [132.0, 863.0, 1337.0, 36.0], lkS3rwhLuB, 5721371]
[paragraph, [132.0, 899.0, 1337.0, 36.0], lkS3rwhLuB, 5721371]
[paragraph, [134.0, 968.0, 1333.0, 36.0], 0z2ROXP6GU, 5721371]
[paragraph, [134.0, 1004.0, 1333.0, 36.0], 0z2ROXP6GU, 5721371]
[paragraph, [134.0, 1040.0, 1333.0, 36.0], 0z2ROXP6GU, 5721371]
[paragraph, [134.0, 1076.0, 1333.0, 36.0], 0z2ROXP6GU, 5721371]
[paragraph, [132.0, 1127.0, 1335.0, 36.0], HfLsg9O2e-, 5721371]
[paragraph, [132.0, 1163.0, 1335.0, 36.0], HfLsg9O2e-, 5721371]
[paragraph, [132.0, 1199.0, 1335.0, 36.0], HfLsg9O2e-, 5721371]
[paragraph, [132.0, 1235.0, 1335.0, 36.0], HfLsg9O2e-, 5721371]
[paragraph, [132.0, 1271.0, 1335.0, 36.0], HfLsg9O2e-, 5721371]
[paragraph, [132.0, 1307.0, 1335.0, 36.0], HfLsg9O2e-, 5721371]
[paragraph, [132.0, 1343.0, 1335.0, 36.0], HfLsg9O2e-, 5721371]
[paragraph, [136.0, 1394.0, 1331.0, 36.0], wvpL6oK8eI, 5721371]
[paragraph, [136.0, 1430.0, 1331.0, 36.0], wvpL6oK8eI, 5721371]
[paragraph, [136.0, 1466.0, 1331.0, 36.0], wvpL6oK8eI, 5721371]
[paragraph, [136.0, 1502.0, 1331.0, 36.0], wvpL6oK8eI, 5721371]
[paragraph, [136.0, 1538.0, 1331.0, 36.0], wvpL6oK8eI, 5721371]
[paragraph, [140.0, 1603.0, 1325.0, 36.0], U4F6Sf37oo, 5721371]
[paragraph, [140.0, 1639.0, 1325.0, 36.0], U4F6Sf37oo, 5721371]
[paragraph, [140.0, 1675.0, 1325.0, 36.0], U4F6Sf37oo, 5721371]
[paragraph, [140.0, 1711.0, 1325.0, 36.0], U4F6Sf37oo, 5721371]
[paragraph, [140.0, 1747.0, 1325.0, 36.0], U4F6Sf37oo, 5721371]
[paragraph, [140.0, 1783.0, 1325.0, 36.0], U4F6Sf37oo, 5721371]
[paragraph, [140.0, 1819.0, 1325.0, 36.0], U4F6Sf37oo, 5721371]
[paragraph, [140.0, 1855.0, 1325.0, 36.0], U4F6Sf37oo, 5721371]
[paragraph, [140.0, 1891.0, 1325.0, 36.0], U4F6Sf37oo, 5721371]
[paragraph, [140.0, 1927.0, 1325.0, 36.0], U4F6Sf37oo, 5721371]
[paragraph, [140.0, 1963.0, 1325.0, 36.0], U4F6Sf37oo, 5721371]
[paragraph, [136.0, 2031.0, 1327.0, 36.0], 7ZALMEcbmQ, 5721371]
[paragraph, [136.0, 2067.0, 1327.0, 36.0], 7ZALMEcbmQ, 5721371]
[paragraph, [136.0, 2103.0, 1327.0, 36.0], 7ZALMEcbmQ, 5721371]
[paragraph, [136.0, 2139.0, 1327.0, 36.0], 7ZALMEcbmQ, 5721371]
