[1650, 1275]
[paragraph, [109.0, 144.0, 1019.0, 36.0], shoonya_1sGKD0SZM9RP8Y, 5779037]
[paragraph, [109.0, 180.0, 1019.0, 36.0], shoonya_1sGKD0SZM9RP8Y, 5779037]
[paragraph, [109.0, 216.0, 1019.0, 36.0], shoonya_1sGKD0SZM9RP8Y, 5779037]
[paragraph, [109.0, 252.0, 1019.0, 36.0], shoonya_1sGKD0SZM9RP8Y, 5779037]
[paragraph, [109.0, 288.0, 1019.0, 36.0], shoonya_1sGKD0SZM9RP8Y, 5779037]
[paragraph, [109.0, 324.0, 1019.0, 36.0], shoonya_1sGKD0SZM9RP8Y, 5779037]
[paragraph, [109.0, 360.0, 1019.0, 36.0], shoonya_1sGKD0SZM9RP8Y, 5779037]
[paragraph, [109.0, 396.0, 1019.0, 36.0], shoonya_1sGKD0SZM9RP8Y, 5779037]
[paragraph, [109.0, 432.0, 1019.0, 36.0], shoonya_1sGKD0SZM9RP8Y, 5779037]
[paragraph, [109.0, 468.0, 1019.0, 36.0], shoonya_1sGKD0SZM9RP8Y, 5779037]
[paragraph, [109.0, 504.0, 1019.0, 36.0], shoonya_1sGKD0SZM9RP8Y, 5779037]
[paragraph, [109.0, 540.0, 1019.0, 36.0], shoonya_1sGKD0SZM9RP8Y, 5779037]
[paragraph, [109.0, 576.0, 1019.0, 36.0], shoonya_1sGKD0SZM9RP8Y, 5779037]
[paragraph, [109.0, 612.0, 1019.0, 36.0], shoonya_1sGKD0SZM9RP8Y, 5779037]
[paragraph, [109.0, 648.0, 1019.0, 36.0], shoonya_1sGKD0SZM9RP8Y, 5779037]
[paragraph, [109.0, 684.0, 1019.0, 36.0], shoonya_1sGKD0SZM9RP8Y, 5779037]
[paragraph, [109.0, 720.0, 1019.0, 36.0], shoonya_1sGKD0SZM9RP8Y, 5779037]
[paragraph, [109.0, 756.0, 1019.0, 36.0], shoonya_1sGKD0SZM9RP8Y, 5779037]
[paragraph, [111.0, 793.0, 1015.0, 36.0], shoonya_2sPPTUTD5GLL2J, 5779037]
[paragraph, [111.0, 829.0, 1015.0, 36.0], shoonya_2sPPTUTD5GLL2J, 5779037]
[paragraph, [111.0, 865.0, 1015.0, 36.0], shoonya_2sPPTUTD5GLL2J, 5779037]
[paragraph, [111.0, 901.0, 1015.0, 36.0], shoonya_2sPPTUTD5GLL2J, 5779037]
[paragraph, [109.0, 1085.0, 1015.0, 36.0], shoonya_0sDC6VTOBOZUCS, 5779037]
[paragraph, [109.0, 1121.0, 1015.0, 36.0], shoonya_0sDC6VTOBOZUCS, 5779037]
[paragraph, [109.0, 1157.0, 1015.0, 36.0], shoonya_0sDC6VTOBOZUCS, 5779037]
[paragraph, [109.0, 1193.0, 1015.0, 36.0], shoonya_0sDC6VTOBOZUCS, 5779037]
[paragraph, [109.0, 1229.0, 1015.0, 36.0], shoonya_0sDC6VTOBOZUCS, 5779037]
[paragraph, [109.0, 1265.0, 1015.0, 36.0], shoonya_0sDC6VTOBOZUCS, 5779037]
[paragraph, [109.0, 1301.0, 1015.0, 36.0], shoonya_0sDC6VTOBOZUCS, 5779037]
[paragraph, [109.0, 1337.0, 1015.0, 36.0], shoonya_0sDC6VTOBOZUCS, 5779037]
[paragraph, [109.0, 1373.0, 1015.0, 36.0], shoonya_0sDC6VTOBOZUCS, 5779037]
[paragraph, [108.0, 1417.0, 1021.0, 36.0], shoonya_3sBQFAE7KHZ87I, 5779037]
[paragraph, [108.0, 1453.0, 1021.0, 36.0], shoonya_3sBQFAE7KHZ87I, 5779037]
[paragraph, [108.0, 1489.0, 1021.0, 36.0], shoonya_3sBQFAE7KHZ87I, 5779037]
[paragraph, [108.0, 1525.0, 1021.0, 36.0], shoonya_3sBQFAE7KHZ87I, 5779037]
[website-link, [216.0, 1533.0, 294.0, 18.0], E9QYUj61Rr, 5779037]
