[2200, 1700]
[paragraph, [330.0, 139.0, 1033.0, 36.0], shoonya_5sK87RIU60SENL, 5749860]
[paragraph, [330.0, 175.0, 1033.0, 36.0], shoonya_5sK87RIU60SENL, 5749860]
[paragraph, [330.0, 211.0, 1033.0, 36.0], shoonya_5sK87RIU60SENL, 5749860]
[paragraph, [330.0, 247.0, 1033.0, 36.0], shoonya_5sK87RIU60SENL, 5749860]
[paragraph, [330.0, 283.0, 1033.0, 36.0], shoonya_5sK87RIU60SENL, 5749860]
[paragraph, [336.0, 343.0, 1030.0, 36.0], shoonya_0sAZHGYRWN0J1C, 5749860]
[paragraph, [336.0, 379.0, 1030.0, 36.0], shoonya_0sAZHGYRWN0J1C, 5749860]
[paragraph, [336.0, 415.0, 1030.0, 36.0], shoonya_0sAZHGYRWN0J1C, 5749860]
[paragraph, [336.0, 451.0, 1030.0, 36.0], shoonya_0sAZHGYRWN0J1C, 5749860]
[paragraph, [336.0, 487.0, 1030.0, 36.0], shoonya_0sAZHGYRWN0J1C, 5749860]
[paragraph, [336.0, 523.0, 1030.0, 36.0], shoonya_0sAZHGYRWN0J1C, 5749860]
[paragraph, [329.0, 617.0, 1032.0, 36.0], shoonya_7sN9BZD7WLKSPB, 5749860]
[paragraph, [329.0, 653.0, 1032.0, 36.0], shoonya_7sN9BZD7WLKSPB, 5749860]
[paragraph, [329.0, 689.0, 1032.0, 36.0], shoonya_7sN9BZD7WLKSPB, 5749860]
[paragraph, [329.0, 725.0, 1032.0, 36.0], shoonya_7sN9BZD7WLKSPB, 5749860]
[paragraph, [329.0, 761.0, 1032.0, 36.0], shoonya_7sN9BZD7WLKSPB, 5749860]
[paragraph, [329.0, 797.0, 1032.0, 36.0], shoonya_7sN9BZD7WLKSPB, 5749860]
[paragraph, [329.0, 833.0, 1032.0, 36.0], shoonya_7sN9BZD7WLKSPB, 5749860]
[paragraph, [329.0, 869.0, 1032.0, 36.0], shoonya_7sN9BZD7WLKSPB, 5749860]
[ordered-list, [324.0, 1344.0, 1078.0, 36.0], shoonya_8sYXWWWIMKIIJJ, 5749860]
[ordered-list, [324.0, 1380.0, 1078.0, 36.0], shoonya_8sYXWWWIMKIIJJ, 5749860]
[ordered-list, [324.0, 1416.0, 1078.0, 36.0], shoonya_8sYXWWWIMKIIJJ, 5749860]
[ordered-list, [324.0, 1452.0, 1078.0, 36.0], shoonya_8sYXWWWIMKIIJJ, 5749860]
[ordered-list, [324.0, 1488.0, 1078.0, 36.0], shoonya_8sYXWWWIMKIIJJ, 5749860]
[ordered-list, [324.0, 1524.0, 1078.0, 36.0], shoonya_8sYXWWWIMKIIJJ, 5749860]
[ordered-list, [324.0, 1560.0, 1078.0, 36.0], shoonya_8sYXWWWIMKIIJJ, 5749860]
[ordered-list, [324.0, 1596.0, 1078.0, 36.0], shoonya_8sYXWWWIMKIIJJ, 5749860]
[ordered-list, [324.0, 1632.0, 1078.0, 36.0], shoonya_8sYXWWWIMKIIJJ, 5749860]
[ordered-list, [324.0, 1668.0, 1078.0, 36.0], shoonya_8sYXWWWIMKIIJJ, 5749860]
[ordered-list, [324.0, 1704.0, 1078.0, 36.0], shoonya_8sYXWWWIMKIIJJ, 5749860]
