[2200, 1700]
[section-title, [889.0, 520.0, 345.0, 52.5], dkkZcwik09, 5739283]
[sub-section-title, [878.0, 641.0, 400.0, 55.5], shoonya_2s5R7FNUL12MAI, 5739283]
[paragraph, [223.0, 1124.0, 1142.0, 36.0], shoonya_4sWO44NR7F63HI, 5739283]
[paragraph, [223.0, 1160.0, 1142.0, 36.0], shoonya_4sWO44NR7F63HI, 5739283]
[paragraph, [699.0, 1233.0, 190.0, 36.0], shoonya_5sT7OE4EIWHZII, 5739283]
[paragraph, [793.0, 1444.0, 668.0, 36.0], 0pjc10JLrJ, 5739283]
[paragraph, [793.0, 1480.0, 668.0, 36.0], 0pjc10JLrJ, 5739283]
[paragraph, [785.0, 1562.0, 568.0, 36.0], SjJoPlM-Ev, 5739283]
[paragraph, [785.0, 1598.0, 568.0, 36.0], SjJoPlM-Ev, 5739283]
[paragraph, [807.0, 1701.0, 520.0, 36.0], shoonya_3sPQJ86EY5HB2S, 5739283]
[paragraph, [807.0, 1737.0, 520.0, 36.0], shoonya_3sPQJ86EY5HB2S, 5739283]
[paragraph, [802.0, 1819.0, 645.0, 36.0], I4lN5hQbOB, 5739283]
[paragraph, [802.0, 1855.0, 645.0, 36.0], I4lN5hQbOB, 5739283]
