[2200, 1700]
[paragraph, [283.0, 91.0, 155.0, 36.0], shoonya_2sYDCFOSA73L2Y, 5731231]
[paragraph, [273.0, 146.0, 1125.0, 36.0], shoonya_1sE3NT0N8A7OKQ, 5731231]
[paragraph, [273.0, 182.0, 1125.0, 36.0], shoonya_1sE3NT0N8A7OKQ, 5731231]
[paragraph, [273.0, 218.0, 1125.0, 36.0], shoonya_1sE3NT0N8A7OKQ, 5731231]
[paragraph, [273.0, 254.0, 1125.0, 36.0], shoonya_1sE3NT0N8A7OKQ, 5731231]
[paragraph, [273.0, 290.0, 1125.0, 36.0], shoonya_1sE3NT0N8A7OKQ, 5731231]
[paragraph, [273.0, 326.0, 1125.0, 36.0], shoonya_1sE3NT0N8A7OKQ, 5731231]
[paragraph, [273.0, 362.0, 1125.0, 36.0], shoonya_1sE3NT0N8A7OKQ, 5731231]
[paragraph, [273.0, 398.0, 1125.0, 36.0], shoonya_1sE3NT0N8A7OKQ, 5731231]
[paragraph, [273.0, 434.0, 1125.0, 36.0], shoonya_1sE3NT0N8A7OKQ, 5731231]
[paragraph, [273.0, 470.0, 1125.0, 36.0], shoonya_1sE3NT0N8A7OKQ, 5731231]
[paragraph, [273.0, 506.0, 1125.0, 36.0], shoonya_1sE3NT0N8A7OKQ, 5731231]
[paragraph, [273.0, 542.0, 1125.0, 36.0], shoonya_1sE3NT0N8A7OKQ, 5731231]
[paragraph, [273.0, 578.0, 1125.0, 36.0], shoonya_1sE3NT0N8A7OKQ, 5731231]
[paragraph, [273.0, 614.0, 1125.0, 36.0], shoonya_1sE3NT0N8A7OKQ, 5731231]
[paragraph, [273.0, 650.0, 1125.0, 36.0], shoonya_1sE3NT0N8A7OKQ, 5731231]
[paragraph, [273.0, 686.0, 1125.0, 36.0], shoonya_1sE3NT0N8A7OKQ, 5731231]
[paragraph, [273.0, 722.0, 1125.0, 36.0], shoonya_1sE3NT0N8A7OKQ, 5731231]
[paragraph, [273.0, 758.0, 1125.0, 36.0], shoonya_1sE3NT0N8A7OKQ, 5731231]
[paragraph, [273.0, 794.0, 1125.0, 36.0], shoonya_1sE3NT0N8A7OKQ, 5731231]
[paragraph, [273.0, 830.0, 1125.0, 36.0], shoonya_1sE3NT0N8A7OKQ, 5731231]
[paragraph, [273.0, 866.0, 1125.0, 36.0], shoonya_1sE3NT0N8A7OKQ, 5731231]
[paragraph, [273.0, 902.0, 1125.0, 36.0], shoonya_1sE3NT0N8A7OKQ, 5731231]
[paragraph, [273.0, 938.0, 1125.0, 36.0], shoonya_1sE3NT0N8A7OKQ, 5731231]
[paragraph, [273.0, 974.0, 1125.0, 36.0], shoonya_1sE3NT0N8A7OKQ, 5731231]
[paragraph, [287.0, 1049.0, 1125.0, 36.0], shoonya_0sE4FRXF15JP7L, 5731231]
[paragraph, [287.0, 1085.0, 1125.0, 36.0], shoonya_0sE4FRXF15JP7L, 5731231]
[paragraph, [287.0, 1121.0, 1125.0, 36.0], shoonya_0sE4FRXF15JP7L, 5731231]
[paragraph, [287.0, 1157.0, 1125.0, 36.0], shoonya_0sE4FRXF15JP7L, 5731231]
[paragraph, [287.0, 1193.0, 1125.0, 36.0], shoonya_0sE4FRXF15JP7L, 5731231]
[paragraph, [287.0, 1229.0, 1125.0, 36.0], shoonya_0sE4FRXF15JP7L, 5731231]
[paragraph, [287.0, 1265.0, 1125.0, 36.0], shoonya_0sE4FRXF15JP7L, 5731231]
[paragraph, [287.0, 1301.0, 1125.0, 36.0], shoonya_0sE4FRXF15JP7L, 5731231]
[paragraph, [287.0, 1337.0, 1125.0, 36.0], shoonya_0sE4FRXF15JP7L, 5731231]
[paragraph, [287.0, 1373.0, 1125.0, 36.0], shoonya_0sE4FRXF15JP7L, 5731231]
[paragraph, [287.0, 1409.0, 1125.0, 36.0], shoonya_0sE4FRXF15JP7L, 5731231]
[paragraph, [287.0, 1445.0, 1125.0, 36.0], shoonya_0sE4FRXF15JP7L, 5731231]
[paragraph, [287.0, 1481.0, 1125.0, 36.0], shoonya_0sE4FRXF15JP7L, 5731231]
[paragraph, [287.0, 1517.0, 1125.0, 36.0], shoonya_0sE4FRXF15JP7L, 5731231]
[paragraph, [287.0, 1553.0, 1125.0, 36.0], shoonya_0sE4FRXF15JP7L, 5731231]
[paragraph, [287.0, 1589.0, 1125.0, 36.0], shoonya_0sE4FRXF15JP7L, 5731231]
[paragraph, [287.0, 1625.0, 1125.0, 36.0], shoonya_0sE4FRXF15JP7L, 5731231]
[paragraph, [287.0, 1661.0, 1125.0, 36.0], shoonya_0sE4FRXF15JP7L, 5731231]
[paragraph, [287.0, 1697.0, 1125.0, 36.0], shoonya_0sE4FRXF15JP7L, 5731231]
[paragraph, [287.0, 1733.0, 1125.0, 36.0], shoonya_0sE4FRXF15JP7L, 5731231]
[paragraph, [287.0, 1769.0, 1125.0, 36.0], shoonya_0sE4FRXF15JP7L, 5731231]
[paragraph, [287.0, 1805.0, 1125.0, 36.0], shoonya_0sE4FRXF15JP7L, 5731231]
[paragraph, [287.0, 1841.0, 1125.0, 36.0], shoonya_0sE4FRXF15JP7L, 5731231]
[paragraph, [287.0, 1877.0, 1125.0, 36.0], shoonya_0sE4FRXF15JP7L, 5731231]
[paragraph, [287.0, 1913.0, 1125.0, 36.0], shoonya_0sE4FRXF15JP7L, 5731231]
[folio, [948.0, 2027.0, 358.0, 36.0], I7YzpwX_s6, 5731231]
