[1565, 1152]
[paragraph, [726.0, 119.0, 302.0, 36.0], shoonya_15sH6BG4AMATMI, 5713307]
[paragraph, [726.0, 155.0, 302.0, 36.0], shoonya_15sH6BG4AMATMI, 5713307]
[paragraph, [726.0, 191.0, 302.0, 36.0], shoonya_15sH6BG4AMATMI, 5713307]
[paragraph, [726.0, 227.0, 302.0, 36.0], shoonya_15sH6BG4AMATMI, 5713307]
[paragraph, [726.0, 263.0, 302.0, 36.0], shoonya_15sH6BG4AMATMI, 5713307]
[paragraph, [726.0, 299.0, 302.0, 36.0], shoonya_15sH6BG4AMATMI, 5713307]
[paragraph, [726.0, 335.0, 302.0, 36.0], shoonya_15sH6BG4AMATMI, 5713307]
[paragraph, [726.0, 371.0, 302.0, 36.0], shoonya_15sH6BG4AMATMI, 5713307]
[paragraph, [726.0, 407.0, 302.0, 36.0], shoonya_15sH6BG4AMATMI, 5713307]
[paragraph, [726.0, 443.0, 302.0, 36.0], shoonya_15sH6BG4AMATMI, 5713307]
[paragraph, [726.0, 479.0, 302.0, 36.0], shoonya_15sH6BG4AMATMI, 5713307]
[paragraph, [115.0, 126.0, 301.0, 36.0], shoonya_10s9UUYL5YZA1T, 5713307]
[paragraph, [115.0, 162.0, 301.0, 36.0], shoonya_10s9UUYL5YZA1T, 5713307]
[paragraph, [115.0, 198.0, 301.0, 36.0], shoonya_10s9UUYL5YZA1T, 5713307]
[paragraph, [115.0, 234.0, 301.0, 36.0], shoonya_10s9UUYL5YZA1T, 5713307]
[paragraph, [115.0, 270.0, 301.0, 36.0], shoonya_10s9UUYL5YZA1T, 5713307]
[paragraph, [115.0, 306.0, 301.0, 36.0], shoonya_10s9UUYL5YZA1T, 5713307]
[paragraph, [117.0, 367.0, 291.0, 36.0], shoonya_2sFO7KELS75TX5, 5713307]
[paragraph, [117.0, 403.0, 291.0, 36.0], shoonya_2sFO7KELS75TX5, 5713307]
[paragraph, [117.0, 439.0, 291.0, 36.0], shoonya_2sFO7KELS75TX5, 5713307]
[paragraph, [117.0, 475.0, 291.0, 36.0], shoonya_2sFO7KELS75TX5, 5713307]
[paragraph, [117.0, 511.0, 291.0, 36.0], shoonya_2sFO7KELS75TX5, 5713307]
[paragraph, [117.0, 547.0, 291.0, 36.0], shoonya_2sFO7KELS75TX5, 5713307]
[paragraph, [117.0, 583.0, 291.0, 36.0], shoonya_2sFO7KELS75TX5, 5713307]
[paragraph, [730.0, 521.0, 299.0, 36.0], shoonya_3sMA1JRKX68GRQ, 5713307]
[paragraph, [730.0, 557.0, 299.0, 36.0], shoonya_3sMA1JRKX68GRQ, 5713307]
[paragraph, [730.0, 593.0, 299.0, 36.0], shoonya_3sMA1JRKX68GRQ, 5713307]
[paragraph, [730.0, 629.0, 299.0, 36.0], shoonya_3sMA1JRKX68GRQ, 5713307]
[paragraph, [730.0, 665.0, 299.0, 36.0], shoonya_3sMA1JRKX68GRQ, 5713307]
[section-title, [478.0, 539.0, 221.0, 49.5], bvIfw0i6hq, 5713307]
[section-title, [478.0, 588.5, 221.0, 49.5], bvIfw0i6hq, 5713307]
[section-title, [478.0, 638.0, 221.0, 49.5], bvIfw0i6hq, 5713307]
[section-title, [478.0, 687.5, 221.0, 49.5], bvIfw0i6hq, 5713307]
[paragraph, [115.0, 639.0, 297.0, 36.0], shoonya_0sVMYZ85K3BIWV, 5713307]
[paragraph, [115.0, 675.0, 297.0, 36.0], shoonya_0sVMYZ85K3BIWV, 5713307]
[paragraph, [115.0, 711.0, 297.0, 36.0], shoonya_0sVMYZ85K3BIWV, 5713307]
[paragraph, [115.0, 747.0, 297.0, 36.0], shoonya_0sVMYZ85K3BIWV, 5713307]
[paragraph, [115.0, 783.0, 297.0, 36.0], shoonya_0sVMYZ85K3BIWV, 5713307]
[paragraph, [115.0, 819.0, 297.0, 36.0], shoonya_0sVMYZ85K3BIWV, 5713307]
[paragraph, [115.0, 855.0, 297.0, 36.0], shoonya_0sVMYZ85K3BIWV, 5713307]
[paragraph, [115.0, 891.0, 297.0, 36.0], shoonya_0sVMYZ85K3BIWV, 5713307]
[paragraph, [732.0, 736.0, 304.0, 36.0], shoonya_4sJSM8HRBDOADD, 5713307]
[paragraph, [732.0, 772.0, 304.0, 36.0], shoonya_4sJSM8HRBDOADD, 5713307]
[paragraph, [732.0, 808.0, 304.0, 36.0], shoonya_4sJSM8HRBDOADD, 5713307]
[paragraph, [732.0, 844.0, 304.0, 36.0], shoonya_4sJSM8HRBDOADD, 5713307]
[paragraph, [732.0, 880.0, 304.0, 36.0], shoonya_4sJSM8HRBDOADD, 5713307]
[paragraph, [732.0, 916.0, 304.0, 36.0], shoonya_4sJSM8HRBDOADD, 5713307]
[contact-info, [493.0, 752.0, 158.0, 36.0], ApoT2EZSYh, 5713307]
[paragraph, [414.0, 854.0, 307.0, 36.0], shoonya_6sMKOBTLV0QMFC, 5713307]
[paragraph, [414.0, 890.0, 307.0, 36.0], shoonya_6sMKOBTLV0QMFC, 5713307]
[paragraph, [414.0, 926.0, 307.0, 36.0], shoonya_6sMKOBTLV0QMFC, 5713307]
[paragraph, [414.0, 962.0, 307.0, 36.0], shoonya_6sMKOBTLV0QMFC, 5713307]
[paragraph, [414.0, 998.0, 307.0, 36.0], shoonya_6sMKOBTLV0QMFC, 5713307]
[paragraph, [414.0, 1034.0, 307.0, 36.0], shoonya_6sMKOBTLV0QMFC, 5713307]
[paragraph, [107.0, 934.0, 297.0, 36.0], shoonya_1sA8JKLOV8F2DG, 5713307]
[paragraph, [107.0, 970.0, 297.0, 36.0], shoonya_1sA8JKLOV8F2DG, 5713307]
[paragraph, [107.0, 1006.0, 297.0, 36.0], shoonya_1sA8JKLOV8F2DG, 5713307]
[paragraph, [107.0, 1042.0, 297.0, 36.0], shoonya_1sA8JKLOV8F2DG, 5713307]
[paragraph, [107.0, 1078.0, 297.0, 36.0], shoonya_1sA8JKLOV8F2DG, 5713307]
[paragraph, [107.0, 1114.0, 297.0, 36.0], shoonya_1sA8JKLOV8F2DG, 5713307]
[paragraph, [107.0, 1150.0, 297.0, 36.0], shoonya_1sA8JKLOV8F2DG, 5713307]
[paragraph, [107.0, 1186.0, 297.0, 36.0], shoonya_1sA8JKLOV8F2DG, 5713307]
[paragraph, [107.0, 1222.0, 297.0, 36.0], shoonya_1sA8JKLOV8F2DG, 5713307]
