[1625, 1211]
[paragraph, [69.0, 99.0, 344.0, 36.0], aMBoDHnFx7, 5742773]
[paragraph, [69.0, 135.0, 344.0, 36.0], aMBoDHnFx7, 5742773]
[paragraph, [69.0, 171.0, 344.0, 36.0], aMBoDHnFx7, 5742773]
[paragraph, [69.0, 207.0, 344.0, 36.0], aMBoDHnFx7, 5742773]
[paragraph, [69.0, 243.0, 344.0, 36.0], aMBoDHnFx7, 5742773]
[paragraph, [69.0, 279.0, 344.0, 36.0], aMBoDHnFx7, 5742773]
[paragraph, [426.0, 107.0, 350.0, 36.0], kvWcguVKv3, 5742773]
[paragraph, [426.0, 143.0, 350.0, 36.0], kvWcguVKv3, 5742773]
[paragraph, [426.0, 179.0, 350.0, 36.0], kvWcguVKv3, 5742773]
[paragraph, [426.0, 215.0, 350.0, 36.0], kvWcguVKv3, 5742773]
[paragraph, [426.0, 251.0, 350.0, 36.0], kvWcguVKv3, 5742773]
[paragraph, [426.0, 287.0, 350.0, 36.0], kvWcguVKv3, 5742773]
[paragraph, [426.0, 323.0, 350.0, 36.0], kvWcguVKv3, 5742773]
[paragraph, [426.0, 359.0, 350.0, 36.0], kvWcguVKv3, 5742773]
[paragraph, [426.0, 395.0, 350.0, 36.0], kvWcguVKv3, 5742773]
[paragraph, [426.0, 431.0, 350.0, 36.0], kvWcguVKv3, 5742773]
[paragraph, [426.0, 467.0, 350.0, 36.0], kvWcguVKv3, 5742773]
[paragraph, [426.0, 503.0, 350.0, 36.0], kvWcguVKv3, 5742773]
[paragraph, [426.0, 539.0, 350.0, 36.0], kvWcguVKv3, 5742773]
[paragraph, [426.0, 575.0, 350.0, 36.0], kvWcguVKv3, 5742773]
[paragraph, [426.0, 611.0, 350.0, 36.0], kvWcguVKv3, 5742773]
[paragraph, [796.0, 108.0, 340.0, 36.0], KI9xwb6F65, 5742773]
[paragraph, [791.0, 207.0, 344.0, 36.0], shoonya_0sF5YUWMGDXYL6, 5742773]
[paragraph, [791.0, 243.0, 344.0, 36.0], shoonya_0sF5YUWMGDXYL6, 5742773]
[paragraph, [791.0, 279.0, 344.0, 36.0], shoonya_0sF5YUWMGDXYL6, 5742773]
[paragraph, [791.0, 315.0, 344.0, 36.0], shoonya_0sF5YUWMGDXYL6, 5742773]
[paragraph, [791.0, 351.0, 344.0, 36.0], shoonya_0sF5YUWMGDXYL6, 5742773]
[paragraph, [791.0, 387.0, 344.0, 36.0], shoonya_0sF5YUWMGDXYL6, 5742773]
[paragraph, [791.0, 423.0, 344.0, 36.0], shoonya_0sF5YUWMGDXYL6, 5742773]
[paragraph, [65.0, 373.0, 343.0, 36.0], 2DPMnIntCt, 5742773]
[paragraph, [65.0, 409.0, 343.0, 36.0], 2DPMnIntCt, 5742773]
[paragraph, [65.0, 445.0, 343.0, 36.0], 2DPMnIntCt, 5742773]
[paragraph, [65.0, 481.0, 343.0, 36.0], 2DPMnIntCt, 5742773]
[paragraph, [795.0, 495.0, 338.0, 36.0], 6KLJtXkkhc, 5742773]
[paragraph, [795.0, 531.0, 338.0, 36.0], 6KLJtXkkhc, 5742773]
[paragraph, [795.0, 567.0, 338.0, 36.0], 6KLJtXkkhc, 5742773]
[paragraph, [795.0, 603.0, 338.0, 36.0], 6KLJtXkkhc, 5742773]
[paragraph, [795.0, 639.0, 338.0, 36.0], 6KLJtXkkhc, 5742773]
[paragraph, [795.0, 675.0, 338.0, 36.0], 6KLJtXkkhc, 5742773]
[paragraph, [795.0, 711.0, 338.0, 36.0], 6KLJtXkkhc, 5742773]
[paragraph, [795.0, 747.0, 338.0, 36.0], 6KLJtXkkhc, 5742773]
[paragraph, [795.0, 783.0, 338.0, 36.0], 6KLJtXkkhc, 5742773]
[paragraph, [795.0, 819.0, 338.0, 36.0], 6KLJtXkkhc, 5742773]
[paragraph, [795.0, 855.0, 338.0, 36.0], 6KLJtXkkhc, 5742773]
[paragraph, [795.0, 891.0, 338.0, 36.0], 6KLJtXkkhc, 5742773]
[paragraph, [795.0, 927.0, 338.0, 36.0], 6KLJtXkkhc, 5742773]
[paragraph, [795.0, 963.0, 338.0, 36.0], 6KLJtXkkhc, 5742773]
[paragraph, [795.0, 999.0, 338.0, 36.0], 6KLJtXkkhc, 5742773]
[paragraph, [795.0, 1035.0, 338.0, 36.0], 6KLJtXkkhc, 5742773]
[paragraph, [795.0, 1071.0, 338.0, 36.0], 6KLJtXkkhc, 5742773]
[paragraph, [795.0, 1107.0, 338.0, 36.0], 6KLJtXkkhc, 5742773]
[paragraph, [795.0, 1143.0, 338.0, 36.0], 6KLJtXkkhc, 5742773]
[paragraph, [795.0, 1179.0, 338.0, 36.0], 6KLJtXkkhc, 5742773]
[paragraph, [795.0, 1215.0, 338.0, 36.0], 6KLJtXkkhc, 5742773]
[paragraph, [795.0, 1251.0, 338.0, 36.0], 6KLJtXkkhc, 5742773]
[paragraph, [795.0, 1287.0, 338.0, 36.0], 6KLJtXkkhc, 5742773]
[paragraph, [795.0, 1323.0, 338.0, 36.0], 6KLJtXkkhc, 5742773]
[paragraph, [72.0, 536.0, 335.0, 36.0], gVq0rjIQWI, 5742773]
[paragraph, [72.0, 572.0, 335.0, 36.0], gVq0rjIQWI, 5742773]
[paragraph, [72.0, 608.0, 335.0, 36.0], gVq0rjIQWI, 5742773]
[paragraph, [72.0, 644.0, 335.0, 36.0], gVq0rjIQWI, 5742773]
[paragraph, [72.0, 680.0, 335.0, 36.0], gVq0rjIQWI, 5742773]
[paragraph, [72.0, 716.0, 335.0, 36.0], gVq0rjIQWI, 5742773]
[paragraph, [72.0, 752.0, 335.0, 36.0], gVq0rjIQWI, 5742773]
[paragraph, [72.0, 788.0, 335.0, 36.0], gVq0rjIQWI, 5742773]
[paragraph, [72.0, 824.0, 335.0, 36.0], gVq0rjIQWI, 5742773]
[paragraph, [72.0, 860.0, 335.0, 36.0], gVq0rjIQWI, 5742773]
[paragraph, [72.0, 896.0, 335.0, 36.0], gVq0rjIQWI, 5742773]
[paragraph, [72.0, 932.0, 335.0, 36.0], gVq0rjIQWI, 5742773]
[paragraph, [428.0, 717.0, 345.0, 36.0], WmFlko6vg1, 5742773]
[paragraph, [428.0, 753.0, 345.0, 36.0], WmFlko6vg1, 5742773]
[paragraph, [428.0, 789.0, 345.0, 36.0], WmFlko6vg1, 5742773]
[paragraph, [428.0, 825.0, 345.0, 36.0], WmFlko6vg1, 5742773]
[paragraph, [429.0, 894.0, 343.0, 36.0], yIJfc2TuyM, 5742773]
[paragraph, [429.0, 930.0, 343.0, 36.0], yIJfc2TuyM, 5742773]
[paragraph, [429.0, 966.0, 343.0, 36.0], yIJfc2TuyM, 5742773]
[paragraph, [429.0, 1002.0, 343.0, 36.0], yIJfc2TuyM, 5742773]
