[849, 604]
[headline, [267.0, 61.0, 74.0, 25.5], ow8OIroeIU, 5756787]
[paragraph, [412.0, 107.0, 124.0, 18.0], _rAZs2JA7Y, 5756787]
[paragraph, [412.0, 125.0, 124.0, 18.0], _rAZs2JA7Y, 5756787]
[paragraph, [412.0, 143.0, 124.0, 18.0], _rAZs2JA7Y, 5756787]
[ordered-list, [65.0, 209.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
[ordered-list, [65.0, 227.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
[ordered-list, [65.0, 245.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
[ordered-list, [65.0, 263.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
[ordered-list, [65.0, 281.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
[ordered-list, [65.0, 299.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
[ordered-list, [65.0, 317.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
[ordered-list, [65.0, 335.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
[ordered-list, [65.0, 353.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
[ordered-list, [65.0, 371.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
[ordered-list, [65.0, 389.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
[ordered-list, [65.0, 407.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
[ordered-list, [65.0, 425.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
[ordered-list, [65.0, 443.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
[ordered-list, [65.0, 461.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
[ordered-list, [65.0, 479.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
[ordered-list, [65.0, 497.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
[ordered-list, [65.0, 515.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
[ordered-list, [65.0, 533.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
[ordered-list, [65.0, 551.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
[ordered-list, [65.0, 569.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
[ordered-list, [65.0, 587.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
[ordered-list, [65.0, 605.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
[ordered-list, [65.0, 623.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
[ordered-list, [65.0, 641.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
[ordered-list, [65.0, 659.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
[ordered-list, [65.0, 677.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
[ordered-list, [65.0, 695.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
[ordered-list, [65.0, 713.0, 471.0, 18.0], shoonya_2s0DIE8YUXQS3Q, 5756787]
