[3509, 2480]
[paragraph, [357.0, 377.0, 1779.0, 52.5], shoonya_3sAL2KWWGROTGD, 5723898]
[paragraph, [357.0, 429.5, 1779.0, 52.5], shoonya_3sAL2KWWGROTGD, 5723898]
[paragraph, [357.0, 482.0, 1779.0, 52.5], shoonya_3sAL2KWWGROTGD, 5723898]
[paragraph, [357.0, 534.5, 1779.0, 52.5], shoonya_3sAL2KWWGROTGD, 5723898]
[paragraph, [357.0, 587.0, 1779.0, 52.5], shoonya_3sAL2KWWGROTGD, 5723898]
[paragraph, [357.0, 639.5, 1779.0, 52.5], shoonya_3sAL2KWWGROTGD, 5723898]
[paragraph, [357.0, 692.0, 1779.0, 52.5], shoonya_3sAL2KWWGROTGD, 5723898]
[paragraph, [357.0, 744.5, 1779.0, 52.5], shoonya_3sAL2KWWGROTGD, 5723898]
[paragraph, [357.0, 797.0, 1779.0, 52.5], shoonya_3sAL2KWWGROTGD, 5723898]
[paragraph, [357.0, 849.5, 1779.0, 52.5], shoonya_3sAL2KWWGROTGD, 5723898]
[paragraph, [357.0, 902.0, 1779.0, 52.5], shoonya_3sAL2KWWGROTGD, 5723898]
[paragraph, [357.0, 954.5, 1779.0, 52.5], shoonya_3sAL2KWWGROTGD, 5723898]
[paragraph, [357.0, 1007.0, 1779.0, 52.5], shoonya_3sAL2KWWGROTGD, 5723898]
[paragraph, [357.0, 1059.5, 1779.0, 52.5], shoonya_3sAL2KWWGROTGD, 5723898]
[paragraph, [357.0, 1348.0, 1788.0, 52.5], shoonya_4sK8LE81DU0KMG, 5723898]
[paragraph, [357.0, 1400.5, 1788.0, 52.5], shoonya_4sK8LE81DU0KMG, 5723898]
[paragraph, [357.0, 1453.0, 1788.0, 52.5], shoonya_4sK8LE81DU0KMG, 5723898]
[paragraph, [357.0, 1505.5, 1788.0, 52.5], shoonya_4sK8LE81DU0KMG, 5723898]
[paragraph, [357.0, 1558.0, 1788.0, 52.5], shoonya_4sK8LE81DU0KMG, 5723898]
[paragraph, [357.0, 1610.5, 1788.0, 52.5], shoonya_4sK8LE81DU0KMG, 5723898]
[paragraph, [357.0, 1663.0, 1788.0, 52.5], shoonya_4sK8LE81DU0KMG, 5723898]
[paragraph, [357.0, 1715.5, 1788.0, 52.5], shoonya_4sK8LE81DU0KMG, 5723898]
[paragraph, [357.0, 1768.0, 1788.0, 52.5], shoonya_4sK8LE81DU0KMG, 5723898]
[paragraph, [357.0, 1820.5, 1788.0, 52.5], shoonya_4sK8LE81DU0KMG, 5723898]
[paragraph, [357.0, 1873.0, 1788.0, 52.5], shoonya_4sK8LE81DU0KMG, 5723898]
[paragraph, [357.0, 1925.5, 1788.0, 52.5], shoonya_4sK8LE81DU0KMG, 5723898]
[paragraph, [357.0, 1978.0, 1788.0, 52.5], shoonya_4sK8LE81DU0KMG, 5723898]
[paragraph, [357.0, 2030.5, 1788.0, 52.5], shoonya_4sK8LE81DU0KMG, 5723898]
[paragraph, [351.0, 2142.0, 1790.0, 52.5], shoonya_1sNPLATP6PJCLF, 5723898]
[paragraph, [351.0, 2194.5, 1790.0, 52.5], shoonya_1sNPLATP6PJCLF, 5723898]
[paragraph, [351.0, 2247.0, 1790.0, 52.5], shoonya_1sNPLATP6PJCLF, 5723898]
[paragraph, [351.0, 2299.5, 1790.0, 52.5], shoonya_1sNPLATP6PJCLF, 5723898]
[paragraph, [351.0, 2352.0, 1790.0, 52.5], shoonya_1sNPLATP6PJCLF, 5723898]
[paragraph, [351.0, 2404.5, 1790.0, 52.5], shoonya_1sNPLATP6PJCLF, 5723898]
[paragraph, [351.0, 2457.0, 1790.0, 52.5], shoonya_1sNPLATP6PJCLF, 5723898]
[paragraph, [351.0, 2509.5, 1790.0, 52.5], shoonya_1sNPLATP6PJCLF, 5723898]
[paragraph, [351.0, 2562.0, 1790.0, 52.5], shoonya_1sNPLATP6PJCLF, 5723898]
[paragraph, [351.0, 2614.5, 1790.0, 52.5], shoonya_1sNPLATP6PJCLF, 5723898]
[paragraph, [351.0, 2667.0, 1790.0, 52.5], shoonya_1sNPLATP6PJCLF, 5723898]
[paragraph, [351.0, 2719.5, 1790.0, 52.5], shoonya_1sNPLATP6PJCLF, 5723898]
[paragraph, [351.0, 2772.0, 1790.0, 52.5], shoonya_1sNPLATP6PJCLF, 5723898]
[paragraph, [351.0, 2824.5, 1790.0, 52.5], shoonya_1sNPLATP6PJCLF, 5723898]
[paragraph, [351.0, 2877.0, 1790.0, 52.5], shoonya_1sNPLATP6PJCLF, 5723898]
[paragraph, [351.0, 2929.5, 1790.0, 52.5], shoonya_1sNPLATP6PJCLF, 5723898]
