[1200, 825]
[paragraph, [137.0, 106.0, 556.0, 18.0], shoonya_0sWRBN79DOD5PD, 5691305]
[paragraph, [137.0, 124.0, 556.0, 18.0], shoonya_0sWRBN79DOD5PD, 5691305]
[paragraph, [137.0, 142.0, 556.0, 18.0], shoonya_0sWRBN79DOD5PD, 5691305]
[paragraph, [137.0, 160.0, 556.0, 18.0], shoonya_0sWRBN79DOD5PD, 5691305]
[paragraph, [137.0, 178.0, 556.0, 18.0], shoonya_0sWRBN79DOD5PD, 5691305]
[paragraph, [137.0, 196.0, 556.0, 18.0], shoonya_0sWRBN79DOD5PD, 5691305]
[paragraph, [137.0, 214.0, 556.0, 18.0], shoonya_0sWRBN79DOD5PD, 5691305]
[paragraph, [137.0, 232.0, 556.0, 18.0], shoonya_0sWRBN79DOD5PD, 5691305]
[paragraph, [137.0, 250.0, 556.0, 18.0], shoonya_0sWRBN79DOD5PD, 5691305]
[paragraph, [137.0, 268.0, 556.0, 18.0], shoonya_0sWRBN79DOD5PD, 5691305]
[paragraph, [137.0, 286.0, 556.0, 18.0], shoonya_0sWRBN79DOD5PD, 5691305]
[paragraph, [137.0, 304.0, 556.0, 18.0], shoonya_0sWRBN79DOD5PD, 5691305]
[paragraph, [137.0, 322.0, 556.0, 18.0], shoonya_0sWRBN79DOD5PD, 5691305]
[paragraph, [137.0, 340.0, 556.0, 18.0], shoonya_0sWRBN79DOD5PD, 5691305]
[paragraph, [137.0, 358.0, 556.0, 18.0], shoonya_0sWRBN79DOD5PD, 5691305]
[paragraph, [137.0, 376.0, 556.0, 18.0], shoonya_0sWRBN79DOD5PD, 5691305]
[paragraph, [137.0, 394.0, 556.0, 18.0], shoonya_0sWRBN79DOD5PD, 5691305]
[paragraph, [137.0, 412.0, 556.0, 18.0], shoonya_0sWRBN79DOD5PD, 5691305]
[paragraph, [137.0, 430.0, 556.0, 18.0], shoonya_0sWRBN79DOD5PD, 5691305]
[paragraph, [141.0, 471.0, 545.0, 18.0], dAp9SX4Fu7, 5691305]
[paragraph, [141.0, 489.0, 545.0, 18.0], dAp9SX4Fu7, 5691305]
[paragraph, [141.0, 507.0, 545.0, 18.0], dAp9SX4Fu7, 5691305]
[paragraph, [141.0, 525.0, 545.0, 18.0], dAp9SX4Fu7, 5691305]
[paragraph, [141.0, 543.0, 545.0, 18.0], dAp9SX4Fu7, 5691305]
[paragraph, [141.0, 561.0, 545.0, 18.0], dAp9SX4Fu7, 5691305]
[paragraph, [141.0, 579.0, 545.0, 18.0], dAp9SX4Fu7, 5691305]
[paragraph, [141.0, 597.0, 545.0, 18.0], dAp9SX4Fu7, 5691305]
[paragraph, [141.0, 615.0, 545.0, 18.0], dAp9SX4Fu7, 5691305]
[paragraph, [138.0, 655.0, 546.0, 18.0], vYrZLUphJK, 5691305]
[paragraph, [138.0, 673.0, 546.0, 18.0], vYrZLUphJK, 5691305]
[paragraph, [138.0, 691.0, 546.0, 18.0], vYrZLUphJK, 5691305]
[paragraph, [138.0, 709.0, 546.0, 18.0], vYrZLUphJK, 5691305]
[paragraph, [138.0, 727.0, 546.0, 18.0], vYrZLUphJK, 5691305]
[paragraph, [138.0, 745.0, 546.0, 18.0], vYrZLUphJK, 5691305]
[paragraph, [138.0, 763.0, 546.0, 18.0], vYrZLUphJK, 5691305]
[paragraph, [138.0, 781.0, 546.0, 18.0], vYrZLUphJK, 5691305]
[paragraph, [138.0, 799.0, 546.0, 18.0], vYrZLUphJK, 5691305]
[paragraph, [138.0, 817.0, 546.0, 18.0], vYrZLUphJK, 5691305]
[paragraph, [138.0, 835.0, 546.0, 18.0], vYrZLUphJK, 5691305]
[paragraph, [138.0, 853.0, 546.0, 18.0], vYrZLUphJK, 5691305]
[paragraph, [138.0, 871.0, 546.0, 18.0], vYrZLUphJK, 5691305]
[paragraph, [138.0, 889.0, 546.0, 18.0], vYrZLUphJK, 5691305]
[paragraph, [138.0, 907.0, 546.0, 18.0], vYrZLUphJK, 5691305]
[paragraph, [138.0, 925.0, 546.0, 18.0], vYrZLUphJK, 5691305]
[paragraph, [138.0, 943.0, 546.0, 18.0], vYrZLUphJK, 5691305]
[paragraph, [138.0, 961.0, 546.0, 18.0], vYrZLUphJK, 5691305]
[paragraph, [143.0, 990.0, 542.0, 18.0], Zhg2m8jPru, 5691305]
[paragraph, [143.0, 1008.0, 542.0, 18.0], Zhg2m8jPru, 5691305]
[paragraph, [143.0, 1026.0, 542.0, 18.0], Zhg2m8jPru, 5691305]
