[1754, 1241]
[paragraph, [168.0, 270.0, 889.0, 36.0], shoonya_3sA6NXGWWPTJZG, 5693649]
[paragraph, [168.0, 306.0, 889.0, 36.0], shoonya_3sA6NXGWWPTJZG, 5693649]
[paragraph, [168.0, 342.0, 889.0, 36.0], shoonya_3sA6NXGWWPTJZG, 5693649]
[paragraph, [168.0, 378.0, 889.0, 36.0], shoonya_3sA6NXGWWPTJZG, 5693649]
[paragraph, [168.0, 414.0, 889.0, 36.0], shoonya_3sA6NXGWWPTJZG, 5693649]
[paragraph, [167.0, 494.0, 909.0, 36.0], shoonya_1sZN2NKIGHW6UZ, 5693649]
[paragraph, [167.0, 530.0, 909.0, 36.0], shoonya_1sZN2NKIGHW6UZ, 5693649]
[paragraph, [167.0, 566.0, 909.0, 36.0], shoonya_1sZN2NKIGHW6UZ, 5693649]
[paragraph, [167.0, 602.0, 909.0, 36.0], shoonya_1sZN2NKIGHW6UZ, 5693649]
[paragraph, [167.0, 638.0, 909.0, 36.0], shoonya_1sZN2NKIGHW6UZ, 5693649]
[paragraph, [167.0, 674.0, 909.0, 36.0], shoonya_1sZN2NKIGHW6UZ, 5693649]
[paragraph, [167.0, 710.0, 909.0, 36.0], shoonya_1sZN2NKIGHW6UZ, 5693649]
[paragraph, [167.0, 746.0, 909.0, 36.0], shoonya_1sZN2NKIGHW6UZ, 5693649]
[paragraph, [167.0, 782.0, 909.0, 36.0], shoonya_1sZN2NKIGHW6UZ, 5693649]
[paragraph, [167.0, 872.0, 907.0, 36.0], shoonya_0sQ6TUS8QBOU6C, 5693649]
[paragraph, [167.0, 908.0, 907.0, 36.0], shoonya_0sQ6TUS8QBOU6C, 5693649]
[paragraph, [167.0, 944.0, 907.0, 36.0], shoonya_0sQ6TUS8QBOU6C, 5693649]
[paragraph, [167.0, 980.0, 907.0, 36.0], shoonya_0sQ6TUS8QBOU6C, 5693649]
[paragraph, [167.0, 1016.0, 907.0, 36.0], shoonya_0sQ6TUS8QBOU6C, 5693649]
[paragraph, [167.0, 1052.0, 907.0, 36.0], shoonya_0sQ6TUS8QBOU6C, 5693649]
[paragraph, [167.0, 1088.0, 907.0, 36.0], shoonya_0sQ6TUS8QBOU6C, 5693649]
[paragraph, [167.0, 1124.0, 907.0, 36.0], shoonya_0sQ6TUS8QBOU6C, 5693649]
[paragraph, [167.0, 1160.0, 907.0, 36.0], shoonya_0sQ6TUS8QBOU6C, 5693649]
[paragraph, [167.0, 1196.0, 907.0, 36.0], shoonya_0sQ6TUS8QBOU6C, 5693649]
[paragraph, [167.0, 1232.0, 907.0, 36.0], shoonya_0sQ6TUS8QBOU6C, 5693649]
[paragraph, [167.0, 1268.0, 907.0, 36.0], shoonya_0sQ6TUS8QBOU6C, 5693649]
[paragraph, [167.0, 1304.0, 907.0, 36.0], shoonya_0sQ6TUS8QBOU6C, 5693649]
[paragraph, [167.0, 1340.0, 907.0, 36.0], shoonya_0sQ6TUS8QBOU6C, 5693649]
[paragraph, [156.0, 1423.0, 915.0, 36.0], shoonya_4sP2PR5IYEH810, 5693649]
[paragraph, [156.0, 1459.0, 915.0, 36.0], shoonya_4sP2PR5IYEH810, 5693649]
[paragraph, [156.0, 1495.0, 915.0, 36.0], shoonya_4sP2PR5IYEH810, 5693649]
[paragraph, [156.0, 1531.0, 915.0, 36.0], shoonya_4sP2PR5IYEH810, 5693649]
