[690, 512]
[folio, [200.0, 33.0, 91.0, 18.0], b1Q1NK4ru0, 6492025]
[paragraph, [26.0, 55.0, 213.0, 18.0], 3h8gSv9uMb, 6492025]
[paragraph, [26.0, 73.0, 213.0, 18.0], 3h8gSv9uMb, 6492025]
[paragraph, [26.0, 91.0, 213.0, 18.0], 3h8gSv9uMb, 6492025]
[paragraph, [26.0, 109.0, 213.0, 18.0], 3h8gSv9uMb, 6492025]
[paragraph, [26.0, 127.0, 213.0, 18.0], 3h8gSv9uMb, 6492025]
[paragraph, [26.0, 145.0, 213.0, 18.0], 3h8gSv9uMb, 6492025]
[paragraph, [251.0, 58.0, 215.0, 18.0], YbB5jhXCQM, 6492025]
[paragraph, [251.0, 76.0, 215.0, 18.0], YbB5jhXCQM, 6492025]
[paragraph, [251.0, 94.0, 215.0, 18.0], YbB5jhXCQM, 6492025]
[paragraph, [251.0, 112.0, 215.0, 18.0], YbB5jhXCQM, 6492025]
[paragraph, [251.0, 130.0, 215.0, 18.0], YbB5jhXCQM, 6492025]
[paragraph, [251.0, 148.0, 215.0, 18.0], YbB5jhXCQM, 6492025]
[paragraph, [251.0, 166.0, 215.0, 18.0], YbB5jhXCQM, 6492025]
[paragraph, [251.0, 184.0, 215.0, 18.0], YbB5jhXCQM, 6492025]
[paragraph, [251.0, 202.0, 215.0, 18.0], YbB5jhXCQM, 6492025]
[paragraph, [250.0, 228.0, 213.0, 18.0], duBrzlD-i0, 6492025]
[paragraph, [250.0, 246.0, 213.0, 18.0], duBrzlD-i0, 6492025]
[paragraph, [250.0, 264.0, 213.0, 18.0], duBrzlD-i0, 6492025]
[paragraph, [250.0, 282.0, 213.0, 18.0], duBrzlD-i0, 6492025]
[paragraph, [250.0, 300.0, 213.0, 18.0], duBrzlD-i0, 6492025]
[paragraph, [250.0, 318.0, 213.0, 18.0], duBrzlD-i0, 6492025]
[paragraph, [250.0, 336.0, 213.0, 18.0], duBrzlD-i0, 6492025]
[paragraph, [250.0, 354.0, 213.0, 18.0], duBrzlD-i0, 6492025]
[paragraph, [250.0, 372.0, 213.0, 18.0], duBrzlD-i0, 6492025]
[paragraph, [250.0, 390.0, 213.0, 18.0], duBrzlD-i0, 6492025]
[paragraph, [250.0, 408.0, 213.0, 18.0], duBrzlD-i0, 6492025]
[paragraph, [250.0, 426.0, 213.0, 18.0], duBrzlD-i0, 6492025]
[paragraph, [17.0, 242.0, 223.0, 18.0], lNyiTNd3ZJ, 6492025]
[paragraph, [20.0, 275.0, 216.0, 18.0], pSUyjmmo0h, 6492025]
[paragraph, [20.0, 293.0, 216.0, 18.0], pSUyjmmo0h, 6492025]
[paragraph, [20.0, 311.0, 216.0, 18.0], pSUyjmmo0h, 6492025]
[paragraph, [18.0, 362.0, 218.0, 18.0], ZBsUFAKesh, 6492025]
[paragraph, [18.0, 396.0, 217.0, 18.0], Xt6A9RWHDB, 6492025]
